"CBLS County-level Summary Data for ME, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Androscoggin,1253,15.6117617742337%,19,1.51636073423783%,45960,19138,18.0000007152557%,8026
003,Aroostook,918,23.2999995350838%,5,0.544662309368192%,38719,15244,20.0000002980232%,4320
005,Cumberland,2129,13.400000333786%,21,0.986378581493659%,122600,45209,10.0000001490116%,18456
007,Franklin,405,22.9000002145767%,4,0.987654320987654%,19159,6150,18.0000007152557%,1771
009,Hancock,475,14.4999995827675%,,0%,33945,12032,12.9999995231628%,3183
011,Kennebec,1210,15.7000005245209%,11,0.909090909090909%,56364,19906,15.9999996423721%,7690
013,Knox,302,15.7000005245209%,2,0.662251655629139%,21612,9507,14.0000000596046%,2429
015,Lincoln,220,13.1999999284744%,4,1.81818181818182%,20849,7944,15.0000005960464%,1974
017,Oxford,674,20.9000006318092%,5,0.741839762611276%,32295,11872,18.0000007152557%,3571
019,Penobscot,1596,16.7999997735024%,12,0.75187969924812%,66847,23146,18.9999997615814%,9787
021,Piscataquis,156,17.2999992966652%,2,1.28205128205128%,13783,4850,18.9999997615814%,1009
023,Sagadahoc,288,12.8000006079674%,5,1.73611111111111%,16489,6011,17.0000001788139%,2398
025,Somerset,767,22.9000002145767%,6,0.782268578878748%,28222,9663,21.9999998807907%,3295
027,Waldo,340,13.400000333786%,2,0.588235294117647%,18904,6065,18.9999997615814%,2469
029,Washington,450,21.8999996781349%,1,0.222222222222222%,21919,8338,25%,2068
031,York,1804,14.5999997854233%,8,0.443458980044346%,94234,28112,11.9999997317791%,12746
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Maine 2009 Confirmed Cases,,107,,,,,,
