"CBLS County-level Summary Data for MI, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
001,Alcona County,49,3,0,0%,0,10584,2225,23.0000004172325%
003,Alger County,82,1,0,0%,0,5964,1943,12.9999995231628%
005,Allegan County,1023,38,3,0.300000002607703%,0,43292,11847,9.00000035762787%
007,Alpena County,293,8,1,0.300000002607703%,0,15289,4370,17.0000001788139%
009,Antrim County,253,2,0,0%,0,15090,3407,14.0000000596046%
011,Arenac County,151,2,0,0%,0,9563,1972,25%
013,Baraga County,104,1,0,0%,0,4631,1616,17.0000001788139%
015,Barry County,522,18,4,0.800000037997961%,1,23876,7009,7.00000002980232%
017,Bay County,1357,81,12,0.899999961256981%,2,46423,17237,12.9999995231628%
019,Benzie County,223,6,1,0.400000018998981%,2,10312,2816,9.00000035762787%
021,Berrien County,1414,67,11,0.800000037997961%,9,73445,24006,21.9999998807907%
023,Branch County,670,60,1,0.100000004749745%,0,19822,7237,15.0000005960464%
025,Calhoun County,1941,65,12,0.600000005215406%,5,58691,21363,15.9999996423721%
027,Cass County,n,n,n,n,n,23884,7269,14.0000000596046%
029,Charlevoix Coun,251,4,1,0.400000018998981%,0,15370,3945,10.9999999403954%
031,Cheboygan Count,267,4,1,0.400000018998981%,0,16583,3598,23.0000004172325%
033,Chippewa County,408,13,0,0%,1,19430,5527,18.9999997615814%
035,Clare County,401,3,0,0%,0,22229,2902,27.0000010728836%
037,Clinton County,606,10,0,0%,0,24630,7074,7.00000002980232%
039,Crawford County,113,3,0,0%,0,10042,1965,21.9999998807907%
041,Delta County,430,17,2,0.499999988824129%,0,19223,7246,15.0000005960464%
043,Dickinson Count,292,7,0,0%,0,13702,5700,15.9999996423721%
045,Eaton County,1176,31,0,0%,3,42118,9866,7.99999982118607%
047,Emmet County,260,2,1,0.400000018998981%,0,18554,5138,7.00000002980232%
049,Genesee County,7074,198,19,0.300000002607703%,7,183630,41934,21.9999998807907%
051,Gladwin County,215,2,0,0%,0,16828,2307,20.9999993443489%
053,Gogebic County,190,5,0,0%,0,10839,5859,23.0000004172325%
055,Grand Traverse,887,34,0,0%,0,34842,6214,5.99999986588955%
057,Gratiot County,519,10,0,0%,0,15516,6181,10.9999999403954%
059,Hillsdale Count,679,31,0,0%,1,20189,7865,10.9999999403954%
