"CBLS County-level Summary Data for MI, 2013",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,890,27,2,0.20000000949949%,0,,,
001,Alcona County,44,.,0,0%,0,10584,2225,23.0000004172325%
003,Alger County,67,1,0,0%,0,5964,1943,12.9999995231628%
005,Allegan County,872,27,2,0.20000000949949%,0,43292,11847,9.00000035762787%
007,Alpena County,242,6,0,0%,0,15289,4370,17.0000001788139%
009,Antrim County,227,4,0,0%,0,15090,3407,14.0000000596046%
011,Arenac County,138,1,0,0%,0,9563,1972,25%
013,Baraga County,82,.,0,0%,0,4631,1616,17.0000001788139%
015,Barry County,404,10,0,0%,2,23876,7009,7.00000002980232%
017,Bay County,1165,50,6,0.499999988824129%,4,46423,17237,12.9999995231628%
019,Benzie County,204,4,0,0%,0,10312,2816,9.00000035762787%
021,Berrien County,1004,31,9,0.899999961256981%,16,73445,24006,21.9999998807907%
023,Branch County,636,28,0,0%,0,19822,7237,15.0000005960464%
025,Calhoun County,1722,47,11,0.600000005215406%,8,58691,21363,15.9999996423721%
027,Cass County,285,6,1,0.400000018998981%,1,23884,7269,14.0000000596046%
029,Charlevoix Coun,260,2,0,0%,0,15370,3945,10.9999999403954%
031,Cheboygan Count,241,.,0,0%,0,16583,3598,23.0000004172325%
033,Chippewa County,370,4,0,0%,0,19430,5527,18.9999997615814%
035,Clare County,340,2,0,0%,0,22229,2902,27.0000010728836%
037,Clinton County,461,9,1,0.20000000949949%,0,24630,7074,7.00000002980232%
039,Crawford County,79,6,0,0%,0,10042,1965,21.9999998807907%
041,Delta County,362,13,1,0.300000002607703%,0,19223,7246,15.0000005960464%
043,Dickinson Count,249,4,1,0.400000018998981%,0,13702,5700,15.9999996423721%
045,Eaton County,884,7,0,0%,2,42118,9866,7.99999982118607%
047,Emmet County,271,2,0,0%,0,18554,5138,7.00000002980232%
049,Genesee County,5807,114,9,0.20000000949949%,13,183630,41934,21.9999998807907%
051,Gladwin County,206,4,0,0%,0,16828,2307,20.9999993443489%
053,Gogebic County,174,6,0,0%,0,10839,5859,23.0000004172325%
055,Grand Traverse,886,25,0,0%,0,34842,6214,5.99999986588955%
057,Gratiot County,395,5,0,0%,0,15516,6181,10.9999999403954%
059,Hillsdale Count,675,23,1,0.100000004749745%,2,20189,7865,10.9999999403954%
061,Houghton County,482,23,1,0.20000000949949%,0,17748,9724,21.9999998807907%
063,Huron County,312,19,1,0.300000002607703%,0,20430,6836,14.0000000596046%
065,Ingham County,3638,156,3,0.100000004749745%,3,115056,29790,17.0000001788139%
067,Ionia County,697,8,0,0%,0,22006,8330,12.9999995231628%
069,Iosco County,120,4,0,0%,0,20432,4051,23.0000004172325%
071,Iron County,125,3,0,0%,0,8772,3902,23.9999994635582%
073,Isabella County,630,7,1,0.20000000949949%,0,24528,4709,15.9999996423721%
075,Jackson County,2446,123,11,0.400000018998981%,3,62906,22439,15.0000005960464%
077,Kalamazoo Count,3006,95,9,0.300000002607703%,18,99250,24386,14.0000000596046%
079,Kalkaska County,192,2,0,0%,0,10822,1643,15.0000005960464%
081,Kent County,8370,360,43,0.499999988824129%,22,224000,59935,11.9999997317791%
083,Keweenaw County,26,2,0,0%,0,2327,1278,15.0000005960464%
085,Lake County,96,1,0,0%,1,13498,2040,30.0000011920929%
087,Lapeer County,943,42,0,0%,2,32732,7252,5.99999986588955%
089,Leelanau County,185,6,0,0%,0,13297,2921,10.0000001490116%
091,Lenawee County,1262,61,3,0.20000000949949%,2,39769,15356,9.00000035762787%
093,Livingston Coun,972,12,1,0.100000004749745%,0,58919,8073,2.99999993294477%
095,Luce County,59,1,0,0%,0,4008,1201,23.0000004172325%
097,Mackinac County,97,5,0,0%,0,9413,2641,12.9999995231628%
099,Macomb County,8723,124,13,0.100000004749745%,2,320276,34757,7.00000002980232%
101,Manistee County,210,11,3,1.40000004321337%,0,14272,5130,17.0000001788139%
103,Marquette Count,400,10,2,0.499999988824129%,2,32877,10723,15.9999996423721%
105,Mason County,294,24,1,0.300000002607703%,0,16063,5002,20.0000002980232%
107,Mecosta County,304,5,0,0%,2,19593,4313,23.0000004172325%
109,Menominee Count,231,7,0,0%,0,13639,5238,20.0000002980232%
111,Midland County,439,5,0,0%,0,33796,5703,11.9999997317791%
113,Missaukee Count,114,.,0,0%,0,8621,1773,14.0000000596046%
115,Monroe County,1419,26,0,0%,3,56471,15961,9.00000035762787%
117,Montcalm County,493,5,0,0%,0,25900,7279,15.0000005960464%
119,Montmorency Cou,64,.,0,0%,0,9238,1699,15.9999996423721%
121,Muskegon County,2366,95,13,0.499999988824129%,12,68556,20457,18.9999997615814%
123,Newaygo County,336,2,0,0%,0,23202,5270,18.0000007152557%
125,Oakland County,12105,180,22,0.20000000949949%,6,492006,78387,7.00000002980232%
127,Oceana County,404,11,1,0.20000000949949%,0,15009,4028,23.9999994635582%
