"CBLS County-level Summary Data for MI, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,1873,55,8,0.400000018998981%,0,,,
001,Alcona County,49,3,0,0%,0,10584,2225,23.0000004172325%
003,Alger County,90,1,1,1.09999999403954%,0,5964,1943,12.9999995231628%
005,Allegan County,1181,34,0,0%,0,43292,11847,9.00000035762787%
007,Alpena County,251,8,0,0%,0,15289,4370,17.0000001788139%
009,Antrim County,264,2,0,0%,0,15090,3407,14.0000000596046%
011,Arenac County,182,1,0,0%,0,9563,1972,25%
013,Baraga County,133,1,0,0%,0,4631,1616,17.0000001788139%
015,Barry County,475,23,1,0.20000000949949%,2,23876,7009,7.00000002980232%
017,Bay County,1368,39,8,0.600000005215406%,3,46423,17237,12.9999995231628%
019,Benzie County,260,2,0,0%,0,10312,2816,9.00000035762787%
021,Berrien County,1805,43,9,0.499999988824129%,11,73445,24006,21.9999998807907%
023,Branch County,650,18,2,0.300000002607703%,0,19822,7237,15.0000005960464%
025,Calhoun County,2307,89,13,0.600000005215406%,6,58691,21363,15.9999996423721%
027,Cass County,401,11,1,0.20000000949949%,1,23884,7269,14.0000000596046%
029,Charlevoix Coun,293,1,0,0%,0,15370,3945,10.9999999403954%
031,Cheboygan Count,277,6,0,0%,0,16583,3598,23.0000004172325%
033,Chippewa County,424,4,0,0%,0,19430,5527,18.9999997615814%
035,Clare County,432,4,0,0%,0,22229,2902,27.0000010728836%
037,Clinton County,560,9,0,0%,0,24630,7074,7.00000002980232%
039,Crawford County,87,1,0,0%,0,10042,1965,21.9999998807907%
041,Delta County,406,15,1,0.20000000949949%,0,19223,7246,15.0000005960464%
043,Dickinson Count,303,1,0,0%,0,13702,5700,15.9999996423721%
045,Eaton County,1078,24,0,0%,2,42118,9866,7.99999982118607%
047,Emmet County,352,.,0,0%,0,18554,5138,7.00000002980232%
049,Genesee County,6717,155,15,0.20000000949949%,8,183630,41934,21.9999998807907%
051,Gladwin County,289,.,0,0%,0,16828,2307,20.9999993443489%
053,Gogebic County,150,3,0,0%,0,10839,5859,23.0000004172325%
