"CBLS County-level Summary Data for MI, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alcona County,95,20.0000002980232%,1,1.05263157894737%,0,10584,2225,23.0000004172325%,475
003,Alger County,94,20.0000002980232%,0,0%,0,5964,1943,12.9999995231628%,470
005,Allegan County,1263,14.2000004649162%,6,0.475059382422803%,1,43292,11847,9.00000035762787%,8898
007,Alpena County,385,22.1000000834465%,1,0.25974025974026%,1,15289,4370,17.0000001788139%,1741
009,Antrim County,249,17.0000001788139%,0,0%,0,15090,3407,14.0000000596046%,1465
011,Arenac County,226,21.4000001549721%,0,0%,0,9563,1972,25%,1055
013,Baraga County,159,26.6000002622604%,0,0%,0,4631,1616,17.0000001788139%,597
015,Barry County,662,15.5000001192093%,5,0.755287009063444%,2,23876,7009,7.00000002980232%,4274
017,Bay County,1332,17.7000001072884%,16,1.2012012012012%,2,46423,17237,12.9999995231628%,7534
019,Benzie County,159,13.8999998569489%,0,0%,0,10312,2816,9.00000035762787%,1142
021,Berrien County,2506,20.100000500679%,77,3.07262569832402%,32,73445,24006,21.9999998807907%,12494
023,Branch County,651,19.3000003695488%,5,0.768049155145929%,1,19822,7237,15.0000005960464%,3373
025,Calhoun County,2272,20.9000006318092%,28,1.23239436619718%,17,58691,21363,15.9999996423721%,10857
027,Cass County,466,14.3999993801117%,0,0%,1,23884,7269,14.0000000596046%,3229
029,Charlevoix County,219,12.5%,0,0%,0,15370,3945,10.9999999403954%,1755
031,Cheboygan County,303,17.8000003099442%,1,0.33003300330033%,0,16583,3598,23.0000004172325%,1698
033,Chippewa County,429,18.8999995589256%,1,0.233100233100233%,0,19430,5527,18.9999997615814%,2270
035,Clare County,238,11.9999997317791%,0,0%,0,22229,2902,27.0000010728836%,1981
037,Clinton County,413,8.29999968409538%,2,0.484261501210654%,1,24630,7074,7.00000002980232%,4996
039,Crawford County,108,13.0999997258186%,0,0%,0,10042,1965,21.9999998807907%,825
041,Delta County,461,19.200000166893%,1,0.216919739696312%,1,19223,7246,15.0000005960464%,2406
043,Dickinson County,231,13.7999996542931%,0,0%,0,13702,5700,15.9999996423721%,1679
045,Eaton County,1120,15.2999997138977%,5,0.446428571428571%,0,42118,9866,7.99999982118607%,7311
047,Emmet County,173,7.80000016093254%,1,0.578034682080925%,0,18554,5138,7.00000002980232%,2211
049,Genesee County,7664,21.1999997496605%,62,0.808977035490605%,32,183630,41934,21.9999998807907%,36170
051,Gladwin County,199,12.5%,0,0%,0,16828,2307,20.9999993443489%,1595
053,Gogebic County,189,23.7000003457069%,0,0%,0,10839,5859,23.0000004172325%,797
055,Grand Traverse County,384,6.70000016689301%,1,0.260416666666667%,1,34842,6214,5.99999986588955%,5763
057,Gratiot County,348,12.3000003397465%,1,0.28735632183908%,0,15516,6181,10.9999999403954%,2829
059,Hillsdale County,551,15.7000005245209%,7,1.27041742286751%,2,20189,7865,10.9999999403954%,3507
061,Houghton County,577,25.2000004053116%,0,0%,2,17748,9724,21.9999998807907%,2294
063,Huron County,330,16.5999993681908%,1,0.303030303030303%,0,20430,6836,14.0000000596046%,1986
065,Ingham County,3718,17.4999997019768%,23,0.618612157073696%,8,115056,29790,17.0000001788139%,21200
067,Ionia County,396,7.80000016093254%,3,0.757575757575758%,0,22006,8330,12.9999995231628%,5046
069,Iosco County,259,18.0000007152557%,1,0.386100386100386%,0,20432,4051,23.0000004172325%,1436
071,Iron County,64,10.5999998748302%,0,0%,0,8772,3902,23.9999994635582%,606
073,Isabella County,313,7.40000009536743%,1,0.319488817891374%,1,24528,4709,15.9999996423721%,4233
075,Jackson County,1948,15.7000005245209%,25,1.28336755646817%,9,62906,22439,15.0000005960464%,12378
077,Kalamazoo County,2857,15.6000003218651%,44,1.54007700385019%,16,99250,24386,14.0000000596046%,18327
