"CBLS County-level Summary Data for MI, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alcona County,132,28.999999165535%,1,0.757575757575758%,0,10584,2225,23.0000004172325%,455
003,Alger County,102,21.6999992728233%,0,0%,0,5964,1943,12.9999995231628%,471
005,Allegan County,1531,16.8999999761581%,6,0.391900718484651%,2,43292,11847,9.00000035762787%,9074
007,Alpena County,380,22.2000002861023%,1,0.263157894736842%,0,15289,4370,17.0000001788139%,1712
009,Antrim County,236,15.8999994397163%,0,0%,0,15090,3407,14.0000000596046%,1480
011,Arenac County,208,20.4999998211861%,0,0%,0,9563,1972,25%,1016
013,Baraga County,153,28.099998831749%,0,0%,0,4631,1616,17.0000001788139%,545
015,Barry County,558,13.0999997258186%,4,0.716845878136201%,0,23876,7009,7.00000002980232%,4275
017,Bay County,1402,18.7000006437302%,13,0.927246790299572%,3,46423,17237,12.9999995231628%,7494
019,Benzie County,160,13.400000333786%,2,1.25%,1,10312,2816,9.00000035762787%,1192
021,Berrien County,2413,19.4000005722046%,42,1.74057190219644%,21,73445,24006,21.9999998807907%,12448
023,Branch County,437,12.3000003397465%,0,0%,0,19822,7237,15.0000005960464%,3545
025,Calhoun County,2000,18.6000004410744%,24,1.2%,11,58691,21363,15.9999996423721%,10747
027,Cass County,523,15.9999996423721%,3,0.573613766730402%,1,23884,7269,14.0000000596046%,3278
029,Charlevoix County,247,14.3999993801117%,2,0.809716599190283%,0,15370,3945,10.9999999403954%,1719
031,Cheboygan County,299,18.7000006437302%,0,0%,0,16583,3598,23.0000004172325%,1603
033,Chippewa County,455,19.5999994874001%,4,0.879120879120879%,1,19430,5527,18.9999997615814%,2327
035,Clare County,406,20.2999994158745%,0,0%,0,22229,2902,27.0000010728836%,1998
037,Clinton County,659,12.9999995231628%,4,0.606980273141123%,0,24630,7074,7.00000002980232%,5060
039,Crawford County,107,13.1999999284744%,0,0%,0,10042,1965,21.9999998807907%,808
041,Delta County,429,17.7000001072884%,1,0.233100233100233%,0,19223,7246,15.0000005960464%,2419
043,Dickinson County,354,21.2999999523163%,1,0.282485875706215%,0,13702,5700,15.9999996423721%,1659
045,Eaton County,960,13.5000005364418%,5,0.520833333333333%,3,42118,9866,7.99999982118607%,7127
