"CBLS County-level Summary Data for MI, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alcona,74,17.4117647058824%,,0%,10584,2225,23.0000004172325%,425
003,Alger,91,18.3467741935484%,,0%,5964,1943,12.9999995231628%,496
005,Allegan,995,10.8850235204026%,,0%,43292,11847,9.00000035762787%,9141
007,Alpena,228,12.8233970753656%,,0%,15289,4370,17.0000001788139%,1778
009,Antrim,225,15.442690459849%,,0%,15090,3407,14.0000000596046%,1457
011,Arenac,234,23.3067729083665%,,0%,9563,1972,25%,1004
013,Baraga,153,28.4916201117318%,1,0.65359477124183%,4631,1616,17.0000001788139%,537
015,Barry,454,10.7736117702895%,1,0.220264317180617%,23876,7009,7.00000002980232%,4214
017,Bay,1020,13.5494155154091%,4,0.392156862745098%,46423,17237,12.9999995231628%,7528
019,Benzie,125,11.2309074573226%,,0%,10312,2816,9.00000035762787%,1113
021,Berrien,1571,12.4406081723155%,16,1.01845957988542%,73445,24006,21.9999998807907%,12628
023,Branch,354,10.0940975192472%,3,0.847457627118644%,19822,7237,15.0000005960464%,3507
025,Calhoun,1864,17.3476035365286%,15,0.804721030042918%,58691,21363,15.9999996423721%,10745
027,Cass,415,12.8801986343886%,3,0.72289156626506%,23884,7269,14.0000000596046%,3222
029,Charlevoix,201,11.7819460726846%,2,0.99502487562189%,15370,3945,10.9999999403954%,1706
031,Cheboygan,181,11.7761873780091%,,0%,16583,3598,23.0000004172325%,1537
033,Chippewa,324,14.1114982578397%,1,0.308641975308642%,19430,5527,18.9999997615814%,2296
035,Clare,343,17.305751765893%,1,0.291545189504373%,22229,2902,27.0000010728836%,1982
037,Clinton,763,14.8328149300156%,,0%,24630,7074,7.00000002980232%,5144
039,Crawford,71,9.23276983094929%,,0%,10042,1965,21.9999998807907%,769
041,Delta,316,12.9667624128026%,1,0.316455696202532%,19223,7246,15.0000005960464%,2437
043,Dickinson,236,14.6039603960396%,1,0.423728813559322%,13702,5700,15.9999996423721%,1616
045,Eaton,1045,14.9200456881782%,6,0.574162679425837%,42118,9866,7.99999982118607%,7004
047,Emmet,211,9.80027868091036%,,0%,18554,5138,7.00000002980232%,2153
049,Genesee,4266,12.5198098256735%,16,0.375058602906704%,183630,41934,21.9999998807907%,34074
051,Gladwin,260,16.9602087410307%,,0%,16828,2307,20.9999993443489%,1533
053,Gogebic,246,30.4455445544554%,3,1.21951219512195%,10839,5859,23.0000004172325%,808
055,Grand Traverse,567,9.44055944055944%,,0%,34842,6214,5.99999986588955%,6006
057,Gratiot,509,17.8096571028691%,,0%,15516,6181,10.9999999403954%,2858
059,Hillsdale,552,16.4383561643836%,2,0.36231884057971%,20189,7865,10.9999999403954%,3358
061,Houghton,510,20.7993474714519%,,0%,17748,9724,21.9999998807907%,2452
065,Ingham,4055,19.9302074117763%,10,0.246609124537608%,20430,6836,14.0000000596046%,20346
067,Ionia,642,13.1342062193126%,,0%,115056,29790,17.0000001788139%,4888
069,Iosco,211,15.1471643933956%,,0%,22006,8330,12.9999995231628%,1393
071,Iron,126,21.3921901528014%,,0%,20432,4051,23.0000004172325%,589
073,Isabella,529,12.5862479181537%,,0%,8772,3902,23.9999994635582%,4203
075,Jackson,1774,15.0008455944529%,14,0.789177001127396%,24528,4709,15.9999996423721%,11826
077,Kalamazoo,3208,17.1688520203372%,22,0.685785536159601%,62906,22439,15.0000005960464%,18685
079,Kalkaska,119,9.4896331738437%,,0%,99250,24386,14.0000000596046%,1254
081,Kent,6399,11.732888391793%,38,0.593842787935615%,10822,1643,15.0000005960464%,54539
083,Keweenaw,25,17.7304964539007%,,0%,224000,59935,11.9999997317791%,141
085,Lake,89,13.7557959814529%,1,1.12359550561798%,2327,1278,15.0000005960464%,647
087,Lapeer,439,7.3818732133849%,2,0.455580865603645%,13498,2040,30.0000011920929%,5947
089,Leelanau,125,10.7480653482373%,,0%,32732,7252,5.99999986588955%,1163
091,Lenawee,1137,15.7087593257806%,6,0.527704485488127%,13297,2921,10.0000001490116%,7238
093,Livingston,764,6.15483767018448%,2,0.261780104712042%,39769,15356,9.00000035762787%,12413
095,Luce,69,19.3820224719101%,,0%,58919,8073,2.99999993294477%,356
097,Mackinac,112,18.8552188552189%,,0%,4008,1201,23.0000004172325%,594
099,Macomb,6484,10.9161924643927%,10,0.154225786551511%,9413,2641,12.9999995231628%,59398
