"CBLS County-level Summary Data for MN, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Aitkin County,173,20.3290246768508%,1,0,14168,3250,17.0000001788139%,851
003,Anoka County,3887,14.419795221843%,13,1,108091,6726,5.00000007450581%,26956
005,Becker County,299,13.5909090909091%,4,1,16612,4095,18.0000007152557%,2200
007,Beltrami County,304,9.04761904761905%,1,0,16989,3278,28.0000001192093%,3360
009,Benton County,746,25.356900067981%,0,0,13460,2773,9.00000035762787%,2942
011,Big Stone County,63,18.1556195965418%,0,0,3171,1516,12.9999995231628%,347
013,Blue Earth County,706,18.9581095596133%,1,1,21971,7376,14.0000000596046%,3724
015,Brown County,280,16.4802825191289%,1,0,11163,4872,10.9999999403954%,1699
017,Carlton County,644,28.258007898201%,3,0,13721,4420,9.00000035762787%,2279
019,Carver County,685,9.17246920192823%,3,0,24883,3839,5.00000007450581%,7468
021,Cass County,309,18.1019332161687%,0,0,21286,3691,20.0000002980232%,1707
023,Chippewa County,155,17.4353205849269%,1,1,5855,2669,15.0000005960464%,889
025,Chisago County,507,13.4625597450876%,1,0,15533,2893,7.99999982118607%,3766
027,Clay County,616,15.843621399177%,2,0,19746,4147,15.9999996423721%,3888
029,Clearwater County,66,10.6969205834684%,0,0,4114,1258,23.0000004172325%,617
031,Cook County,37,12.2112211221122%,0,0,4708,849,23.0000004172325%,303
033,Cottonwood County,145,16.3288288288288%,0,0,5376,2559,23.9999994635582%,888
035,Crow Wing County,853,21.9336590383132%,3,0,33483,6786,15.0000005960464%,3889
037,Dakota County,4549,13.7794202283949%,13,1,133750,9271,3.99999991059303%,33013
039,Dodge County,185,11.3288426209431%,2,0,6642,2356,7.00000002980232%,1633
041,Douglas County,500,22.7272727272727%,0,0,16694,4289,10.9999999403954%,2200
043,Faribault County,209,19.6798493408663%,0,1,7247,4088,14.0000000596046%,1062
