"CBLS County-level Summary Data for MN, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Aitkin County,209,22.4000006914139%,1,0.478468899521531%,0,14168,3250,17.0000001788139%,932
003,Anoka County,4729,17.7000001072884%,10,0.211461196870374%,1,108091,6726,5.00000007450581%,26670
005,Becker County,530,21.5000003576279%,3,0.566037735849057%,1,16612,4095,18.0000007152557%,2461
007,Beltrami County,295,8.10000002384186%,0,0%,0,16989,3278,28.0000001192093%,3651
009,Benton County,871,26.1000007390976%,1,0.114810562571757%,0,13460,2773,9.00000035762787%,3339
011,Big Stone County,72,22.4999994039536%,0,0%,0,3171,1516,12.9999995231628%,320
013,Blue Earth County,810,20.3999996185303%,1,0.123456790123457%,1,21971,7376,14.0000000596046%,3979
015,Brown County,237,13.7999996542931%,0,0%,0,11163,4872,10.9999999403954%,1715
017,Carlton County,636,27.0999997854233%,1,0.157232704402516%,0,13721,4420,9.00000035762787%,2343
019,Carver County,804,10.5999998748302%,2,0.248756218905473%,0,24883,3839,5.00000007450581%,7596
021,Cass County,281,14.0000000596046%,1,0.355871886120996%,0,21286,3691,20.0000002980232%,2012
023,Chippewa County,187,21.8999996781349%,3,1.60427807486631%,0,5855,2669,15.0000005960464%,855
025,Chisago County,668,15.8000007271767%,1,0.149700598802395%,0,15533,2893,7.99999982118607%,4222
027,Clay County,601,15.9999996423721%,1,0.166389351081531%,0,19746,4147,15.9999996423721%,3747
029,Clearwater County,61,8.90000015497208%,0,0%,0,4114,1258,23.0000004172325%,682
031,Cook County,33,14.4999995827675%,0,0%,0,4708,849,23.0000004172325%,227
033,Cottonwood County,110,12.7000004053116%,1,0.909090909090909%,0,5376,2559,23.9999994635582%,864
035,Crow Wing County,959,21.7999994754791%,2,0.208550573514077%,0,33483,6786,15.0000005960464%,4399
037,Dakota County,5220,15.8999994397163%,12,0.229885057471264%,1,133750,9271,3.99999991059303%,32809
039,Dodge County,208,11.9999997317791%,0,0%,0,6642,2356,7.00000002980232%,1739
041,Douglas County,527,22.8000000119209%,1,0.189753320683112%,0,16694,4289,10.9999999403954%,2314
043,Faribault County,228,23.4999999403954%,2,0.87719298245614%,1,7247,4088,14.0000000596046%,970
045,Fillmore County,215,13.7999996542931%,1,0.465116279069767%,1,8908,4796,18.0000007152557%,1561
047,Freeborn County,440,20.2000007033348%,5,1.13636363636364%,2,13996,6114,11.9999997317791%,2182
049,Goodhue County,501,15.0999993085861%,1,0.199600798403194%,1,17879,6549,5.99999986588955%,3309
051,Grant County,107,28.0000001192093%,0,0%,0,3098,1490,12.9999995231628%,382
053,Hennepin County,21095,22.2000002861023%,274,1.29888599194122%,70,468824,134969,10.9999999403954%,95013
055,Houston County,163,13.0999997258186%,0,0%,0,8168,2995,7.00000002980232%,1248
057,Hubbard County,111,9.0999998152256%,0,0%,0,12229,2663,14.0000000596046%,1216
059,Isanti County,517,18.299999833107%,3,0.580270793036751%,0,12062,2567,5.99999986588955%,2818
061,Itasca County,561,19.200000166893%,2,0.35650623885918%,0,24528,5726,18.0000007152557%,2927
063,Jackson County,115,17.2999992966652%,2,1.73913043478261%,0,5092,2582,12.9999995231628%,665
065,Kanabec County,196,18.299999833107%,0,0%,0,6846,1735,11.9999997317791%,1072
067,Kandiyohi County,883,26.4999985694885%,5,0.566251415628539%,3,18415,4978,14.0000000596046%,3328
069,Kittson County,33,11.5000002086163%,0,0%,0,2719,1170,11.9999997317791%,286
071,Koochiching County,170,21.7999994754791%,0,0%,0,7719,2265,18.9999997615814%,779
073,Lac qui Parle County,108,26.1000007390976%,3,2.77777777777778%,0,3774,2194,10.9999999403954%,414
075,Lake County,174,32.1999996900558%,0,0%,0,6840,1918,18.0000007152557%,540
077,Lake of the Woods County,31,12.3999997973442%,0,0%,0,3238,654,10.0000001490116%,249
079,Le Sueur County,335,16.5999993681908%,1,0.298507462686567%,0,10858,4002,7.00000002980232%,2020
081,Lincoln County,52,12.8999993205071%,0,0%,0,3043,1531,10.0000001490116%,404
083,Lyon County,444,24.3000000715256%,0,0%,1,10298,3695,12.9999995231628%,1830
085,McLeod County,656,20.8000004291534%,1,0.152439024390244%,0,14087,4121,5.00000007450581%,3151
087,Mahnomen County,88,18.4000000357628%,1,1.13636363636364%,0,2700,1045,23.0000004172325%,477
089,Marshall County,79,11.9999997317791%,0,0%,0,4791,1915,12.9999995231628%,661
091,Martin County,307,22.5999996066093%,1,0.325732899022801%,0,9800,4522,15.9999996423721%,1356
093,Meeker County,395,22.4000006914139%,3,0.759493670886076%,0,9821,3597,7.99999982118607%,1763
095,Mille Lacs County,359,18.4000000357628%,0,0%,0,10467,2941,12.9999995231628%,1946
097,Morrison County,570,22.6999998092651%,0,0%,0,13870,4347,17.0000001788139%,2512
099,Mower County,549,17.8000003099442%,8,1.45719489981785%,1,16251,7469,11.9999997317791%,3082
101,Murray County,116,21.0999995470047%,0,0%,0,4357,2125,10.9999999403954%,551
103,Nicollet County,424,18.5000002384186%,4,0.943396226415094%,0,11240,3314,10.9999999403954%,2298
105,Nobles County,490,25.900000333786%,2,0.408163265306122%,1,8465,3586,17.0000001788139%,1890
107,Norman County,66,15.0999993085861%,0,0%,0,3455,1651,17.0000001788139%,436
109,Olmsted County,1121,9.0999998152256%,2,0.178412132024978%,4,49422,8883,7.00000002980232%,12259
111,Otter Tail County,435,12.3000003397465%,2,0.459770114942529%,0,33862,10372,15.9999996423721%,3528
113,Pennington County,139,12.8000006079674%,0,0%,0,6033,2102,10.9999999403954%,1083
115,Pine County,368,19.4999992847443%,3,0.815217391304348%,1,15353,3736,20.9999993443489%,1883
117,Pipestone County,56,8.20000022649765%,0,0%,0,4434,2140,17.0000001788139%,682
119,Polk County,377,17.4999997019768%,3,0.795755968169761%,0,14008,5117,15.9999996423721%,2152
121,Pope County,149,21.7999994754791%,1,0.671140939597315%,1,5827,2369,10.0000001490116%,682
123,Ramsey County,9909,23.4999999403954%,158,1.59451004137653%,45,206448,72654,15.9999996423721%,42197
125,Red Lake County,27,8.79999995231628%,0,0%,0,1883,809,15.9999996423721%,306
127,Redwood County,239,20.7000002264976%,1,0.418410041841004%,0,7230,3367,10.0000001490116%,1155
129,Renville County,296,24.6999993920326%,4,1.35135135135135%,2,7413,3576,12.9999995231628%,1196
131,Rice County,939,20.9999993443489%,5,0.53248136315229%,2,20061,6245,7.00000002980232%,4462
133,Rock County,35,4.80000004172325%,0,0%,1,4137,1958,9.00000035762787%,732
135,Roseau County,127,10.1000003516674%,0,0%,0,7101,1619,7.00000002980232%,1259
137,St. Louis County,3439,28.2000005245209%,24,0.697877289909858%,5,95800,42088,17.0000001788139%,12182
139,Scott County,1740,14.1000002622604%,3,0.172413793103448%,1,31609,3236,1.99999995529652%,12357
141,Sherburne County,1329,17.8000003099442%,1,0.0752445447705041%,0,22827,2046,2.99999993294477%,7477
143,Sibley County,209,17.7000001072884%,4,1.91387559808612%,1,6024,2896,12.9999995231628%,1182
145,Stearns County,2874,26.4999985694885%,10,0.34794711203897%,1,50291,11510,7.99999982118607%,10828
147,Steele County,729,24.4000002741814%,1,0.137174211248285%,1,13306,4402,9.00000035762787%,2989
149,Stevens County,110,18.6000004410744%,1,0.909090909090909%,0,4074,1578,10.9999999403954%,592
151,Swift County,127,18.7000006437302%,1,0.78740157480315%,0,4821,2387,10.0000001490116%,680
153,Todd County,341,20.100000500679%,0,0%,1,11900,4399,18.0000007152557%,1699
155,Traverse County,55,25.6000012159348%,0,0%,0,2199,1104,15.0000005960464%,215
157,Wabasha County,219,14.1000002622604%,2,0.91324200913242%,0,9066,3327,7.99999982118607%,1550
159,Wadena County,186,18.9999997615814%,1,0.537634408602151%,0,6334,2137,20.0000002980232%,978
161,Waseca County,333,22.1000000834465%,1,0.3003003003003%,0,7427,2926,7.99999982118607%,1510
163,Washington County,2189,12.3000003397465%,9,0.411146642302421%,2,73635,8254,2.99999993294477%,17782
165,Watonwan County,199,23.199999332428%,2,1.00502512562814%,0,5036,2523,18.0000007152557%,859
167,Wilkin County,96,20.8000004291534%,1,1.04166666666667%,0,3105,1343,10.9999999403954%,461
169,Winona County,448,14.4999995827675%,5,1.11607142857143%,3,19551,8332,12.9999995231628%,3090
171,Wright County,1674,15.2999997138977%,8,0.4778972520908%,1,34355,6118,5.99999986588955%,10924
173,Yellow Medicine County,173,24.7999995946884%,1,0.578034682080925%,0,4873,2542,10.9999999403954%,698
211,Unknown,,,,,,,,,
999,Unknown,6804,,0,0%,1,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Minnesota Total Confirmed Cases 2006,,614,,,,,,,,
