"CBLS County-level Summary Data for MN, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Aitkin County,231,24.4000002741814%,1,0.432900432900433%,0,14168,3250,17.0000001788139%,945
003,Anoka County,5998,22.4000006914139%,4,0.0666888962987663%,1,108091,6726,5.00000007450581%,26742
005,Becker County,612,24.099999666214%,3,0.490196078431373%,1,16612,4095,18.0000007152557%,2536
007,Beltrami County,266,6.8000003695488%,0,0%,0,16989,3278,28.0000001192093%,3912
009,Benton County,1055,30.0000011920929%,0,0%,0,13460,2773,9.00000035762787%,3517
011,Big Stone County,64,20.4999998211861%,0,0%,0,3171,1516,12.9999995231628%,312
013,Blue Earth County,975,22.1000000834465%,5,0.512820512820513%,0,21971,7376,14.0000000596046%,4410
015,Brown County,284,16.2000000476837%,3,1.05633802816901%,0,11163,4872,10.9999999403954%,1756
017,Carlton County,671,26.6999989748001%,1,0.14903129657228%,0,13721,4420,9.00000035762787%,2516
019,Carver County,1228,15.1999995112419%,5,0.407166123778502%,0,24883,3839,5.00000007450581%,8092
021,Cass County,318,14.4999995827675%,0,0%,0,21286,3691,20.0000002980232%,2186
023,Chippewa County,218,23.8000005483627%,0,0%,0,5855,2669,15.0000005960464%,917
025,Chisago County,785,18.1999996304512%,1,0.127388535031847%,0,15533,2893,7.99999982118607%,4322
027,Clay County,678,15.6000003218651%,0,0%,0,19746,4147,15.9999996423721%,4344
029,Clearwater County,40,5.79999983310699%,0,0%,0,4114,1258,23.0000004172325%,687
031,Cook County,40,13.3000001311302%,0,0%,0,4708,849,23.0000004172325%,301
033,Cottonwood County,90,10.5999998748302%,3,3.33333333333333%,0,5376,2559,23.9999994635582%,848
035,Crow Wing County,1078,22.4999994039536%,1,0.0927643784786642%,0,33483,6786,15.0000005960464%,4793
037,Dakota County,6162,18.5000002384186%,10,0.162284972411555%,1,133750,9271,3.99999991059303%,33299
039,Dodge County,205,11.8000000715256%,0,0%,0,6642,2356,7.00000002980232%,1731
041,Douglas County,563,21.9999998807907%,0,0%,0,16694,4289,10.9999999403954%,2564
043,Faribault County,215,22.4000006914139%,3,1.3953488372093%,0,7247,4088,14.0000000596046%,960
045,Fillmore County,174,10.5999998748302%,1,0.574712643678161%,0,8908,4796,18.0000007152557%,1637
047,Freeborn County,383,17.2999992966652%,2,0.522193211488251%,3,13996,6114,11.9999997317791%,2217
049,Goodhue County,605,17.399999499321%,3,0.495867768595041%,0,17879,6549,5.99999986588955%,3468
051,Grant County,86,21.4000001549721%,0,0%,0,3098,1490,12.9999995231628%,402
