"CBLS County-level Summary Data for MN, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Aitkin,218,23.7991266375546%,,0%,14168,3250,17.0000001788139%,916
003,Anoka,6131,22.7082484536464%,4,0.065242211710977%,108091,6726,5.00000007450581%,26999
005,Becker,500,19.0331176246669%,,0%,16612,4095,18.0000007152557%,2627
007,Beltrami,482,12.0019920318725%,1,0.20746887966805%,16989,3278,28.0000001192093%,4016
009,Benton,1047,29.76969007677%,,0%,13460,2773,9.00000035762787%,3517
011,Big Stone,71,20.7602339181287%,,0%,3171,1516,12.9999995231628%,342
013,Blue Earth,919,21.0490151168117%,4,0.43525571273123%,21971,7376,14.0000000596046%,4366
015,Brown,311,17.0224411603722%,1,0.321543408360129%,11163,4872,10.9999999403954%,1827
017,Carlton,618,23.5967926689576%,,0%,13721,4420,9.00000035762787%,2619
019,Carver,1172,13.9242010217417%,1,0.0853242320819113%,24883,3839,5.00000007450581%,8417
021,Cass,470,21.5992647058824%,1,0.212765957446808%,21286,3691,20.0000002980232%,2176
023,Chippewa,221,23.1171548117155%,,0%,5855,2669,15.0000005960464%,956
025,Chisago,755,17.2020961494646%,,0%,15533,2893,7.99999982118607%,4389
027,Clay,693,14.9967539493616%,1,0.144300144300144%,19746,4147,15.9999996423721%,4621
029,Clearwater,63,8.97435897435897%,,0%,4114,1258,23.0000004172325%,702
031,Cook,58,20.4946996466431%,,0%,4708,849,23.0000004172325%,283
033,Cottonwood,111,12.9976580796253%,,0%,5376,2559,23.9999994635582%,854
035,Crow Wing,1003,20.4276985743381%,1,0.0997008973080758%,33483,6786,15.0000005960464%,4910
037,Dakota,5882,17.4070018644018%,2,0.0340020401224073%,133750,9271,3.99999991059303%,33791
039,Dodge,245,13.6566332218506%,,0%,6642,2356,7.00000002980232%,1794
041,Douglas,538,20.3633610900833%,1,0.185873605947955%,16694,4289,10.9999999403954%,2642
043,Faribault,206,20.1960784313725%,3,1.45631067961165%,7247,4088,14.0000000596046%,1020
045,Fillmore,197,11.453488372093%,1,0.507614213197969%,8908,4796,18.0000007152557%,1720
047,Freeborn,379,16.9574944071588%,2,0.527704485488127%,13996,6114,11.9999997317791%,2235
049,Goodhue,535,15.1001975726785%,1,0.186915887850467%,17879,6549,5.99999986588955%,3543
051,Grant,100,23.4192037470726%,,0%,3098,1490,12.9999995231628%,427
053,Hennepin,19520,20.5774765182741%,85,0.435450819672131%,468824,134969,10.9999999403954%,94861
055,Houston,241,17.8650852483321%,1,0.4149377593361%,8168,2995,7.00000002980232%,1349
057,Hubbard,152,11.2592592592593%,,0%,12229,2663,14.0000000596046%,1350
059,Isanti,825,26.6558966074313%,1,0.121212121212121%,12062,2567,5.99999986588955%,3095
061,Itasca,770,24.2902208201893%,1,0.12987012987013%,24528,5726,18.0000007152557%,3170
063,Jackson,132,18.830242510699%,1,0.757575757575758%,5092,2582,12.9999995231628%,701
065,Kanabec,249,21.6898954703833%,1,0.401606425702811%,6846,1735,11.9999997317791%,1148
067,Kandiyohi,940,26.5461733973454%,1,0.106382978723404%,18415,4978,14.0000000596046%,3541
069,Kittson,49,19.0661478599222%,,0%,2719,1170,11.9999997317791%,257
071,Koochiching,144,18.3206106870229%,,0%,7719,2265,18.9999997615814%,786
073,Lac qui Parle,82,18.510158013544%,1,1.21951219512195%,3774,2194,10.9999999403954%,443
075,Lake,173,28.5950413223141%,,0%,6840,1918,18.0000007152557%,605
077,Lake of the Woods,41,17.3728813559322%,,0%,3238,654,10.0000001490116%,236
079,Le Sueur,361,16.0301953818828%,,0%,10858,4002,7.00000002980232%,2252
081,Lincoln,54,12.7659574468085%,,0%,3043,1531,10.0000001490116%,423
083,Lyon,621,30.0872093023256%,1,0.161030595813205%,10298,3695,12.9999995231628%,2064
085,McLeod,621,19.5098963242224%,,0%,14087,4121,5.00000007450581%,3183
087,Mahnomen,51,9.51492537313433%,,0%,2700,1045,23.0000004172325%,536
089,Marshall,100,15.1057401812689%,,0%,4791,1915,12.9999995231628%,662
091,Martin,306,20.8304969366916%,1,0.326797385620915%,9800,4522,15.9999996423721%,1469
093,Meeker,360,18.6239006725297%,1,0.277777777777778%,9821,3597,7.99999982118607%,1933
095,Mille Lacs,388,17.438202247191%,2,0.515463917525773%,10467,2941,12.9999995231628%,2225
097,Morrison,631,23.3876945885841%,2,0.316957210776545%,13870,4347,17.0000001788139%,2698
099,Mower,583,17.4133811230585%,6,1.02915951972556%,16251,7469,11.9999997317791%,3348
101,Murray,107,18.9380530973451%,1,0.934579439252336%,4357,2125,10.9999999403954%,565
103,Nicollet,506,20.6783816918676%,3,0.592885375494071%,11240,3314,10.9999999403954%,2447
105,Nobles,557,26.2983947119924%,1,0.179533213644524%,8465,3586,17.0000001788139%,2118
107,Norman,58,12.691466083151%,,0%,3455,1651,17.0000001788139%,457
109,Olmsted,1410,10.6054907860098%,4,0.283687943262411%,49422,8883,7.00000002980232%,13295
111,Otter Tail,381,10.060734090309%,,0%,33862,10372,15.9999996423721%,3787
113,Pennington,131,11.6444444444444%,,0%,6033,2102,10.9999999403954%,1125
115,Pine,470,23.5235235235235%,1,0.212765957446808%,15353,3736,20.9999993443489%,1998
117,Pipestone,88,10.3286384976526%,2,2.27272727272727%,4434,2140,17.0000001788139%,852
119,Polk,273,11.276332094176%,1,0.366300366300366%,14008,5117,15.9999996423721%,2421
121,Pope,146,19.2612137203166%,,0%,5827,2369,10.0000001490116%,758
123,Ramsey,11015,25.92801826613%,60,0.544711756695415%,206448,72654,15.9999996423721%,42483
125,Red Lake,34,10.7255520504732%,,0%,1883,809,15.9999996423721%,317
127,Redwood,265,21.4748784440843%,,0%,7230,3367,10.0000001490116%,1234
129,Renville,319,27.2649572649573%,2,0.626959247648903%,7413,3576,12.9999995231628%,1170
131,Rice,1158,22.9761904761905%,1,0.0863557858376511%,20061,6245,7.00000002980232%,5040
133,Rock,131,15.8595641646489%,,0%,4137,1958,9.00000035762787%,826
135,Roseau,140,10.9204368174727%,,0%,7101,1619,7.00000002980232%,1282
137,St. Louis,3233,24.9536894103118%,5,0.154655119084442%,95800,42088,17.0000001788139%,12956
139,Scott,1744,13.0129831368452%,1,0.0573394495412844%,31609,3236,1.99999995529652%,13402
141,Sherburne,1664,19.7133041108873%,1,0.0600961538461539%,22827,2046,2.99999993294477%,8441
143,Sibley,260,20.0462606013878%,1,0.384615384615385%,6024,2896,12.9999995231628%,1297
145,Stearns,2897,24.7395388556789%,3,0.103555402140145%,50291,11510,7.99999982118607%,11710
147,Steele,736,22.0293325351691%,2,0.271739130434783%,13306,4402,9.00000035762787%,3341
149,Stevens,166,24.519940915805%,,0%,4074,1578,10.9999999403954%,677
151,Swift,196,29.3853073463268%,1,0.510204081632653%,4821,2387,10.0000001490116%,667
153,Todd,425,21.7725409836066%,1,0.235294117647059%,11900,4399,18.0000007152557%,1952
155,Traverse,47,22.488038277512%,,0%,2199,1104,15.0000005960464%,209
157,Wabasha,235,14.1225961538462%,1,0.425531914893617%,9066,3327,7.99999982118607%,1664
159,Wadena,169,15.0623885918004%,,0%,6334,2137,20.0000002980232%,1122
161,Waseca,315,19.5773772529521%,1,0.317460317460317%,7427,2926,7.99999982118607%,1609
163,Washington,3050,15.9727677402461%,3,0.0983606557377049%,73635,8254,2.99999993294477%,19095
165,Watonwan,189,19.6465696465697%,3,1.58730158730159%,5036,2523,18.0000007152557%,962
167,Wilkin,72,15.5507559395248%,,0%,3105,1343,10.9999999403954%,463
169,Winona,508,15.8898967782296%,7,1.37795275590551%,19551,8332,12.9999995231628%,3197
171,Wright,2353,18.0444785276074%,3,0.127496812579686%,34355,6118,5.99999986588955%,13040
173,Yellow Medicine,174,23.6734693877551%,,0%,4873,2542,10.9999999403954%,735
999,Unknown County/Out Of State for Minnesota,3579,#DIV/0!,,0%,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Minnesota 2009 Confirmed Cases,,238,,,,,,
