"CBLS County-level Summary Data for MO, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,599,25,1,0.20000000949949%,0,,,
001,Adair County,313,12,2,0.600000005215406%,0,10826,2744,23.0000004172325%
003,Andrew County,154,13,0,0%,1,6662,1906,7.99999982118607%
005,Atchison County,59,15,0,0%,0,3103,1603,15.9999996423721%
007,Audrain County,411,13,2,0.499999988824129%,2,10881,3349,30.0000011920929%
009,Barry County,337,17,0,0%,0,15964,3410,23.9999994635582%
011,Barton County,124,12,0,0%,0,5409,1977,17.0000001788139%
013,Bates County,248,13,6,2.40000002086163%,2,7247,2452,17.0000001788139%
015,Benton County,156,12,1,0.600000005215406%,0,12691,1670,25.9999990463257%
017,Bollinger Count,180,3,0,0%,0,5522,1132,15.9999996423721%
019,Boone County,2125,34,1,0%,0,56678,5975,15.0000005960464%
021,Buchanan County,1253,120,15,1.20000001043081%,6,36574,15766,15.9999996423721%
023,Butler County,747,38,4,0.499999988824129%,0,18707,3202,30.0000011920929%
025,Caldwell County,116,21,1,0.899999961256981%,0,4493,1575,18.0000007152557%
027,Callaway County,469,19,1,0.20000000949949%,0,16167,2457,14.0000000596046%
029,Camden County,212,4,0,0%,0,33470,1377,20.0000002980232%
031,Cape Girardeau,618,45,2,0.300000002607703%,1,29434,5874,14.0000000596046%
033,Carroll County,248,21,4,1.60000007599592%,2,4897,2121,20.9999993443489%
035,Carter County,88,4,0,0%,0,3028,431,21.9999998807907%
037,Cass County,863,11,1,0.100000004749745%,0,31677,3661,7.00000002980232%
039,Cedar County,68,5,0,0%,0,6813,1508,25.9999990463257%
041,Chariton County,97,5,0,0%,0,4250,1644,14.0000000596046%
043,Christian Count,934,24,2,0.20000000949949%,0,21827,1933,15.0000005960464%
045,Clark County,85,5,1,1.20000001043081%,0,3483,1197,15.0000005960464%
047,Clay County,2214,33,3,0.100000004749745%,0,76230,9060,5.99999986588955%
049,Clinton County,195,11,0,0%,1,7877,2258,12.9999995231628%
051,Cole County,826,69,2,0.20000000949949%,0,28915,5437,14.0000000596046%
053,Cooper County,224,9,1,0.400000018998981%,0,6676,2439,12.9999995231628%
055,Crawford County,336,14,3,0.899999961256981%,3,10850,2132,30.0000011920929%
057,Dade County,74,6,3,4.10000011324883%,1,3758,1412,18.0000007152557%
059,Dallas County,141,8,0,0%,0,6914,1355,33.0000013113022%
061,Daviess County,101,5,0,0%,0,3853,1336,25%
063,DeKalb County,116,10,0,0%,0,3839,1186,10.9999999403954%
065,Dent County,249,21,1,0.400000018998981%,0,6994,1548,20.9999993443489%
067,Douglas County,286,15,1,0.300000002607703%,0,5919,1356,27.0000010728836%
069,Dunklin County,570,16,1,0.20000000949949%,0,14682,3201,37.0000004768372%
071,Franklin County,1034,32,2,0.20000000949949%,1,38295,7180,7.99999982118607%
073,Gasconade Count,218,17,0,0%,0,7813,2397,14.0000000596046%
075,Gentry County,108,10,0,0%,0,3214,1496,14.0000000596046%
077,Greene County,3380,84,11,0.300000002607703%,5,104517,18806,15.9999996423721%
079,Grundy County,156,11,1,0.600000005215406%,0,5102,2143,31.0000002384186%
081,Harrison County,158,9,0,0%,0,4316,1984,20.0000002980232%
083,Henry County,256,13,2,0.800000037997961%,1,10261,2850,23.0000004172325%
085,Hickory County,89,3,1,1.09999999403954%,0,6184,768,34.9999994039536%
087,Holt County,93,13,1,1.09999999403954%,1,2931,1366,21.9999998807907%
089,Howard County,202,15,1,0.499999988824129%,0,4346,1708,20.0000002980232%
091,Howell County,539,18,0,0%,0,16340,3050,27.0000010728836%
093,Iron County,359,46,3,0.800000037997961%,4,4907,1005,31.0000002384186%
095,Jackson County,11652,310,74,0.600000005215406%,15,288231,80038,18.9999997615814%
097,Jasper County,2419,226,18,0.700000021606684%,2,45571,14041,23.0000004172325%
099,Jefferson Count,1824,51,7,0.400000018998981%,3,75586,7794,10.0000001490116%
101,Johnson County,377,21,3,0.800000037997961%,1,18886,2978,18.9999997615814%
103,Knox County,76,5,0,0%,0,2317,1056,28.999999165535%
105,Laclede County,466,6,0,0%,0,14320,2427,20.9999993443489%
107,Lafayette Count,436,9,1,0.20000000949949%,0,13707,4187,14.0000000596046%
109,Lawrence County,507,24,1,0.20000000949949%,0,14789,4364,23.9999994635582%
111,Lewis County,125,2,0,0%,0,4602,1641,25.9999990463257%
113,Lincoln County,575,25,1,0.20000000949949%,0,15511,2300,10.0000001490116%
115,Linn County,146,10,0,0%,0,6554,2843,20.9999993443489%
117,Livingston Coun,281,17,0,0%,0,6467,2262,23.0000004172325%
119,McDonald County,406,14,0,0%,0,9287,2084,30.0000011920929%
121,Macon County,283,9,4,1.40000004321337%,1,7502,2795,18.0000007152557%
123,Madison County,227,23,3,1.30000002682209%,1,5656,1351,25.9999990463257%
125,Maries County,82,3,0,0%,0,4149,1027,18.9999997615814%
127,Marion County,587,39,7,1.20000001043081%,2,12443,5088,20.0000002980232%
129,Mercer County,30,2,0,0%,0,2125,791,7.99999982118607%
131,Miller County,236,4,1,0.400000018998981%,0,11263,1834,23.9999994635582%
133,Mississippi Cou,445,39,3,0.700000021606684%,1,5840,1564,25.9999990463257%
135,Moniteau County,180,11,3,1.7000000923872%,0,5742,1700,14.0000000596046%
137,Monroe County,96,7,0,0%,0,4565,1452,14.0000000596046%
139,Montgomery Coun,310,26,5,1.60000007599592%,2,5726,1728,17.0000001788139%
141,Morgan County,149,7,0,0%,0,13898,1606,27.0000010728836%
143,New Madrid Coun,305,6,0,0%,0,8600,1645,38.9999985694885%
145,Newton County,937,49,2,0.20000000949949%,0,21897,4790,17.0000001788139%
147,Nodaway County,208,9,0,0%,0,8909,3212,12.9999995231628%
149,Oregon County,232,15,0,0%,0,4997,1326,28.999999165535%
151,Osage County,143,12,1,0.700000021606684%,0,5904,1619,10.9999999403954%
153,Ozark County,108,10,0,0%,0,5114,834,38.9999985694885%
155,Pemiscot County,238,8,1,0.400000018998981%,0,8793,1951,49.0000009536743%
157,Perry County,98,.,0,0%,0,7815,2062,7.00000002980232%
159,Pettis County,833,78,9,1.09999999403954%,2,16963,5236,18.0000007152557%
161,Phelps County,765,19,2,0.300000002607703%,0,17501,2939,23.9999994635582%
163,Pike County,207,14,0,0%,0,7493,2257,20.0000002980232%
165,Platte County,881,10,1,0.100000004749745%,0,30902,2592,7.99999982118607%
167,Polk County,494,22,1,0.20000000949949%,1,11183,2406,20.0000002980232%
169,Pulaski County,357,8,0,0%,0,15408,1830,14.0000000596046%
171,Putnam County,70,3,1,1.40000004321337%,1,2914,896,17.0000001788139%
173,Ralls County,168,11,1,0.600000005215406%,0,4564,1074,15.0000005960464%
175,Randolph County,307,24,1,0.300000002607703%,1,10740,3567,15.9999996423721%
177,Ray County,409,21,1,0.20000000949949%,0,9371,2390,10.9999999403954%
179,Reynolds County,97,15,2,2.09999997168779%,0,3759,618,31.0000002384186%
181,Ripley County,222,11,2,0.899999961256981%,0,6392,988,28.0000001192093%
183,St. Charles Cou,2318,39,0,0%,1,105514,4981,5.99999986588955%
185,St. Clair Count,52,2,0,0%,0,5205,1500,31.0000002384186%
187,St. Francois Co,982,89,10,0.999999977648258%,5,24449,5417,23.0000004172325%
189,St. Louis Count,15853,505,58,0.400000018998981%,15,423749,77886,10.0000001490116%
195,Saline County,467,31,6,1.30000002682209%,1,10019,3479,18.0000007152557%
197,Schuyler County,100,9,0,0%,0,2027,923,25.9999990463257%
