"CBLS County-level Summary Data for MO, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair County,477,29.014598540146%,4,1,10826,2744,23.0000004172325%,1644
003,Andrew County,218,17.0046801872075%,1,0,6662,1906,7.99999982118607%,1282
005,Atchison County,108,29.8342541436464%,0,0,3103,1603,15.9999996423721%,362
007,Audrain County,324,15.3919239904988%,10,2,10881,3349,30.0000011920929%,2105
009,Barry County,413,15.2623798965262%,2,1,15964,3410,23.9999994635582%,2706
011,Barton County,276,23.6909871244635%,3,0,5409,1977,17.0000001788139%,1165
013,Bates County,441,34.6153846153846%,2,2,7247,2452,17.0000001788139%,1274
015,Benton County,225,23.2198142414861%,1,0,12691,1670,25.9999990463257%,969
017,Bollinger County,216,24.1610738255034%,1,0,5522,1132,15.9999996423721%,894
019,Boone County,1942,19.6201252778339%,3,2,56678,5975,15.0000005960464%,9898
021,Buchanan County,997,15.5344344032409%,39,23,36574,15766,15.9999996423721%,6418
023,Butler County,553,18.2207578253707%,3,3,18707,3202,30.0000011920929%,3035
025,Caldwell County,227,33.7797619047619%,1,2,4493,1575,18.0000007152557%,672
027,Callaway County,397,12.8854268094774%,5,0,16167,2457,14.0000000596046%,3081
029,Camden County,254,11.8747078073866%,0,0,33470,1377,20.0000002980232%,2139
031,Cape Girardeau County,716,14.873286248442%,11,4,29434,5874,14.0000000596046%,4814
033,Carroll County,243,31.8897637795276%,4,3,4897,2121,20.9999993443489%,762
035,Carter County,110,24.6085011185682%,2,0,3028,431,21.9999998807907%,447
037,Cass County,540,7.25513905683192%,1,0,31677,3661,7.00000002980232%,7443
039,Cedar County,73,7.78251599147122%,0,0,6813,1508,25.9999990463257%,938
041,Chariton County,137,25.7518796992481%,6,2,4250,1644,14.0000000596046%,532
043,Christian County,759,15.3178607467205%,0,0,21827,1933,15.0000005960464%,4955
045,Clark County,116,21.8455743879473%,3,2,3483,1197,15.0000005960464%,531
047,Clay County,609,3.8507745810939%,3,4,76230,9060,5.99999986588955%,15815
049,Clinton County,189,12.5581395348837%,5,2,7877,2258,12.9999995231628%,1505
051,Cole County,741,13.3129716133669%,5,0,28915,5437,14.0000000596046%,5566
053,Cooper County,212,17.5642087821044%,2,0,6676,2439,12.9999995231628%,1207
055,Crawford County,276,16.1781946072685%,3,1,10850,2132,30.0000011920929%,1706
057,Dade County,124,23.2645403377111%,2,1,3758,1412,18.0000007152557%,533
059,Dallas County,180,14.8760330578512%,0,0,6914,1355,33.0000013113022%,1210
061,Daviess County,157,23.7518910741301%,1,2,3853,1336,25%,661
063,DeKalb County,152,20.6241519674356%,4,2,3839,1186,10.9999999403954%,737
065,Dent County,299,26.297273526825%,1,1,6994,1548,20.9999993443489%,1137
067,Douglas County,233,25.4366812227074%,0,0,5919,1356,27.0000010728836%,916
069,Dunklin County,461,16.1981728742094%,4,1,14682,3201,37.0000004768372%,2846
071,Franklin County,1001,13.2495036399735%,6,5,38295,7180,7.99999982118607%,7555
073,Gasconade County,209,18.5777777777778%,1,2,7813,2397,14.0000000596046%,1125
075,Gentry County,135,25.6166982922201%,0,0,3214,1496,14.0000000596046%,527
077,Greene County,,0%,,,104517,18806,15.9999996423721%,17534
079,Grundy County,302,37.5621890547264%,0,1,5102,2143,31.0000002384186%,804
081,Harrison County,219,31.6473988439306%,1,0,4316,1984,20.0000002980232%,692
083,Henry County,245,16.3007318695941%,2,1,10261,2850,23.0000004172325%,1503
085,Hickory County,90,19.8675496688742%,0,0,6184,768,34.9999994039536%,453
087,Holt County,102,31.6770186335404%,1,0,2931,1366,21.9999998807907%,322
089,Howard County,170,25%,3,0,4346,1708,20.0000002980232%,680
091,Howell County,256,8.63115306810519%,2,0,16340,3050,27.0000010728836%,2966
093,Iron County,385,48.5498108448928%,15,10,4907,1005,31.0000002384186%,793
095,Jackson County,6085,11.17067170892%,169,69,288231,80038,18.9999997615814%,54473
097,Jasper County,2108,23.1317897509053%,25,12,45571,14041,23.0000004172325%,9113
099,Jefferson County,1622,9.50817750161205%,13,6,75586,7794,10.0000001490116%,17059
101,Johnson County,212,5.25924088315554%,1,1,18886,2978,18.9999997615814%,4031
103,Knox County,83,24.4117647058823%,0,0,2317,1056,28.999999165535%,340
105,Laclede County,472,17.4362763206502%,1,0,14320,2427,20.9999993443489%,2707
107,Lafayette County,299,12.2994652406417%,4,1,13707,4187,14.0000000596046%,2431
109,Lawrence County,632,20.4200323101777%,1,2,14789,4364,23.9999994635582%,3095
111,Lewis County,177,20.4387990762125%,5,4,4602,1641,25.9999990463257%,866
113,Lincoln County,473,13.5685599541021%,0,0,15511,2300,10.0000001490116%,3486
115,Linn County,375,34.7866419294991%,7,2,6554,2843,20.9999993443489%,1078
117,Livingston County,296,27.2309107635695%,8,0,6467,2262,23.0000004172325%,1087
119,McDonald County,328,16.582406471183%,2,1,9287,2084,30.0000011920929%,1978
121,Macon County,378,32.1702127659574%,4,1,7502,2795,18.0000007152557%,1175
123,Madison County,361,40.0221729490022%,8,9,5656,1351,25.9999990463257%,902
125,Maries County,116,16.3380281690141%,0,0,4149,1027,18.9999997615814%,710
127,Marion County,622,28.1830539193475%,12,7,12443,5088,20.0000002980232%,2207
129,Mercer County,102,40.4761904761905%,0,0,2125,791,7.99999982118607%,252
131,Miller County,267,13.5739705134723%,2,0,11263,1834,23.9999994635582%,1967
133,Mississippi County,562,49.3848857644991%,2,2,5840,1564,25.9999990463257%,1138
135,Moniteau County,314,26.5426880811496%,4,0,5742,1700,14.0000000596046%,1183
137,Monroe County,163,21.7043941411451%,2,1,4565,1452,14.0000000596046%,751
139,Montgomery County,228,26.8867924528302%,0,0,5726,1728,17.0000001788139%,848
141,Morgan County,164,11.639460610362%,1,1,13898,1606,27.0000010728836%,1409
143,New Madrid County,371,23.6005089058524%,0,0,8600,1645,38.9999985694885%,1572
145,Newton County,1095,24.8807089297887%,7,3,21897,4790,17.0000001788139%,4401
147,Nodaway County,397,31.6082802547771%,2,3,8909,3212,12.9999995231628%,1256
149,Oregon County,249,31.6391359593393%,1,0,4997,1326,28.999999165535%,787
151,Osage County,156,14.985590778098%,1,0,5904,1619,10.9999999403954%,1041
153,Ozark County,105,17.6470588235294%,0,0,5114,834,38.9999985694885%,595
155,Pemiscot County,230,11.3636363636364%,2,2,8793,1951,49.0000009536743%,2024
157,Perry County,322,21.5962441314554%,4,1,7815,2062,7.00000002980232%,1491
159,Pettis County,733,21.8349717009234%,19,15,16963,5236,18.0000007152557%,3357
161,Phelps County,585,21.2187159956474%,2,0,17501,2939,23.9999994635582%,2757
163,Pike County,320,27.1877655055225%,1,0,7493,2257,20.0000002980232%,1177
165,Platte County,290,4.75721784776903%,2,0,30902,2592,7.99999982118607%,6096
167,Polk County,320,14.336917562724%,1,0,11183,2406,20.0000002980232%,2232
169,Pulaski County,295,8.24022346368715%,0,0,15408,1830,14.0000000596046%,3580
171,Putnam County,114,29.4573643410853%,1,0,2914,896,17.0000001788139%,387
173,Ralls County,197,28.2234957020057%,0,0,4564,1074,15.0000005960464%,698
