"CBLS County-level Summary Data for MO, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair County,423,26.4999985694885%,0,0%,0,10826,2744,23.0000004172325%,1598
003,Andrew County,190,15.8999994397163%,1,0.526315789473684%,0,6662,1906,7.99999982118607%,1197
005,Atchison County,98,28.600001335144%,1,1.02040816326531%,0,3103,1603,15.9999996423721%,343
007,Audrain County,389,17.2999992966652%,7,1.79948586118252%,3,10881,3349,30.0000011920929%,2253
009,Barry County,425,13.6000007390976%,3,0.705882352941176%,1,15964,3410,23.9999994635582%,3123
011,Barton County,208,21.5000003576279%,3,1.44230769230769%,1,5409,1977,17.0000001788139%,968
013,Bates County,449,34.2999994754791%,2,0.44543429844098%,1,7247,2452,17.0000001788139%,1308
015,Benton County,178,16.5000006556511%,0,0%,0,12691,1670,25.9999990463257%,1079
017,Bollinger County,247,29.3000012636185%,0,0%,0,5522,1132,15.9999996423721%,844
019,Boone County,2168,18.299999833107%,2,0.0922509225092251%,1,56678,5975,15.0000005960464%,11865
021,Buchanan County,925,13.3000001311302%,33,3.56756756756757%,19,36574,15766,15.9999996423721%,6933
023,Butler County,564,16.7999997735024%,5,0.886524822695036%,2,18707,3202,30.0000011920929%,3362
025,Caldwell County,207,27.9000014066696%,0,0%,2,4493,1575,18.0000007152557%,741
027,Callaway County,487,15.5000001192093%,2,0.410677618069815%,0,16167,2457,14.0000000596046%,3135
029,Camden County,321,11.9000002741814%,0,0%,0,33470,1377,20.0000002980232%,2697
031,Cape Girardeau County,707,12.8999993205071%,2,0.282885431400283%,3,29434,5874,14.0000000596046%,5466
033,Carroll County,203,31.2000006437302%,3,1.47783251231527%,1,4897,2121,20.9999993443489%,651
035,Carter County,116,23.8000005483627%,0,0%,0,3028,431,21.9999998807907%,487
037,Cass County,606,7.50000029802322%,2,0.33003300330033%,0,31677,3661,7.00000002980232%,8117
039,Cedar County,93,9.7000002861023%,0,0%,0,6813,1508,25.9999990463257%,962
041,Chariton County,132,25.6999999284744%,4,3.03030303030303%,1,4250,1644,14.0000000596046%,514
043,Christian County,892,13.8999998569489%,2,0.224215246636771%,0,21827,1933,15.0000005960464%,6414
045,Clark County,108,21.0999995470047%,0,0%,1,3483,1197,15.0000005960464%,511
047,Clay County,1810,9.6000000834465%,4,0.220994475138122%,3,76230,9060,5.99999986588955%,18767
049,Clinton County,293,18.1999996304512%,3,1.02389078498294%,1,7877,2258,12.9999995231628%,1613
051,Cole County,859,14.6999999880791%,1,0.116414435389988%,0,28915,5437,14.0000000596046%,5827
053,Cooper County,236,19.7999998927116%,0,0%,0,6676,2439,12.9999995231628%,1194
055,Crawford County,293,15.0000005960464%,1,0.341296928327645%,1,10850,2132,30.0000011920929%,1952
057,Dade County,103,19.5999994874001%,0,0%,1,3758,1412,18.0000007152557%,526
059,Dallas County,171,12.5%,1,0.584795321637427%,0,6914,1355,33.0000013113022%,1371
061,Daviess County,158,22.1000000834465%,1,0.632911392405063%,0,3853,1336,25%,715
