"CBLS County-level Summary Data for MO, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair,413,24.0395809080326%,1,0.242130750605327%,10826,2744,23.0000004172325%,1718
003,Andrew,179,14.7689768976898%,1,0.558659217877095%,6662,1906,7.99999982118607%,1212
005,Atchison,37,10.2493074792244%,,0%,3103,1603,15.9999996423721%,361
007,Audrain,383,16.3815226689478%,4,1.0443864229765%,10881,3349,30.0000011920929%,2338
009,Barry,349,11.2435567010309%,,0%,15964,3410,23.9999994635582%,3104
011,Barton,172,17.8238341968912%,,0%,5409,1977,17.0000001788139%,965
013,Bates,78,5.93155893536122%,1,1.28205128205128%,7247,2452,17.0000001788139%,1315
015,Benton,176,17.0048309178744%,,0%,12691,1670,25.9999990463257%,1035
017,Bollinger,254,28.5072951739618%,,0%,5522,1132,15.9999996423721%,891
019,Boone,2039,16.9973324441481%,3,0.147130946542423%,56678,5975,15.0000005960464%,11996
021,Buchanan,1172,15.7167761834518%,9,0.767918088737201%,36574,15766,15.9999996423721%,7457
023,Butler,656,18.8831318364997%,1,0.152439024390244%,18707,3202,30.0000011920929%,3474
025,Caldwell,200,27.4725274725275%,,0%,4493,1575,18.0000007152557%,728
027,Callaway,432,13.7404580152672%,,0%,16167,2457,14.0000000596046%,3144
029,Camden,346,13.1259484066768%,,0%,33470,1377,20.0000002980232%,2636
031,Cape Girardeau,588,10.4070796460177%,4,0.680272108843537%,29434,5874,14.0000000596046%,5650
033,Carroll,209,31.9571865443425%,2,0.956937799043062%,4897,2121,20.9999993443489%,654
035,Carter,115,24.0083507306889%,,0%,3028,431,21.9999998807907%,479
037,Cass,899,11.0131079260076%,2,0.222469410456062%,31677,3661,7.00000002980232%,8163
039,Cedar,97,9.81781376518219%,,0%,6813,1508,25.9999990463257%,988
041,Chariton,109,19.6043165467626%,,0%,4250,1644,14.0000000596046%,556
043,Christian,862,12.7684787438898%,,0%,21827,1933,15.0000005960464%,6751
045,Clark,81,15.1119402985075%,,0%,3483,1197,15.0000005960464%,536
047,Clay,2104,10.6682892201602%,1,0.0475285171102662%,76230,9060,5.99999986588955%,19722
049,Clinton,233,14.6081504702194%,,0%,7877,2258,12.9999995231628%,1595
051,Cole,832,13.8251910933865%,2,0.240384615384615%,28915,5437,14.0000000596046%,6018
053,Cooper,273,21.7183770883055%,,0%,6676,2439,12.9999995231628%,1257
055,Crawford,310,15.3162055335968%,3,0.967741935483871%,10850,2132,30.0000011920929%,2024
057,Dade,92,18.0039138943249%,,0%,3758,1412,18.0000007152557%,511
059,Dallas,139,10.0944081336238%,,0%,6914,1355,33.0000013113022%,1377
061,Daviess,148,20.1086956521739%,2,1.35135135135135%,3853,1336,25%,736
063,DeKalb,116,16.0887656033287%,,0%,3839,1186,10.9999999403954%,721
065,Dent,237,21.6438356164384%,,0%,6994,1548,20.9999993443489%,1095
067,Douglas,213,22.0725388601036%,,0%,5919,1356,27.0000010728836%,965
069,Dunklin,387,14.0522875816993%,2,0.516795865633075%,14682,3201,37.0000004768372%,2754
071,Franklin,835,10.2140672782875%,2,0.239520958083832%,38295,7180,7.99999982118607%,8175
073,Gasconade,164,16.6497461928934%,,0%,7813,2397,14.0000000596046%,985
075,Gentry,107,21.4428857715431%,1,0.934579439252336%,3214,1496,14.0000000596046%,499
077,Greene,3539,17.0957924737935%,8,0.226052557219554%,104517,18806,15.9999996423721%,20701
079,Grundy,202,25.1556662515567%,,0%,5102,2143,31.0000002384186%,803
081,Harrison,172,24.6418338108883%,,0%,4316,1984,20.0000002980232%,698
083,Henry,291,18.0074257425743%,,0%,10261,2850,23.0000004172325%,1616
085,Hickory,96,20.7792207792208%,,0%,6184,768,34.9999994039536%,462
087,Holt,103,29.2613636363636%,,0%,2931,1366,21.9999998807907%,352
089,Howard,211,30.5354558610709%,2,0.947867298578199%,4346,1708,20.0000002980232%,691
091,Howell,223,6.87422934648582%,1,0.448430493273543%,16340,3050,27.0000010728836%,3244
093,Iron,353,45.3727506426735%,2,0.56657223796034%,4907,1005,31.0000002384186%,778
095,Jackson,13182,21.1355000080168%,44,0.333788499468973%,288231,80038,18.9999997615814%,62369
097,Jasper,2684,24.0760674560459%,12,0.447093889716841%,45571,14041,23.0000004172325%,11148
099,Jefferson,1714,9.57970042477085%,3,0.175029171528588%,75586,7794,10.0000001490116%,17892
101,Johnson,496,11.7730833135533%,3,0.604838709677419%,18886,2978,18.9999997615814%,4213
103,Knox,76,25.503355704698%,,0%,2317,1056,28.999999165535%,298
105,Laclede,615,20.6099195710456%,,0%,14320,2427,20.9999993443489%,2984
107,Lafayette,570,23.0210016155089%,,0%,13707,4187,14.0000000596046%,2476
109,Lawrence,532,16.7453572552723%,,0%,14789,4364,23.9999994635582%,3177
111,Lewis,134,20%,,0%,4602,1641,25.9999990463257%,670
113,Lincoln,527,11.1723553105788%,2,0.379506641366224%,15511,2300,10.0000001490116%,4717
115,Linn,213,21.0474308300395%,,0%,6554,2843,20.9999993443489%,1012
117,Livingston,257,23.730378578024%,1,0.389105058365759%,6467,2262,23.0000004172325%,1083
119,McDonald,354,16.0909090909091%,1,0.282485875706215%,9287,2084,30.0000011920929%,2200
121,Macon,285,23.75%,,0%,7502,2795,18.0000007152557%,1200
123,Madison,108,11.5015974440895%,,0%,5656,1351,25.9999990463257%,939
125,Maries,98,15.7303370786517%,,0%,4149,1027,18.9999997615814%,623
127,Marion,680,27.4414850686037%,8,1.17647058823529%,12443,5088,20.0000002980232%,2478
129,Mercer,63,23.4200743494424%,1,1.58730158730159%,2125,791,7.99999982118607%,269
131,Miller,247,12.3561780890445%,,0%,11263,1834,23.9999994635582%,1999
133,Mississippi,461,42.8040854224698%,,0%,5840,1564,25.9999990463257%,1077
