"CBLS County-level Summary Data for MS, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,704,34,0,0%,0,,,
003,Alcorn County,496,15,0,0%,0,,,
005,Amite County,181,3,0,0%,0,,,
007,Attala County,381,12,0,0%,2,,,
009,Benton County,144,.,0,0%,0,,,
011,Bolivar County,642,20,1,0.20000000949949%,0,,,
013,Calhoun County,262,19,1,0.400000018998981%,0,,,
015,Carroll County,200,4,1,0.499999988824129%,0,,,
017,Chickasaw Count,337,13,0,0%,1,,,
019,Choctaw County,85,3,0,0%,0,,,
021,Claiborne Count,238,25,0,0%,0,,,
023,Clarke County,186,13,1,0.499999988824129%,0,,,
025,Clay County,361,4,0,0%,1,,,
027,Coahoma County,876,52,3,0.300000002607703%,3,,,
029,Copiah County,535,33,1,0.20000000949949%,0,,,
031,Covington Count,253,77,2,0.800000037997961%,1,,,
033,De Soto County,1263,28,3,0.20000000949949%,0,,,
035,Forrest County,1197,653,4,0.300000002607703%,0,,,
037,Franklin County,142,11,0,0%,0,,,
039,George County,428,15,0,0%,0,,,
041,Greene County,161,27,1,0.600000005215406%,0,,,
043,Grenada County,572,21,0,0%,0,,,
045,Hancock County,437,7,0,0%,0,,,
047,Harrison County,2699,77,2,0.100000004749745%,0,,,
049,Hinds County,4661,127,12,0.300000002607703%,3,,,
051,Holmes County,465,15,6,1.30000002682209%,3,,,
053,Humphreys Count,437,19,1,0.20000000949949%,1,,,
055,Issaquena Count,28,3,1,3.59999984502792%,0,,,
057,Itawamba County,265,5,0,0%,0,,,
059,Jackson County,1177,67,1,0.100000004749745%,0,,,
061,Jasper County,327,28,0,0%,0,,,
063,Jefferson Count,229,18,0,0%,0,,,
065,Jefferson Davis,256,66,0,0%,0,,,
067,Jones County,1426,143,11,0.800000037997961%,4,,,
069,Kemper County,144,4,0,0%,0,,,
071,Lafayette Count,355,10,0,0%,0,,,
073,Lamar County,530,297,0,0%,0,,,
075,Lauderdale Coun,1125,66,12,1.09999999403954%,4,,,
077,Lawrence County,269,20,0,0%,0,,,
079,Leake County,596,16,1,0.20000000949949%,0,,,
081,Lee County,1102,7,0,0%,0,,,
083,Leflore County,1044,54,9,0.899999961256981%,3,,,
085,Lincoln County,476,20,2,0.400000018998981%,1,,,
087,Lowndes County,708,22,0,0%,1,,,
089,Madison County,1324,21,0,0%,1,,,
091,Marion County,494,111,3,0.600000005215406%,1,,,
093,Marshall County,740,23,0,0%,0,,,
095,Monroe County,561,12,2,0.400000018998981%,0,,,
097,Montgomery Coun,212,6,0,0%,0,,,
099,Neshoba County,683,16,2,0.300000002607703%,1,,,
101,Newton County,380,13,1,0.300000002607703%,0,,,
103,Noxubee County,292,8,2,0.700000021606684%,1,,,
105,Oktibbeha Count,588,7,0,0%,0,,,
107,Panola County,814,23,0,0%,0,,,
109,Pearl River Cou,714,84,0,0%,0,,,
111,Perry County,231,76,1,0.400000018998981%,0,,,
113,Pike County,273,21,5,1.79999992251396%,1,,,
115,Pontotoc County,358,6,0,0%,0,,,
117,Prentiss County,372,7,2,0.499999988824129%,0,,,
119,Quitman County,167,9,0,0%,0,,,
121,Rankin County,1230,25,1,0.100000004749745%,0,,,
123,Scott County,576,17,1,0.20000000949949%,0,,,
125,Sharkey County,103,13,0,0%,0,,,
127,Simpson County,348,27,3,0.899999961256981%,1,,,
129,Smith County,204,15,0,0%,0,,,
131,Stone County,224,64,0,0%,0,,,
133,Sunflower Count,579,16,0,0%,1,,,
135,Tallahatchie Co,404,13,1,0.20000000949949%,0,,,
137,Tate County,170,7,1,0.600000005215406%,0,,,
139,Tippah County,308,13,1,0.300000002607703%,0,,,
141,Tishomingo Coun,260,6,0,0%,0,,,
143,Tunica County,330,14,0,0%,0,,,
145,Union County,384,5,0,0%,0,,,
147,Walthall County,140,9,1,0.700000021606684%,0,,,
149,Warren County,957,53,0,0%,0,,,
151,Washington Coun,1453,63,2,0.100000004749745%,0,,,
153,Wayne County,315,25,0,0%,0,,,
155,Webster County,126,9,0,0%,0,,,
157,Wilkinson Count,152,7,0,0%,0,,,
159,Winston County,310,4,0,0%,0,,,
161,Yalobusha Count,240,4,0,0%,0,,,
163,Yazoo County,866,23,3,0.300000002607703%,0,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 7,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 1,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
