"CBLS County-level Summary Data for MS, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,429,16.6999995708466%,2,0.466200466200466%,1,,,,2565
003,Alcorn County,318,11.1000001430511%,2,0.628930817610063%,0,,,,2856
005,Amite County,145,14.5999997854233%,1,0.689655172413793%,1,,,,996
007,Attala County,389,22.6999998092651%,4,1.02827763496144%,0,,,,1717
009,Benton County,104,14.8000001907349%,0,0%,0,,,,704
011,Bolivar County,856,24.099999666214%,6,0.700934579439252%,1,,,,3546
013,Calhoun County,233,19.6999996900558%,1,0.429184549356223%,0,,,,1185
015,Carroll County,199,30.8999985456467%,0,0%,0,,,,645
017,Chickasaw County,324,18.7000006437302%,5,1.54320987654321%,1,,,,1734
019,Choctaw County,83,14.0000000596046%,1,1.20481927710843%,0,,,,593
021,Claiborne County,149,17.1000003814697%,1,0.671140939597315%,0,,,,870
023,Clarke County,185,13.0999997258186%,2,1.08108108108108%,0,,,,1407
025,Clay County,255,14.3999993801117%,1,0.392156862745098%,0,,,,1766
027,Coahoma County,816,27.7999997138977%,7,0.857843137254902%,2,,,,2936
029,Copiah County,548,20.2000007033348%,3,0.547445255474453%,1,,,,2714
031,Covington County,237,12.9999995231628%,0,0%,1,,,,1819
033,De Soto County,939,6.59999996423721%,1,0.106496272630458%,1,,,,14310
035,Forrest County,1325,18.7999993562698%,4,0.30188679245283%,8,,,,7030
037,Franklin County,108,16.2000000476837%,0,0%,0,,,,667
039,George County,368,17.2000005841255%,0,0%,0,,,,2142
041,Greene County,98,10.700000077486%,0,0%,0,,,,913
043,Grenada County,298,15.6000003218651%,0,0%,0,,,,1916
045,Hancock County,117,4.39999997615814%,0,0%,0,,,,2678
047,Harrison County,1074,7.10000023245811%,4,0.37243947858473%,2,,,,15188
049,Hinds County,4100,17.2999992966652%,28,0.682926829268293%,14,,,,23682
051,Holmes County,596,26.800000667572%,5,0.838926174496644%,1,,,,2223
053,Humphreys County,336,30.1999986171722%,11,3.27380952380952%,4,,,,1112
055,Issaquena County,19,25%,0,0%,0,,,,76
057,Itawamba County,120,7.10000023245811%,0,0%,0,,,,1679
059,Jackson County,920,8.39999988675118%,4,0.434782608695652%,2,,,,10986
061,Jasper County,291,19.4999992847443%,3,1.03092783505155%,1,,,,1493
063,Jefferson County,152,20.100000500679%,0,0%,0,,,,757
065,Jefferson Davis County,135,13.5000005364418%,1,0.740740740740741%,0,,,,1000
067,Jones County,1066,16.8999999761581%,21,1.96998123827392%,8,,,,6303
069,Kemper County,119,15.8999994397163%,1,0.840336134453782%,0,,,,749
071,Lafayette County,326,10.5999998748302%,0,0%,0,,,,3089
073,Lamar County,314,6.8000003695488%,2,0.636942675159236%,0,,,,4609
075,Lauderdale County,839,11.9000002741814%,11,1.31108462455304%,7,,,,7064
077,Lawrence County,127,11.9999997317791%,0,0%,0,,,,1061
079,Leake County,471,20.7000002264976%,4,0.849256900212314%,0,,,,2276
