"CBLS County-level Summary Data for NC, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alamance County,1302,11.6999998688698%,3,0.230414746543779%,0,55463,9357,17.0000001788139%,11113
003,Alexander County,366,14.6999999880791%,1,0.273224043715847%,0,14098,1569,11.9999997317791%,2488
005,Alleghany County,106,18.1999996304512%,0,0%,0,6412,962,23.0000004172325%,582
007,Anson County,426,23.3999997377396%,2,0.469483568075117%,0,10221,2171,25%,1823
009,Ashe County,318,20.2000007033348%,1,0.314465408805031%,0,13268,2020,18.9999997615814%,1575
011,Avery County,222,23.1000006198883%,1,0.450450450450451%,0,11911,1500,27.0000010728836%,963
013,Beaufort County,798,21.8999996781349%,1,0.12531328320802%,0,22139,3363,27.0000010728836%,3652
015,Bertie County,378,26.6999989748001%,0,0%,2,9050,1645,34.0000003576279%,1417
017,Bladen County,499,18.0000007152557%,0,0%,0,15316,2102,28.999999165535%,2767
019,Brunswick County,1125,18.7000006437302%,1,0.0888888888888889%,0,51431,1881,23.9999994635582%,6026
021,Buncombe County,2134,13.6000007390976%,1,0.0468603561387067%,1,93973,19389,17.0000001788139%,15670
023,Burke County,1007,16.3000002503395%,2,0.198609731876862%,0,37427,6043,15.0000005960464%,6183
025,Cabarrus County,3095,22.2000002861023%,4,0.12924071082391%,0,52848,9374,10.9999999403954%,13915
027,Caldwell County,1216,21.0999995470047%,2,0.164473684210526%,0,33430,4987,18.0000007152557%,5751
029,Camden County,100,15.2999997138977%,0,0%,0,2973,617,15.9999996423721%,653
031,Carteret County,920,23.8999992609024%,0,0%,0,40947,3295,15.0000005960464%,3857
033,Caswell County,206,14.2000004649162%,0,0%,0,9601,1491,20.9999993443489%,1448
035,Catawba County,2046,16.6999995708466%,10,0.488758553274682%,1,59919,7344,12.9999995231628%,12237
037,Chatham County,554,12.6000002026558%,6,1.08303249097473%,0,21358,2963,17.0000001788139%,4402
039,Cherokee County,76,4.50000017881393%,0,0%,0,13499,1739,23.0000004172325%,1671
041,Chowan County,199,18.0999994277954%,1,0.50251256281407%,1,6443,1270,23.9999994635582%,1098
043,Clay County,122,22.3000004887581%,0,0%,0,5425,629,25.9999990463257%,546
045,Cleveland County,1264,17.2999992966652%,8,0.632911392405063%,0,40317,5951,21.9999998807907%,7310
047,Columbus County,1244,27.5999993085861%,5,0.401929260450161%,1,24060,3502,31.9999992847443%,4513
049,Craven County,2173,23.3999997377396%,2,0.092038656235619%,0,38150,4538,18.9999997615814%,9294
051,Cumberland County,2313,7.50000029802322%,9,0.389105058365759%,0,118425,7963,18.0000007152557%,30690
053,Currituck County,260,15.8999994397163%,0,0%,0,10687,819,17.0000001788139%,1632
055,Dare County,281,10.8000002801418%,0,0%,0,26671,1043,11.9999997317791%,2609
057,Davidson County,2008,17.2000005841255%,4,0.199203187250996%,0,62432,8650,14.0000000596046%,11673
059,Davie County,420,15.3999999165535%,1,0.238095238095238%,0,14953,2270,12.9999995231628%,2735
061,Duplin County,908,19.200000166893%,9,0.991189427312775%,0,20520,3744,25%,4725
063,Durham County,4133,18.0999994277954%,22,0.532300992015485%,4,95452,11982,18.9999997615814%,22880
065,Edgecombe County,968,21.1999997496605%,5,0.516528925619835%,2,24002,4107,33.0000013113022%,4562
067,Forsyth County,4191,15.0000005960464%,20,0.477213075638272%,2,133093,18461,17.0000001788139%,27911
069,Franklin County,739,17.2999992966652%,4,0.54127198917456%,0,20364,2713,18.0000007152557%,4264
071,Gaston County,1310,8.39999988675118%,2,0.152671755725191%,0,78842,13692,15.9999996423721%,15683
073,Gates County,168,22.4000006914139%,0,0%,1,4389,905,21.9999998807907%,749
075,Graham County,145,25.6000012159348%,0,0%,0,5084,709,25.9999990463257%,566
077,Granville County,636,16.5999993681908%,3,0.471698113207547%,0,17896,2589,17.0000001788139%,3820
079,Greene County,248,16.0999998450279%,1,0.403225806451613%,0,7368,1078,23.9999994635582%,1537
081,Guilford County,7010,19.5999994874001%,24,0.342368045649073%,3,180391,23822,15.9999996423721%,35848
083,Halifax County,1018,23.4999999403954%,14,1.37524557956778%,2,25309,4868,34.0000003576279%,4326
085,Harnett County,1472,16.3000002503395%,3,0.203804347826087%,2,38605,4527,18.9999997615814%,9050
087,Haywood County,552,16.0999998450279%,0,0%,0,28640,5032,23.0000004172325%,3434
089,Henderson County,854,12.5%,0,0%,0,42996,5079,15.0000005960464%,6848
091,Hertford County,405,23.3999997377396%,1,0.246913580246914%,0,9724,1680,25%,1734
093,Hoke County,460,10.4000002145767%,2,0.434782608695652%,0,12518,862,20.0000002980232%,4437
095,Hyde County,53,16.3000002503395%,0,0%,0,3302,723,18.9999997615814%,326
097,Iredell County,1221,10.700000077486%,3,0.245700245700246%,0,51918,7548,10.9999999403954%,11433
099,Jackson County,381,17.399999499321%,0,0%,0,19291,2282,17.0000001788139%,2187
101,Johnston County,1723,12.3000003397465%,2,0.116076610562972%,0,50196,6398,18.0000007152557%,14020
103,Jones County,149,25.900000333786%,0,0%,0,4679,889,27.0000010728836%,575
105,Lee County,1343,25.6999999284744%,8,0.595681310498883%,0,19909,2208,20.9999993443489%,5217
107,Lenoir County,1322,28.600001335144%,11,0.832072617246596%,2,27184,4263,25%,4627
109,Lincoln County,512,9.39999967813492%,2,0.390625%,0,25717,3188,10.9999999403954%,5444
111,McDowell County,563,18.299999833107%,0,0%,0,18377,3215,15.9999996423721%,3084
113,Macon County,505,25.0999987125397%,3,0.594059405940594%,0,20746,2157,18.0000007152557%,2015
115,Madison County,232,16.7999997735024%,2,0.862068965517241%,0,9722,2072,18.0000007152557%,1380
117,Martin County,358,19.6999996900558%,2,0.558659217877095%,0,10930,2100,28.0000001192093%,1814
119,Mecklenburg County,7865,10.0000001490116%,16,0.203432930705658%,1,292780,23306,11.9999997317791%,78268
121,Mitchell County,158,16.0999998450279%,2,1.26582278481013%,0,7919,1522,15.0000005960464%,984
123,Montgomery County,484,20.9999993443489%,4,0.826446280991735%,0,14145,1907,23.0000004172325%,2300
125,Moore County,874,15.0999993085861%,2,0.22883295194508%,0,35151,4436,20.0000002980232%,5785
127,Nash County,1599,21.6000005602837%,12,0.75046904315197%,1,37051,5371,17.0000001788139%,7395
