"CBLS County-level Summary Data for NC, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alamance County,1818,15.6000003218651%,7,0.385038503850385%,1,55463,9357,17.0000001788139%,11655
003,Alexander County,637,25.0999987125397%,0,0%,0,14098,1569,11.9999997317791%,2533
005,Alleghany County,163,26.1999994516373%,0,0%,0,6412,962,23.0000004172325%,622
007,Anson County,428,23.0000004172325%,0,0%,0,10221,2171,25%,1864
009,Ashe County,378,22.5999996066093%,1,0.264550264550265%,0,13268,2020,18.9999997615814%,1672
011,Avery County,245,24.8999997973442%,1,0.408163265306122%,0,11911,1500,27.0000010728836%,983
013,Beaufort County,884,24.8999997973442%,0,0%,0,22139,3363,27.0000010728836%,3551
015,Bertie County,415,29.4999986886978%,0,0%,2,9050,1645,34.0000003576279%,1408
017,Bladen County,590,21.8999996781349%,2,0.338983050847458%,0,15316,2102,28.999999165535%,2697
019,Brunswick County,1433,20.4999998211861%,1,0.0697836706210747%,0,51431,1881,23.9999994635582%,6976
021,Buncombe County,3209,19.6999996900558%,6,0.186974135244625%,0,93973,19389,17.0000001788139%,16314
023,Burke County,1229,20.4999998211861%,0,0%,0,37427,6043,15.0000005960464%,6009
025,Cabarrus County,3613,23.2999995350838%,6,0.166066980348741%,0,52848,9374,10.9999999403954%,15529
027,Caldwell County,1472,25.9999990463257%,0,0%,0,33430,4987,18.0000007152557%,5668
029,Camden County,129,17.8000003099442%,0,0%,0,2973,617,15.9999996423721%,723
031,Carteret County,978,24.3000000715256%,3,0.306748466257669%,0,40947,3295,15.0000005960464%,4022
033,Caswell County,234,16.2000000476837%,0,0%,0,9601,1491,20.9999993443489%,1441
035,Catawba County,2349,18.8999995589256%,10,0.42571306939123%,1,59919,7344,12.9999995231628%,12453
037,Chatham County,648,13.7999996542931%,5,0.771604938271605%,0,21358,2963,17.0000001788139%,4706
039,Cherokee County,175,10.1999998092651%,0,0%,0,13499,1739,23.0000004172325%,1713
041,Chowan County,285,26.1999994516373%,0,0%,0,6443,1270,23.9999994635582%,1086
043,Clay County,152,24.7999995946884%,0,0%,0,5425,629,25.9999990463257%,613
045,Cleveland County,1436,19.7999998927116%,2,0.139275766016713%,0,40317,5951,21.9999998807907%,7265
047,Columbus County,1286,28.7000000476837%,5,0.388802488335925%,0,24060,3502,31.9999992847443%,4482
049,Craven County,2252,24.6000006794929%,3,0.133214920071048%,0,38150,4538,18.9999997615814%,9168
051,Cumberland County,2930,9.7000002861023%,6,0.204778156996587%,0,118425,7963,18.0000007152557%,30171
053,Currituck County,236,14.0000000596046%,1,0.423728813559322%,0,10687,819,17.0000001788139%,1691
055,Dare County,364,14.0000000596046%,0,0%,0,26671,1043,11.9999997317791%,2601
057,Davidson County,2320,19.4999992847443%,4,0.172413793103448%,1,62432,8650,14.0000000596046%,11897
059,Davie County,418,14.2000004649162%,0,0%,0,14953,2270,12.9999995231628%,2935
061,Duplin County,1048,21.6999992728233%,6,0.572519083969466%,0,20520,3744,25%,4819
063,Durham County,4546,18.9999997615814%,19,0.417949846018478%,3,95452,11982,18.9999997615814%,23989
065,Edgecombe County,998,23.199999332428%,14,1.40280561122245%,2,24002,4107,33.0000013113022%,4300
067,Forsyth County,5113,17.399999499321%,15,0.293369841580286%,2,133093,18461,17.0000001788139%,29381
069,Franklin County,812,17.7000001072884%,4,0.492610837438424%,0,20364,2713,18.0000007152557%,4575
071,Gaston County,1991,12.2000001370907%,5,0.251130085384229%,0,78842,13692,15.9999996423721%,16366
073,Gates County,169,20.7000002264976%,1,0.591715976331361%,0,4389,905,21.9999998807907%,818
075,Graham County,156,25.9999990463257%,0,0%,0,5084,709,25.9999990463257%,600
077,Granville County,723,17.9000005125999%,0,0%,0,17896,2589,17.0000001788139%,4048
