"CBLS County-level Summary Data for NC, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alamance County,1737,14.4999995827675%,4,0.23028209556707%,2,55463,9357,17.0000001788139%,11944
003,Alexander County,633,24.1999998688698%,2,0.315955766192733%,0,14098,1569,11.9999997317791%,2611
005,Alleghany County,208,32.4999988079071%,1,0.480769230769231%,0,6412,962,23.0000004172325%,640
007,Anson County,489,27.0999997854233%,1,0.204498977505112%,0,10221,2171,25%,1803
009,Ashe County,510,29.6999990940094%,0,0%,0,13268,2020,18.9999997615814%,1715
011,Avery County,279,27.2000014781952%,0,0%,0,11911,1500,27.0000010728836%,1025
013,Beaufort County,882,24.8999997973442%,2,0.226757369614512%,0,22139,3363,27.0000010728836%,3544
015,Bertie County,416,30.5999994277954%,1,0.240384615384615%,0,9050,1645,34.0000003576279%,1360
017,Bladen County,566,21.4000001549721%,1,0.176678445229682%,1,15316,2102,28.999999165535%,2647
019,Brunswick County,1580,21.6000005602837%,1,0.0632911392405063%,0,51431,1881,23.9999994635582%,7304
021,Buncombe County,3845,22.9000002145767%,7,0.182054616384915%,1,93973,19389,17.0000001788139%,16795
023,Burke County,1423,23.3999997377396%,2,0.140548137737175%,1,37427,6043,15.0000005960464%,6087
025,Cabarrus County,3678,22.8000000119209%,7,0.190320826536161%,3,52848,9374,10.9999999403954%,16102
027,Caldwell County,1363,23.7000003457069%,4,0.293470286133529%,0,33430,4987,18.0000007152557%,5747
029,Camden County,119,16.5000006556511%,0,0%,0,2973,617,15.9999996423721%,723
031,Carteret County,1148,28.4000009298325%,3,0.261324041811847%,0,40947,3295,15.0000005960464%,4046
033,Caswell County,302,21.8999996781349%,2,0.662251655629139%,1,9601,1491,20.9999993443489%,1379
035,Catawba County,2789,22.2000002861023%,6,0.215130871280029%,1,59919,7344,12.9999995231628%,12588
037,Chatham County,748,15.6000003218651%,5,0.668449197860963%,1,21358,2963,17.0000001788139%,4786
039,Cherokee County,495,29.4999986886978%,0,0%,0,13499,1739,23.0000004172325%,1678
041,Chowan County,317,29.3000012636185%,0,0%,0,6443,1270,23.9999994635582%,1083
043,Clay County,213,36.8999987840652%,0,0%,0,5425,629,25.9999990463257%,577
