"CBLS County-level Summary Data for NC, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alamance,2545,20.575632629962%,4,0.157170923379175%,55463,9357,17.0000001788139%,12369
003,Alexander,657,25.5046583850932%,,0%,14098,1569,11.9999997317791%,2576
005,Alleghany,181,26.9345238095238%,,0%,6412,962,23.0000004172325%,672
007,Anson,518,27.9245283018868%,,0%,10221,2171,25%,1855
009,Ashe,428,24.8548199767712%,,0%,13268,2020,18.9999997615814%,1722
011,Avery,275,26.7770204479065%,,0%,11911,1500,27.0000010728836%,1027
013,Beaufort,870,24.1197671194899%,1,0.114942528735632%,22139,3363,27.0000010728836%,3607
015,Bertie,421,28.9148351648352%,,0%,9050,1645,34.0000003576279%,1456
017,Bladen,502,18.9863842662632%,1,0.199203187250996%,15316,2102,28.999999165535%,2644
019,Brunswick,1773,25.245621529261%,3,0.169204737732657%,51431,1881,23.9999994635582%,7023
021,Buncombe,4031,24.0412715452973%,2,0.0496154800297693%,93973,19389,17.0000001788139%,16767
023,Burke,1583,24.8703849175177%,2,0.126342387871131%,37427,6043,15.0000005960464%,6365
025,Cabarrus,3901,23.5397055273956%,2,0.0512689054088695%,52848,9374,10.9999999403954%,16572
027,Caldwell,1539,26.6955767562879%,2,0.129954515919428%,33430,4987,18.0000007152557%,5765
029,Camden,133,18.4722222222222%,,0%,2973,617,15.9999996423721%,720
031,Carteret,1046,26.3808322824716%,,0%,40947,3295,15.0000005960464%,3965
033,Caswell,290,20.1949860724234%,1,0.344827586206897%,9601,1491,20.9999993443489%,1436
035,Catawba,3066,23.6921412564717%,1,0.0326157860404436%,59919,7344,12.9999995231628%,12941
037,Chatham,759,15.6462585034014%,,0%,21358,2963,17.0000001788139%,4851
