"CBLS County-level Summary Data for NH, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Belknap County,541,14.5999997854233%,7,1.29390018484288%,5,32121,9269,10.9999999403954%,3693
003,Carroll County,519,19.4999992847443%,8,1.54142581888247%,4,34750,8081,10.0000001490116%,2663
005,Cheshire County,1068,22.9000002145767%,16,1.49812734082397%,15,31876,12116,10.9999999403954%,4654
007,Coos County,361,20.0000002980232%,4,1.10803324099723%,1,19623,8608,15.9999996423721%,1809
009,Grafton County,514,10.4000002145767%,11,2.14007782101167%,6,43729,14263,10.0000001490116%,4958
011,Hillsborough County,5600,18.1999996304512%,122,2.17857142857143%,61,149961,41773,9.00000035762787%,30715
013,Merrimack County,1719,18.0000007152557%,40,2.32693426410704%,13,56244,18116,9.00000035762787%,9536
015,Rockingham County,3240,15.2999997138977%,17,0.524691358024691%,6,113023,23883,5.00000007450581%,21229
017,Strafford County,1390,16.2000000476837%,22,1.58273381294964%,4,45539,13908,10.9999999403954%,8574
019,Sullivan County,642,21.6000005602837%,16,2.49221183800623%,6,20158,7104,12.9999995231628%,2971
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,New Hampshire 2007 Confirmed Cases,,263,,,,,,,
