"CBLS County-level Summary Data for NH, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Belknap,567,15.4960371686253%,4,0.705467372134039%,32121,9269,10.9999999403954%,3659
003,Carroll,449,17.4098487785964%,2,0.44543429844098%,34750,8081,10.0000001490116%,2579
005,Cheshire,1073,22.3868141039015%,6,0.559179869524697%,31876,12116,10.9999999403954%,4793
007,Coos,372,20.2945990180033%,3,0.806451612903226%,19623,8608,15.9999996423721%,1833
009,Grafton,633,12.6701361088871%,10,1.57977883096366%,43729,14263,10.0000001490116%,4996
011,Hillsborough,5860,18.9245922816083%,52,0.887372013651877%,149961,41773,9.00000035762787%,30965
013,Merrimack,1455,15.2117093570308%,26,1.78694158075601%,56244,18116,9.00000035762787%,9565
015,Rockingham,2780,13.6227764982604%,6,0.215827338129496%,113023,23883,5.00000007450581%,20407
017,Strafford,1370,16.301761066159%,5,0.364963503649635%,45539,13908,10.9999999403954%,8404
019,Sullivan,519,17.9896013864818%,5,0.963391136801541%,20158,7104,12.9999995231628%,2885
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,New Hampshire 2009 Confirmed Cases,,119,,,,,,
