"CBLS County-level Summary Data for NJ, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,2777,90,3,0.100000004749745%,0,,,
998,Unknown County,8997,161,33,0.400000018998981%,4,,,
001,Atlantic County,2400,77,16,0.700000021606684%,7,114090,24868,11.9999997317791%
003,Bergen County,6524,127,23,0.400000018998981%,10,339820,126125,3.99999991059303%
005,Burlington Coun,1416,41,5,0.400000018998981%,4,161311,26363,5.00000007450581%
007,Camden County,3178,86,22,0.700000021606684%,10,199679,57949,15.0000005960464%
009,Cape May County,340,17,1,0.300000002607703%,1,91047,20248,11.9999997317791%
011,Cumberland Coun,1714,84,19,1.09999999403954%,11,52863,16316,23.0000004172325%
013,Essex County,15132,704,151,0.999999977648258%,74,301011,142297,20.9999993443489%
015,Gloucester Coun,958,17,1,0.100000004749745%,0,95054,19029,5.99999986588955%
017,Hudson County,9984,233,57,0.600000005215406%,16,240618,125180,20.9999993443489%
019,Hunterdon Count,505,17,3,0.600000005215406%,1,45032,11720,0.999999977648258%
021,Mercer County,3122,114,31,0.999999977648258%,8,133280,44117,11.9999997317791%
023,Middlesex Count,6370,124,28,0.400000018998981%,5,273637,52430,7.00000002980232%
025,Monmouth County,4080,79,17,0.400000018998981%,9,240884,56969,7.99999982118607%
027,Morris County,2334,32,12,0.499999988824129%,2,174379,40039,2.99999993294477%
029,Ocean County,6090,96,9,0.100000004749745%,3,248711,24076,12.9999995231628%
031,Passaic County,7941,296,55,0.700000021606684%,14,170048,70979,18.0000007152557%
033,Salem County,474,28,6,1.30000002682209%,2,26158,9623,15.0000005960464%
035,Somerset County,1768,22,8,0.499999988824129%,3,112023,21286,3.99999991059303%
037,Sussex County,575,9,1,0.20000000949949%,0,56528,12221,3.99999991059303%
039,Union County,6600,174,39,0.600000005215406%,24,192945,82231,10.0000001490116%
041,Warren County,535,18,4,0.700000021606684%,4,41157,14786,5.00000007450581%
*# of Addresses where address state not in selected state: 4966,# of Addresses where program state is not in selected state: 1,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2008-2012",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
