"CBLS County-level Summary Data for NJ, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,32828,775,54,0.164493724869014%,7,,,
001,Atlantic County,4229,140,21,0.499999988824129%,9,114090,24868,11.9999997317791%
003,Bergen County,11165,194,29,0.300000002607703%,6,339820,126125,3.99999991059303%
005,Burlington Coun,2577,63,4,0.20000000949949%,3,161311,26363,5.00000007450581%
007,Camden County,5320,126,29,0.499999988824129%,11,199679,57949,15.0000005960464%
009,Cape May County,426,12,2,0.499999988824129%,1,91047,20248,11.9999997317791%
011,Cumberland Coun,2965,130,36,1.20000001043081%,13,52863,16316,23.0000004172325%
013,Essex County,26316,1200,216,0.800000037997961%,78,301011,142297,20.9999993443489%
015,Gloucester Coun,1402,27,6,0.400000018998981%,1,95054,19029,5.99999986588955%
017,Hudson County,16732,369,86,0.499999988824129%,20,240618,125180,20.9999993443489%
019,Hunterdon Count,905,19,4,0.400000018998981%,2,45032,11720,0.999999977648258%
021,Mercer County,5216,191,40,0.800000037997961%,7,133280,44117,11.9999997317791%
023,Middlesex Count,11285,215,45,0.400000018998981%,7,273637,52430,7.00000002980232%
025,Monmouth County,7356,172,25,0.300000002607703%,9,240884,56969,7.99999982118607%
027,Morris County,4050,65,14,0.300000002607703%,3,174379,40039,2.99999993294477%
029,Ocean County,9836,103,16,0.20000000949949%,6,248711,24076,12.9999995231628%
031,Passaic County,13983,469,73,0.499999988824129%,14,170048,70979,18.0000007152557%
033,Salem County,853,43,12,1.40000004321337%,5,26158,9623,15.0000005960464%
035,Somerset County,3078,49,12,0.400000018998981%,2,112023,21286,3.99999991059303%
037,Sussex County,997,10,3,0.300000002607703%,0,56528,12221,3.99999991059303%
039,Union County,12073,382,64,0.499999988824129%,22,192945,82231,10.0000001490116%
041,Warren County,893,33,4,0.400000018998981%,2,41157,14786,5.00000007450581%
*# of Addresses where address state not in selected state: 13995,# of Addresses where program state is not in selected state: 3,,,,,,,,
*# of Addresses where address state not in selected state: 13995,# of Addresses where program state is not in selected state: 62,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
