"CBLS County-level Summary Data for NJ, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Atlantic County,5559,26.4999985694885%,86,1.5470408346825%,23,114090,24868,11.9999997317791%,20979
003,Bergen County,13658,22.8000000119209%,119,0.871284229023283%,24,339820,126125,3.99999991059303%,59908
005,Burlington County,4524,14.1000002622604%,36,0.795755968169761%,8,161311,26363,5.00000007450581%,32095
007,Camden County,9199,22.3000004887581%,116,1.26100663115556%,27,199679,57949,15.0000005960464%,41341
009,Cape May County,1223,21.5000003576279%,11,0.899427636958299%,4,91047,20248,11.9999997317791%,5697
011,Cumberland County,3849,28.7000000476837%,141,3.66328916601715%,76,52863,16316,23.0000004172325%,13431
013,Essex County,26632,39.8999989032745%,690,2.59086812856714%,411,301011,142297,20.9999993443489%,66736
015,Gloucester County,3133,15.1999995112419%,15,0.4787743376955%,3,95054,19029,5.99999986588955%,20582
017,Hudson County,16413,35.1999998092651%,171,1.04185706452203%,33,240618,125180,20.9999993443489%,46578
019,Hunterdon County,1676,19.9000000953674%,20,1.19331742243437%,4,45032,11720,0.999999977648258%,8443
021,Mercer County,6916,25.2999991178513%,119,1.72064777327935%,44,133280,44117,11.9999997317791%,27300
023,Middlesex County,15110,24.5000004768372%,105,0.694904037061549%,36,273637,52430,7.00000002980232%,61649
025,Monmouth County,9554,20.7000002264976%,93,0.973414276742725%,27,240884,56969,7.99999982118607%,46078
027,Morris County,7466,20.7000002264976%,31,0.415215644253951%,3,174379,40039,2.99999993294477%,36132
029,Ocean County,9904,21.8999996781349%,46,0.464458804523425%,21,248711,24076,12.9999995231628%,45316
031,Passaic County,14901,34.2000007629395%,287,1.92604523186363%,111,170048,70979,18.0000007152557%,43562
033,Salem County,920,20.100000500679%,22,2.39130434782609%,6,26158,9623,15.0000005960464%,4584
035,Somerset County,4646,18.0999994277954%,34,0.731812311665949%,7,112023,21286,3.99999991059303%,25733
037,Sussex County,1570,15.2999997138977%,7,0.445859872611465%,2,56528,12221,3.99999991059303%,10259
039,Union County,13392,30.799999833107%,196,1.46356033452808%,64,192945,82231,10.0000001490116%,43426
041,Warren County,1592,19.9000000953674%,21,1.31909547738693%,5,41157,14786,5.00000007450581%,7988
999,Unknown,4027,.,42,1.04296001986591%,25,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,New Jersey Confirmed Cases 2007,,2408,,,,,,,
