"CBLS County-level Summary Data for NJ, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Atlantic County,3077,14.6999999880791%,25,0.8124796880078%,19,114090,24868,11.9999997317791%,21001
003,Bergen County,8519,14.300000667572%,40,0.469538678248621%,24,339820,126125,3.99999991059303%,59529
005,Burlington County,2812,8.79999995231628%,15,0.533428165007112%,8,161311,26363,5.00000007450581%,31898
007,Camden County,5737,13.6999994516373%,63,1.09813491371797%,26,199679,57949,15.0000005960464%,41802
009,Cape May County,811,14.2000004649162%,7,0.863131935881627%,4,91047,20248,11.9999997317791%,5723
011,Cumberland County,2359,16.8999999761581%,76,3.22170411191183%,71,52863,16316,23.0000004172325%,13956
013,Essex County,16980,25.4999995231628%,338,1.99057714958775%,335,301011,142297,20.9999993443489%,66699
015,Gloucester County,1908,9.20000001788139%,9,0.471698113207547%,2,95054,19029,5.99999986588955%,20852
017,Hudson County,10888,23.1000006198883%,102,0.936811168258633%,24,240618,125180,20.9999993443489%,47221
019,Hunterdon County,901,10.9999999403954%,3,0.332963374028857%,2,45032,11720,0.999999977648258%,8213
021,Mercer County,4483,16.3000002503395%,44,0.981485612313183%,31,133280,44117,11.9999997317791%,27499
023,Middlesex County,9631,15.6000003218651%,49,0.508773751427681%,25,273637,52430,7.00000002980232%,61935
025,Monmouth County,5765,12.7000004053116%,36,0.624457935819601%,23,240884,56969,7.99999982118607%,45444
027,Morris County,4440,12.5%,15,0.337837837837838%,4,174379,40039,2.99999993294477%,35418
029,Ocean County,7255,15.7000005245209%,26,0.358373535492764%,23,248711,24076,12.9999995231628%,46198
031,Passaic County,8904,20.2999994158745%,130,1.46001796945193%,90,170048,70979,18.0000007152557%,43929
033,Salem County,523,11.2000003457069%,7,1.33843212237094%,6,26158,9623,15.0000005960464%,4670
035,Somerset County,2887,11.4000000059605%,12,0.415656390717007%,6,112023,21286,3.99999991059303%,25302
037,Sussex County,867,8.60000029206276%,3,0.346020761245675%,0,56528,12221,3.99999991059303%,10025
039,Union County,8518,19.5999994874001%,105,1.23268372857478%,60,192945,82231,10.0000001490116%,43469
041,Warren County,1033,12.9999995231628%,12,1.16166505324298%,7,41157,14786,5.00000007450581%,7919
999,Unknown,2693,.,11,0.408466394355737%,19,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,New Jersey Confirmed Cases 2008,,1128,,,,,,,
