"CBLS County-level Summary Data for NM, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,1351,627,3,0.20000000949949%,0,,,
001,Apache County,77,76,1,1.30000002682209%,0,31621,1599,44.9999988079071%
001,Bernalillo Coun,1949,1860,5,0.300000002607703%,1,239074,23374,20.0000002980232%
003,Catron County,7,2,0,0%,0,2548,491,37.9999995231628%
005,Chaves County,393,24,1,0.300000002607703%,0,25647,4697,33.0000013113022%
006,Cibola County,158,125,0,0%,0,10328,996,36.0000014305115%
007,Colfax County,33,33,0,0%,0,8959,2359,28.999999165535%
009,Curry County,136,125,0,0%,0,19212,3030,27.0000010728836%
011,DeBaca County,12,11,0,0%,0,1307,455,23.0000004172325%
013,Dona Ana County,375,51,1,0.300000002607703%,0,65210,5259,37.0000004768372%
015,Eddy County,451,102,1,0.20000000949949%,0,22249,4147,23.9999994635582%
017,Grant County,195,21,0,0%,0,14066,2879,31.0000002384186%
019,Guadalupe Count,8,7,0,0%,0,2160,899,28.999999165535%
023,Hidalgo County,22,2,0,0%,0,2848,600,38.9999985694885%
025,Lea County,57,8,0,0%,0,23405,2727,33.0000013113022%
027,Lincoln County,94,82,0,0%,0,15298,1392,36.0000014305115%
028,Los Alamos Coun,13,12,0,0%,0,7937,997,0.999999977648258%
029,Luna County,79,13,1,1.30000002682209%,0,11291,1220,51.9999980926514%
031,McKinley County,611,41,0,0%,0,26718,1870,43.9999997615814%
033,Mora County,5,.,0,0%,0,2973,939,31.0000002384186%
035,Otero County,264,29,0,0%,0,29272,2321,27.0000010728836%
037,Quay County,52,51,0,0%,0,5664,1532,25.9999990463257%
039,Rio Arriba Coun,179,144,0,0%,0,18016,3176,25%
041,Roosevelt Count,23,9,0,0%,0,7746,1606,23.0000004172325%
043,Sandoval County,484,406,2,0.400000018998981%,0,34866,1501,17.0000001788139%
045,San Juan County,558,11,2,0.400000018998981%,0,43221,1950,28.999999165535%
047,San Miguel Coun,18,4,0,0%,0,14254,3540,31.9999992847443%
049,Santa Fe County,388,195,0,0%,0,57701,6812,18.9999997615814%
051,Sierra County,6,2,0,0%,0,8727,1503,34.0000003576279%
053,Socorro County,137,136,0,0%,0,7808,1388,50.9999990463257%
055,Taos County,35,4,0,0%,0,17404,3133,28.999999165535%
057,Torrance County,53,38,0,0%,0,7257,813,31.0000002384186%
061,Valencia County,480,464,2,0.400000018998981%,1,24643,1494,25.9999990463257%
141,El Paso County,n,n,n,n,n,224447,23327,31.9999992847443%
369,Parmer County,6,6,0,0%,0,3732,724,21.9999998807907%
*# of Addresses where address state not in selected state: 105,# of Addresses where program state is not in selected state: 1,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
