"CBLS County-level Summary Data for NY, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,333,7,2,0.600000005215406%,2,,,
001,Albany County,1067,60,21,1.99999995529652%,13,129972,53903,15.9999996423721%
003,Allegany County,185,15,4,2.19999998807907%,5,24505,10725,23.0000004172325%
005,Bronx County,66401,1278,182,0.300000002607703%,32,490659,214703,40.9999996423721%
007,Broome County,667,43,13,1.89999993890524%,6,88817,40117,20.0000002980232%
009,Cattaraugus Cou,367,26,5,1.40000004321337%,2,39839,18681,23.9999994635582%
011,Cayuga County,278,19,5,1.79999992251396%,1,35477,17959,18.0000007152557%
013,Chautauqua Coun,696,54,11,1.60000007599592%,4,64900,36268,25%
015,Chemung County,414,43,4,0.999999977648258%,4,37745,18499,21.9999998807907%
017,Chenango County,226,16,2,0.899999961256981%,3,23890,10064,20.0000002980232%
019,Clinton County,312,11,0,0%,0,33091,10666,17.0000001788139%
021,Columbia County,202,13,3,1.49999996647239%,3,30207,12741,15.9999996423721%
023,Cortland County,215,14,3,1.40000004321337%,3,20116,9643,18.9999997615814%
025,Delaware County,158,6,5,3.20000015199184%,1,28952,11331,23.0000004172325%
027,Dutchess County,1614,104,22,1.40000004321337%,15,106103,29187,9.00000035762787%
029,Erie County,5133,541,172,3.4000001847744%,111,415868,185502,20.9999993443489%
031,Essex County,59,5,1,1.7000000923872%,1,23115,10499,15.9999996423721%
033,Franklin County,155,8,2,1.30000002682209%,1,23936,10816,20.9999993443489%
035,Fulton County,249,32,11,4.39999997615814%,8,27787,14357,18.9999997615814%
037,Genesee County,230,13,3,1.30000002682209%,2,24190,11908,10.9999999403954%
039,Greene County,165,8,4,2.40000002086163%,4,26544,9641,17.0000001788139%
041,Hamilton County,7,.,1,14.300000667572%,0,7965,2653,15.9999996423721%
043,Herkimer County,255,17,5,1.99999995529652%,3,32026,15998,18.0000007152557%
045,Jefferson Count,665,28,6,0.899999961256981%,4,54070,22891,18.9999997615814%
047,Kings County,113417,3700,433,0.400000018998981%,99,930866,544649,34.9999994039536%
049,Lewis County,102,4,4,3.90000008046627%,3,15134,6543,20.9999993443489%
051,Livingston Coun,197,7,0,0%,1,24023,10102,15.0000005960464%
053,Madison County,232,4,3,1.30000002682209%,1,28646,12011,15.0000005960464%
055,Monroe County,3612,227,52,1.40000004321337%,34,304388,107475,17.0000001788139%
057,Montgomery Coun,271,37,6,2.19999998807907%,10,22522,13905,21.9999998807907%
059,Nassau County,8013,103,21,0.300000002607703%,10,458151,173693,5.00000007450581%
061,New York County,43966,689,76,0.20000000949949%,19,798144,438824,27.0000010728836%
063,Niagara County,827,49,10,1.20000001043081%,13,95715,39923,18.9999997615814%
065,Oneida County,1190,167,55,4.6000000089407%,43,102803,48082,23.0000004172325%
067,Onondaga County,2823,197,46,1.60000007599592%,34,196633,70520,18.9999997615814%
069,Ontario County,372,5,3,0.800000037997961%,3,42647,16477,10.9999999403954%
071,Orange County,1983,102,33,1.7000000923872%,33,122754,37297,18.0000007152557%
073,Orleans County,148,3,4,2.70000007003546%,2,17347,8973,17.0000001788139%
075,Oswego County,439,16,7,1.60000007599592%,2,52831,19626,21.9999998807907%
077,Otsego County,217,13,2,0.899999961256981%,2,28481,14372,20.9999993443489%
079,Putnam County,403,15,1,0.20000000949949%,0,35030,8861,3.99999991059303%
081,Queens County,90994,1681,282,0.300000002607703%,43,817250,401821,18.0000007152557%
083,Rensselaer Coun,642,42,10,1.60000007599592%,8,66120,31241,15.0000005960464%
085,Richmond County,14659,217,43,0.300000002607703%,12,163993,42101,12.9999995231628%
087,Rockland County,2525,79,7,0.300000002607703%,7,94973,17282,17.0000001788139%
089,St. Lawrence Co,344,18,2,0.600000005215406%,1,49721,21339,23.9999994635582%
091,Saratoga County,791,26,1,0.100000004749745%,3,86701,20636,5.99999986588955%
093,Schenectady Cou,642,44,7,1.09999999403954%,6,65032,34487,18.9999997615814%
095,Schoharie Count,94,3,0,0%,0,15915,6420,15.0000005960464%
097,Schuyler County,54,7,0,0%,0,9181,3942,20.0000002980232%
099,Seneca County,105,3,0,0%,0,14794,6890,18.0000007152557%
101,Steuben County,361,23,5,1.40000004321337%,1,46132,20723,21.9999998807907%
103,Suffolk County,6894,71,8,0.100000004749745%,11,522323,87634,5.99999986588955%
105,Sullivan County,210,7,7,3.29999998211861%,0,44730,14053,23.9999994635582%
