"CBLS County-level Summary Data for NY, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,107,1,1,0.899999961256981%,1,,,
001,Albany County,879,67,17,1.89999993890524%,6,129972,53903,15.9999996423721%
003,Allegany County,121,4,7,5.79999983310699%,0,24505,10725,23.0000004172325%
005,Bronx County,62823,1072,182,0.300000002607703%,23,490659,214703,40.9999996423721%
007,Broome County,458,26,8,1.7000000923872%,3,88817,40117,20.0000002980232%
009,Cattaraugus Cou,184,14,3,1.60000007599592%,1,39839,18681,23.9999994635582%
011,Cayuga County,184,23,6,3.29999998211861%,0,35477,17959,18.0000007152557%
013,Chautauqua Coun,365,34,11,2.99999993294477%,4,64900,36268,25%
015,Chemung County,200,18,1,0.499999988824129%,0,37745,18499,21.9999998807907%
017,Chenango County,135,16,0,0%,1,23890,10064,20.0000002980232%
019,Clinton County,179,7,0,0%,0,33091,10666,17.0000001788139%
021,Columbia County,143,11,4,2.80000008642673%,3,30207,12741,15.9999996423721%
023,Cortland County,128,5,1,0.800000037997961%,2,20116,9643,18.9999997615814%
025,Delaware County,111,11,0,0%,0,28952,11331,23.0000004172325%
027,Dutchess County,988,27,4,0.400000018998981%,7,106103,29187,9.00000035762787%
029,Erie County,3368,329,140,4.19999994337559%,73,415868,185502,20.9999993443489%
031,Essex County,62,4,0,0%,1,23115,10499,15.9999996423721%
033,Franklin County,151,14,3,1.99999995529652%,1,23936,10816,20.9999993443489%
035,Fulton County,243,48,12,4.89999987185001%,5,27787,14357,18.9999997615814%
037,Genesee County,183,14,3,1.60000007599592%,1,24190,11908,10.9999999403954%
039,Greene County,123,5,1,0.800000037997961%,1,26544,9641,17.0000001788139%
041,Hamilton County,11,.,0,0%,0,7965,2653,15.9999996423721%
043,Herkimer County,193,14,4,2.09999997168779%,3,32026,15998,18.0000007152557%
045,Jefferson Count,402,18,5,1.20000001043081%,1,54070,22891,18.9999997615814%
047,Kings County,108136,2648,372,0.300000002607703%,86,930866,544649,34.9999994039536%
049,Lewis County,73,5,0,0%,2,15134,6543,20.9999993443489%
051,Livingston Coun,128,11,2,1.60000007599592%,0,24023,10102,15.0000005960464%
053,Madison County,117,9,1,0.899999961256981%,0,28646,12011,15.0000005960464%
055,Monroe County,2527,178,39,1.49999996647239%,18,304388,107475,17.0000001788139%
057,Montgomery Coun,215,30,11,5.09999990463257%,5,22522,13905,21.9999998807907%
059,Nassau County,5211,67,9,0.20000000949949%,2,458151,173693,5.00000007450581%
061,New York County,41478,590,72,0.20000000949949%,14,798144,438824,27.0000010728836%
063,Niagara County,597,44,10,1.7000000923872%,9,95715,39923,18.9999997615814%
065,Oneida County,972,146,65,6.70000016689301%,25,102803,48082,23.0000004172325%
067,Onondaga County,2057,141,46,2.19999998807907%,21,196633,70520,18.9999997615814%
069,Ontario County,298,12,3,0.999999977648258%,2,42647,16477,10.9999999403954%
071,Orange County,1357,64,13,0.999999977648258%,12,122754,37297,18.0000007152557%
073,Orleans County,88,11,4,4.50000017881393%,1,17347,8973,17.0000001788139%
075,Oswego County,330,15,4,1.20000001043081%,2,52831,19626,21.9999998807907%
077,Otsego County,149,12,3,1.99999995529652%,0,28481,14372,20.9999993443489%
079,Putnam County,253,5,1,0.400000018998981%,0,35030,8861,3.99999991059303%
081,Queens County,89193,1495,261,0.300000002607703%,46,817250,401821,18.0000007152557%
083,Rensselaer Coun,424,32,8,1.89999993890524%,5,66120,31241,15.0000005960464%
085,Richmond County,14002,224,31,0.20000000949949%,5,163993,42101,12.9999995231628%
087,Rockland County,1760,36,4,0.20000000949949%,5,94973,17282,17.0000001788139%
089,St. Lawrence Co,202,10,3,1.49999996647239%,0,49721,21339,23.9999994635582%
091,Saratoga County,668,26,2,0.300000002607703%,0,86701,20636,5.99999986588955%
093,Schenectady Cou,577,41,12,2.09999997168779%,1,65032,34487,18.9999997615814%
095,Schoharie Count,76,7,0,0%,1,15915,6420,15.0000005960464%
097,Schuyler County,31,1,1,3.20000015199184%,0,9181,3942,20.0000002980232%
099,Seneca County,58,5,1,1.7000000923872%,0,14794,6890,18.0000007152557%
101,Steuben County,252,11,4,1.60000007599592%,1,46132,20723,21.9999998807907%
103,Suffolk County,4280,47,9,0.20000000949949%,8,522323,87634,5.99999986588955%
105,Sullivan County,183,9,0,0%,0,44730,14053,23.9999994635582%
107,Tioga County,105,8,1,0.999999977648258%,2,21410,7616,12.9999995231628%
109,Tompkins County,117,3,3,2.60000005364418%,0,38625,13500,15.9999996423721%
111,Ulster County,440,32,7,1.60000007599592%,0,77656,28240,15.9999996423721%
113,Warren County,212,14,2,0.899999961256981%,1,34852,11061,15.9999996423721%
115,Washington Coun,159,17,7,4.39999997615814%,0,26794,12698,12.9999995231628%
117,Wayne County,277,14,7,2.5000000372529%,3,38767,16209,14.0000000596046%
119,Westchester Cou,4203,131,27,0.600000005215406%,12,349445,147384,10.9999999403954%
121,Wyoming County,147,11,4,2.70000007003546%,1,16940,9003,11.9999997317791%
123,Yates County,68,9,1,1.49999996647239%,1,12064,5405,25%
*# of Addresses where address state not in selected state: 3,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 3,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 3,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 3,# of Addresses where program state is not in selected state: 14,,,,,,,,
*# of Addresses where address state not in selected state: 3,# of Addresses where program state is not in selected state: 2,,,,,,,,
*# of Addresses where address state not in selected state: 3,# of Addresses where program state is not in selected state: 57,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
