"CBLS County-level Summary Data for NY, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Albany County,4301,23.199999332428%,119,2.76679841897233%,33,129972,53903,15.9999996423721%,18568
003,Allegany County,271,8.60000029206276%,8,2.9520295202952%,0,24505,10725,23.0000004172325%,3144
005,Bronx County,66839,51.8999993801117%,480,0.718143598797109%,122,490659,214703,40.9999996423721%,128853
007,Broome County,2171,18.0000007152557%,47,2.16490096729618%,7,88817,40117,20.0000002980232%,12031
009,Cattaraugus County,1287,22.5999996066093%,15,1.16550116550117%,4,39839,18681,23.9999994635582%,5702
011,Cayuga County,1222,24.099999666214%,27,2.20949263502455%,5,35477,17959,18.0000007152557%,5071
013,Chautauqua County,2123,24.5000004768372%,31,1.46019783325483%,6,64900,36268,25%,8654
015,Chemung County,1164,19.4999992847443%,19,1.63230240549828%,5,37745,18499,21.9999998807907%,5982
017,Chenango County,768,23.8999992609024%,13,1.69270833333333%,1,23890,10064,20.0000002980232%,3207
019,Clinton County,1115,24.7999995946884%,6,0.538116591928251%,0,33091,10666,17.0000001788139%,4500
021,Columbia County,872,24.4000002741814%,27,3.09633027522936%,8,30207,12741,15.9999996423721%,3570
023,Cortland County,988,32.1000009775162%,16,1.61943319838057%,2,20116,9643,18.9999997615814%,3080
025,Delaware County,604,23.2999995350838%,20,3.3112582781457%,3,28952,11331,23.0000004172325%,2595
027,Dutchess County,4978,25.900000333786%,78,1.56689433507433%,13,106103,29187,9.00000035762787%,19240
029,Erie County,12877,21.0999995470047%,547,4.24788382387202%,0,415868,185502,20.9999993443489%,61111
031,Essex County,359,16.5000006556511%,3,0.835654596100279%,1,23115,10499,15.9999996423721%,2176
033,Franklin County,358,12.3999997973442%,4,1.11731843575419%,1,23936,10816,20.9999993443489%,2885
035,Fulton County,744,21.6999992728233%,37,4.97311827956989%,9,27787,14357,18.9999997615814%,3434
037,Genesee County,820,21.6000005602837%,18,2.19512195121951%,4,24190,11908,10.9999999403954%,3790
039,Greene County,757,27.0999997854233%,15,1.98150594451783%,1,26544,9641,17.0000001788139%,2796
041,Hamilton County,29,11.8000000715256%,0,0%,1,7965,2653,15.9999996423721%,246
043,Herkimer County,1184,28.999999165535%,32,2.7027027027027%,5,32026,15998,18.0000007152557%,4086
045,Jefferson County,2223,24.5000004768372%,25,1.12460638776428%,6,54070,22891,18.9999997615814%,9073
047,Kings County,103696,45.6000000238419%,1167,1.12540503008795%,209,930866,544649,34.9999994039536%,227336
049,Lewis County,305,17.2999992966652%,4,1.31147540983607%,1,15134,6543,20.9999993443489%,1758
051,Livingston County,647,17.2000005841255%,11,1.70015455950541%,0,24023,10102,15.0000005960464%,3760
053,Madison County,909,20.9000006318092%,11,1.21012101210121%,3,28646,12011,15.0000005960464%,4351
055,Monroe County,11668,22.8000000119209%,391,3.35104559478917%,117,304388,107475,17.0000001788139%,51221
057,Montgomery County,911,25.9999990463257%,64,7.02524698133919%,15,22522,13905,21.9999998807907%,3498
059,Nassau County,29577,31.2999993562698%,105,0.355005578659093%,13,458151,173693,5.00000007450581%,94375
061,New York County,47922,42.399999499321%,267,0.557155377488419%,59,798144,438824,27.0000010728836%,112969
063,Niagara County,3253,23.2999995350838%,72,2.21334153089456%,18,95715,39923,18.9999997615814%,13981
065,Oneida County,3338,21.9999998807907%,190,5.69203115638107%,44,102803,48082,23.0000004172325%,15183
067,Onondaga County,11074,33.5999995470047%,255,2.30269098789958%,52,196633,70520,18.9999997615814%,32933
069,Ontario County,1411,21.4000001549721%,14,0.992204110559887%,6,42647,16477,10.9999999403954%,6598
071,Orange County,8385,27.0999997854233%,198,2.3613595706619%,73,122754,37297,18.0000007152557%,30993
073,Orleans County,507,18.1999996304512%,14,2.76134122287968%,2,17347,8973,17.0000001788139%,2786
075,Oswego County,1347,16.5999993681908%,14,1.03934669636229%,1,52831,19626,21.9999998807907%,8110
077,Otsego County,821,25.0999987125397%,16,1.94884287454324%,3,28481,14372,20.9999993443489%,3265
079,Putnam County,1736,24.5000004768372%,5,0.288018433179724%,0,35030,8861,3.99999991059303%,7096
081,Queens County,81803,46.7999994754791%,666,0.814151070254147%,105,817250,401821,18.0000007152557%,174805
083,Rensselaer County,2248,21.7999994754791%,55,2.44661921708185%,10,66120,31241,15.0000005960464%,10295
085,Richmond County,15586,44.2999988794327%,100,0.641601437187219%,19,163993,42101,12.9999995231628%,35202
087,Rockland County,7184,26.6999989748001%,35,0.487193763919822%,5,94973,17282,17.0000001788139%,26861
089,St. Lawrence County,1168,16.5000006556511%,13,1.11301369863014%,1,49721,21339,23.9999994635582%,7074
091,Saratoga County,3084,21.2999999523163%,18,0.583657587548638%,1,86701,20636,5.99999986588955%,14489
093,Schenectady County,2540,23.8000005483627%,37,1.45669291338583%,8,65032,34487,18.9999997615814%,10670
095,Schoharie County,295,16.4000004529953%,9,3.05084745762712%,1,15915,6420,15.0000005960464%,1796
097,Schuyler County,204,17.5999999046326%,6,2.94117647058823%,1,9181,3942,20.0000002980232%,1157
099,Seneca County,357,17.1000003814697%,2,0.560224089635854%,1,14794,6890,18.0000007152557%,2091
101,Steuben County,1447,21.8999996781349%,26,1.79682100898411%,5,46132,20723,21.9999998807907%,6617
103,Suffolk County,25179,21.6999992728233%,66,0.262123197903014%,20,522323,87634,5.99999986588955%,116239
105,Sullivan County,782,15.2999997138977%,8,1.0230179028133%,2,44730,14053,23.9999994635582%,5101
107,Tioga County,539,15.6000003218651%,9,1.66975881261596%,2,21410,7616,12.9999995231628%,3457
109,Tompkins County,1104,21.6999992728233%,10,0.905797101449275%,0,38625,13500,15.9999996423721%,5092
111,Ulster County,2799,25.4000008106232%,45,1.60771704180064%,9,77656,28240,15.9999996423721%,11013
113,Warren County,814,21.2999999523163%,8,0.982800982800983%,1,34852,11061,15.9999996423721%,3820
115,Washington County,698,18.1999996304512%,24,3.43839541547278%,3,26794,12698,12.9999995231628%,3828
117,Wayne County,1450,22.1000000834465%,30,2.06896551724138%,3,38767,16209,14.0000000596046%,6571
119,Westchester County,25130,33.7000012397766%,199,0.791882212495026%,35,349445,147384,10.9999999403954%,74516
121,Wyoming County,423,16.6999995708466%,11,2.60047281323877%,0,16940,9003,11.9999997317791%,2534
123,Yates County,317,18.1999996304512%,10,3.15457413249211%,3,12064,5405,25%,1742
999,Unknown,546,,6,1.0989010989011%,3,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Total Confirmed Cases 2006,,,,5778,,,,,,
