"CBLS County-level Summary Data for NY, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Albany County,4254,23.0000004172325%,81,1.90409026798308%,25,129972,53903,15.9999996423721%,18506
003,Allegany County,574,18.6000004410744%,14,2.4390243902439%,2,24505,10725,23.0000004172325%,3082
005,Bronx County,60620,46.5000003576279%,264,0.435499835037941%,66,490659,214703,40.9999996423721%,130497
007,Broome County,2474,20.3999996185303%,38,1.535974130962%,8,88817,40117,20.0000002980232%,12154
009,Cattaraugus County,1428,25.2000004053116%,17,1.19047619047619%,4,39839,18681,23.9999994635582%,5671
011,Cayuga County,1269,25.6999999284744%,17,1.33963750985028%,7,35477,17959,18.0000007152557%,4929
013,Chautauqua County,2290,26.4999985694885%,29,1.26637554585153%,8,64900,36268,25%,8645
015,Chemung County,1768,29.4999986886978%,20,1.13122171945701%,7,37745,18499,21.9999998807907%,6001
017,Chenango County,665,20.8000004291534%,12,1.80451127819549%,1,23890,10064,20.0000002980232%,3201
019,Clinton County,760,16.5000006556511%,4,0.526315789473684%,0,33091,10666,17.0000001788139%,4618
021,Columbia County,955,27.0000010728836%,14,1.46596858638743%,9,30207,12741,15.9999996423721%,3538
023,Cortland County,974,31.2999993562698%,20,2.05338809034908%,2,20116,9643,18.9999997615814%,3107
025,Delaware County,482,18.1999996304512%,9,1.86721991701245%,3,28952,11331,23.0000004172325%,2654
027,Dutchess County,5264,27.9000014066696%,52,0.987841945288754%,15,106103,29187,9.00000035762787%,18869
029,Erie County,19699,33.500000834465%,550,2.79201989948728%,119,415868,185502,20.9999993443489%,58788
031,Essex County,371,17.399999499321%,0,0%,1,23115,10499,15.9999996423721%,2137
033,Franklin County,496,17.1000003814697%,4,0.806451612903226%,0,23936,10816,20.9999993443489%,2893
035,Fulton County,849,24.7999995946884%,47,5.5359246171967%,12,27787,14357,18.9999997615814%,3422
037,Genesee County,818,21.9999998807907%,7,0.855745721271394%,5,24190,11908,10.9999999403954%,3717
039,Greene County,512,18.0999994277954%,12,2.34375%,4,26544,9641,17.0000001788139%,2835
041,Hamilton County,29,12.8999993205071%,0,0%,1,7965,2653,15.9999996423721%,225
043,Herkimer County,1160,28.7999987602234%,28,2.41379310344828%,8,32026,15998,18.0000007152557%,4024
045,Jefferson County,2405,24.3000000715256%,28,1.16424116424116%,4,54070,22891,18.9999997615814%,9896
047,Kings County,95702,42.1000003814697%,667,0.6969551315542%,129,930866,544649,34.9999994039536%,227361
049,Lewis County,346,18.5000002384186%,4,1.15606936416185%,1,15134,6543,20.9999993443489%,1871
051,Livingston County,693,18.8999995589256%,9,1.2987012987013%,3,24023,10102,15.0000005960464%,3671
053,Madison County,942,21.6000005602837%,11,1.16772823779193%,4,28646,12011,15.0000005960464%,4359
055,Monroe County,10017,19.9000000953674%,96,0.958370769691524%,77,304388,107475,17.0000001788139%,50461
057,Montgomery County,959,26.6999989748001%,30,3.12825860271116%,12,22522,13905,21.9999998807907%,3587
059,Nassau County,29731,33.3000004291534%,90,0.30271433856917%,12,458151,173693,5.00000007450581%,89218
061,New York County,37847,33.0000013113022%,162,0.428039210505456%,30,798144,438824,27.0000010728836%,114669
063,Niagara County,3957,28.7999987602234%,47,1.18776851149861%,13,95715,39923,18.9999997615814%,13729
065,Oneida County,3781,25.0999987125397%,180,4.76064533192277%,55,102803,48082,23.0000004172325%,15047
067,Onondaga County,10893,33.899998664856%,205,1.88194253190122%,50,196633,70520,18.9999997615814%,32170
069,Ontario County,1688,25%,9,0.533175355450237%,2,42647,16477,10.9999999403954%,6745
071,Orange County,7995,25.2000004053116%,143,1.78861788617886%,82,122754,37297,18.0000007152557%,31672
073,Orleans County,539,20.6000000238419%,19,3.52504638218924%,4,17347,8973,17.0000001788139%,2621
075,Oswego County,1964,24.5000004768372%,21,1.06924643584521%,3,52831,19626,21.9999998807907%,8008
077,Otsego County,792,24.6999993920326%,16,2.02020202020202%,7,28481,14372,20.9999993443489%,3204
079,Putnam County,1770,27.700001001358%,5,0.282485875706215%,0,35030,8861,3.99999991059303%,6401
081,Queens County,78899,46.000000834465%,435,0.55133778628373%,61,817250,401821,18.0000007152557%,171690
083,Rensselaer County,2533,24.4000002741814%,41,1.61863403079353%,18,66120,31241,15.0000005960464%,10395
085,Richmond County,14063,39.8000001907349%,66,0.469316646519235%,18,163993,42101,12.9999995231628%,35327
087,Rockland County,8277,31.0000002384186%,32,0.386613507309412%,6,94973,17282,17.0000001788139%,26687
089,St. Lawrence County,1032,14.3999993801117%,15,1.45348837209302%,2,49721,21339,23.9999994635582%,7185
091,Saratoga County,2977,20.6000000238419%,14,0.47027208599261%,4,86701,20636,5.99999986588955%,14421
093,Schenectady County,2455,22.1000000834465%,29,1.18126272912424%,8,65032,34487,18.9999997615814%,11119
095,Schoharie County,313,17.399999499321%,9,2.87539936102236%,2,15915,6420,15.0000005960464%,1794
097,Schuyler County,241,23.2999995350838%,4,1.6597510373444%,2,9181,3942,20.0000002980232%,1036
099,Seneca County,485,23.199999332428%,3,0.618556701030928%,0,14794,6890,18.0000007152557%,2087
101,Steuben County,1769,27.0999997854233%,26,1.46975692481628%,4,46132,20723,21.9999998807907%,6527
103,Suffolk County,26610,23.7000003457069%,40,0.150319428786171%,12,522323,87634,5.99999986588955%,112090
105,Sullivan County,751,14.0000000596046%,7,0.932090545938748%,2,44730,14053,23.9999994635582%,5368
107,Tioga County,680,20.2999994158745%,9,1.32352941176471%,1,21410,7616,12.9999995231628%,3348
109,Tompkins County,1248,23.9999994635582%,10,0.801282051282051%,1,38625,13500,15.9999996423721%,5194
111,Ulster County,2800,25.4999995231628%,43,1.53571428571429%,8,77656,28240,15.9999996423721%,10989
113,Warren County,725,18.7000006437302%,4,0.551724137931034%,0,34852,11061,15.9999996423721%,3877
115,Washington County,785,20.2000007033348%,13,1.65605095541401%,2,26794,12698,12.9999995231628%,3878
117,Wayne County,1578,24.4000002741814%,18,1.14068441064639%,3,38767,16209,14.0000000596046%,6468
119,Westchester County,26833,37.5999987125397%,143,0.532925874855588%,27,349445,147384,10.9999999403954%,71285
121,Wyoming County,593,24.6000006794929%,7,1.18043844856661%,3,16940,9003,11.9999997317791%,2412
123,Yates County,352,20.7000002264976%,13,3.69318181818182%,3,12064,5405,25%,1700
999,Unknown,4585,.,5,0.109051254089422%,2,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,NY 2008 Confirmed Cases,,3967,,,,,,,
