"CBLS County-level Summary Data for NY, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Albany,4153,22.2657087711774%,45,1.08355405730797%,129972,53903,15.9999996423721%,18652
003,Allegany,652,20.3622735790131%,3,0.460122699386503%,24505,10725,23.0000004172325%,3202
005,Bronx,64757,48.6913041843678%,189,0.291860339422765%,490659,214703,40.9999996423721%,132995
007,Broome,2461,19.8708114654824%,44,1.78789110117838%,88817,40117,20.0000002980232%,12385
009,Cattaraugus,1362,23.3940226726211%,9,0.66079295154185%,39839,18681,23.9999994635582%,5822
011,Cayuga,1350,26.9622528460156%,10,0.740740740740741%,35477,17959,18.0000007152557%,5007
013,Chautauqua,2344,26.0415509387846%,22,0.938566552901024%,64900,36268,25%,9001
015,Chemung,1839,29.4947874899759%,11,0.598151169113649%,37745,18499,21.9999998807907%,6235
017,Chenango,764,23.2926829268293%,11,1.43979057591623%,23890,10064,20.0000002980232%,3280
019,Clinton,642,13.5959339263024%,1,0.155763239875389%,33091,10666,17.0000001788139%,4722
021,Columbia,824,23.0618527847747%,5,0.606796116504854%,30207,12741,15.9999996423721%,3573
023,Cortland,982,31.5350032113038%,6,0.610997963340122%,20116,9643,18.9999997615814%,3114
025,Delaware,464,17.1534195933457%,6,1.29310344827586%,28952,11331,23.0000004172325%,2705
027,Dutchess,5289,27.6087070000522%,32,0.605029306107015%,106103,29187,9.00000035762787%,19157
029,Erie,19086,32.1876686454398%,298,1.56135387194802%,415868,185502,20.9999993443489%,59296
031,Essex,307,14.1149425287356%,,0%,23115,10499,15.9999996423721%,2175
033,Franklin,464,15.4255319148936%,4,0.862068965517241%,23936,10816,20.9999993443489%,3008
035,Fulton,941,26.6044670624823%,22,2.33793836344315%,27787,14357,18.9999997615814%,3537
037,Genesee,730,18.5561769191662%,9,1.23287671232877%,24190,11908,10.9999999403954%,3934
039,Greene,512,17.6673567977916%,10,1.953125%,26544,9641,17.0000001788139%,2898
041,Hamilton,32,14.4144144144144%,,0%,7965,2653,15.9999996423721%,222
043,Herkimer,1110,26.7148014440433%,14,1.26126126126126%,32026,15998,18.0000007152557%,4155
045,Jefferson,2540,25.0690880378997%,10,0.393700787401575%,54070,22891,18.9999997615814%,10132
047,Kings,104067,44.9718026836067%,515,0.494873494959978%,930866,544649,34.9999994039536%,231405
049,Lewis,359,18.9646064447966%,3,0.835654596100279%,15134,6543,20.9999993443489%,1893
051,Livingston,661,17.5006619009796%,3,0.453857791225416%,24023,10102,15.0000005960464%,3777
053,Madison,1005,22.1073471183458%,9,0.895522388059701%,28646,12011,15.0000005960464%,4546
055,Monroe,11998,23.4569590803339%,126,1.05017502917153%,304388,107475,17.0000001788139%,51149
057,Montgomery,874,24.0638766519824%,18,2.05949656750572%,22522,13905,21.9999998807907%,3632
059,Nassau,29885,32.6465736664445%,81,0.271038982767275%,458151,173693,5.00000007450581%,91541
061,New York,38737,35.5679001010008%,96,0.247825076799959%,798144,438824,27.0000010728836%,108910
063,Niagara,3784,27.1312827131283%,35,0.924947145877379%,95715,39923,18.9999997615814%,13947
065,Oneida,3913,25.344905758145%,108,2.76003066700741%,102803,48082,23.0000004172325%,15439
067,Onondaga,10912,33.3231539730043%,89,0.815615835777126%,196633,70520,18.9999997615814%,32746
