"CBLS County-level Summary Data for OH, 2013",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,628,6,1,0%,1,,,
001,Adams County,356,16,0,0%,0,11822,3042,15.9999996423721%
003,Allen County,1328,45,11,0.800000037997961%,3,44245,15440,23.0000004172325%
005,Ashland County,544,27,2,0.400000018998981%,1,20832,8034,17.0000001788139%
007,Ashtabula Count,1088,58,11,0.999999977648258%,8,43792,18493,20.0000002980232%
009,Athens County,783,52,3,0.400000018998981%,0,24901,7526,25%
011,Auglaize County,350,10,3,0.899999961256981%,2,18470,7175,10.0000001490116%
013,Belmont County,526,35,10,1.89999993890524%,3,31236,14024,23.9999994635582%
015,Brown County,517,6,1,0.20000000949949%,0,17193,3924,18.9999997615814%
017,Butler County,6449,303,9,0.100000004749745%,3,129793,26225,11.9999997317791%
019,Carroll County,225,20,0,0%,1,13016,4147,20.9999993443489%
021,Champaign Count,531,30,3,0.600000005215406%,1,15890,6108,12.9999995231628%
023,Clark County,2699,155,39,1.40000004321337%,18,61056,21250,18.9999997615814%
025,Clermont County,1873,43,2,0.100000004749745%,1,69226,8807,10.0000001490116%
027,Clinton County,420,14,1,0.20000000949949%,0,16577,5433,10.9999999403954%
029,Columbiana Coun,983,71,11,1.09999999403954%,11,46083,18788,18.9999997615814%
031,Coshocton Count,594,30,3,0.499999988824129%,0,16107,6229,12.9999995231628%
033,Crawford County,405,27,5,1.20000001043081%,3,20178,8962,18.9999997615814%
035,Cuyahoga County,22374,2342,660,2.8999999165535%,197,616903,260885,21.9999998807907%
037,Darke County,661,29,4,0.600000005215406%,0,21583,9317,12.9999995231628%
039,Defiance County,452,7,1,0.20000000949949%,1,16040,5326,7.99999982118607%
041,Delaware County,1067,32,1,0.100000004749745%,2,42374,6139,5.00000007450581%
043,Erie County,467,27,9,1.89999993890524%,3,35909,12310,15.0000005960464%
045,Fairfield Count,2075,78,3,0.100000004749745%,0,47922,12306,10.9999999403954%
047,Fayette County,589,35,4,0.700000021606684%,0,11904,4352,18.0000007152557%
