"CBLS County-level Summary Data for OH, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,1382,25,6,0.20000000949949%,1,,,
001,Adams County,281,7,0,0%,0,11822,3042,15.9999996423721%
003,Allen County,1195,36,16,1.30000002682209%,4,44245,15440,23.0000004172325%
005,Ashland County,559,17,5,0.899999961256981%,1,20832,8034,17.0000001788139%
007,Ashtabula Count,1097,58,12,1.09999999403954%,9,43792,18493,20.0000002980232%
009,Athens County,746,39,3,0.400000018998981%,0,24901,7526,25%
011,Auglaize County,376,13,1,0.300000002607703%,1,18470,7175,10.0000001490116%
013,Belmont County,458,27,10,2.19999998807907%,3,31236,14024,23.9999994635582%
015,Brown County,474,7,0,0%,0,17193,3924,18.9999997615814%
017,Butler County,5500,201,21,0.400000018998981%,4,129793,26225,11.9999997317791%
019,Carroll County,236,16,3,1.30000002682209%,1,13016,4147,20.9999993443489%
021,Champaign Count,499,17,2,0.400000018998981%,0,15890,6108,12.9999995231628%
023,Clark County,2270,109,30,1.30000002682209%,17,61056,21250,18.9999997615814%
025,Clermont County,1805,42,0,0%,1,69226,8807,10.0000001490116%
027,Clinton County,386,18,0,0%,0,16577,5433,10.9999999403954%
029,Columbiana Coun,910,96,8,0.899999961256981%,11,46083,18788,18.9999997615814%
031,Coshocton Count,524,30,3,0.600000005215406%,1,16107,6229,12.9999995231628%
033,Crawford County,281,19,3,1.09999999403954%,2,20178,8962,18.9999997615814%
035,Cuyahoga County,21398,2399,678,3.20000015199184%,232,616903,260885,21.9999998807907%
037,Darke County,612,18,3,0.499999988824129%,0,21583,9317,12.9999995231628%
039,Defiance County,439,8,1,0.20000000949949%,1,16040,5326,7.99999982118607%
041,Delaware County,1149,23,2,0.20000000949949%,2,42374,6139,5.00000007450581%
043,Erie County,460,17,4,0.899999961256981%,3,35909,12310,15.0000005960464%
045,Fairfield Count,1958,51,5,0.300000002607703%,0,47922,12306,10.9999999403954%
047,Fayette County,628,22,8,1.30000002682209%,0,11904,4352,18.0000007152557%
049,Franklin County,21194,635,62,0.300000002607703%,25,471016,90783,15.9999996423721%
051,Fulton County,310,2,2,0.600000005215406%,0,16232,6132,5.99999986588955%
053,Gallia County,230,12,1,0.400000018998981%,0,13498,2979,31.0000002384186%
055,Geauga County,506,4,2,0.400000018998981%,0,32805,6661,7.00000002980232%
057,Greene County,1510,24,8,0.499999988824129%,3,58224,9269,10.0000001490116%
059,Guernsey County,662,38,1,0.20000000949949%,1,18771,6859,27.0000010728836%
061,Hamilton County,15864,702,147,0.899999961256981%,60,373393,135987,18.9999997615814%
063,Hancock County,702,23,0,0%,0,29785,9892,10.0000001490116%
065,Hardin County,352,9,2,0.600000005215406%,1,12907,5719,18.0000007152557%
067,Harrison County,141,6,2,1.40000004321337%,1,7680,3184,21.9999998807907%
069,Henry County,206,8,0,0%,1,11622,4925,11.9999997317791%
071,Highland County,524,17,1,0.20000000949949%,1,17583,5422,18.9999997615814%
073,Hocking County,419,16,0,0%,0,12141,3669,18.0000007152557%
075,Holmes County,197,7,2,0.999999977648258%,0,12280,3800,17.0000001788139%
077,Huron County,845,24,7,0.800000037997961%,0,23594,9122,14.0000000596046%
079,Jackson County,307,4,0,0%,0,13909,4383,23.0000004172325%
081,Jefferson Count,274,16,10,3.59999984502792%,8,33291,13365,28.999999165535%
083,Knox County,712,24,2,0.300000002607703%,0,21793,7900,15.9999996423721%
085,Lake County,1771,31,7,0.400000018998981%,1,93487,17281,7.99999982118607%
087,Lawrence County,555,12,0,0%,1,27189,6229,27.0000010728836%
089,Licking County,2400,92,7,0.300000002607703%,2,58760,15496,10.9999999403954%
091,Logan County,608,29,7,1.20000001043081%,1,21571,7753,15.0000005960464%
093,Lorain County,3084,151,14,0.499999988824129%,2,111368,29466,15.9999996423721%
095,Lucas County,5068,417,84,1.7000000923872%,53,196259,73690,23.0000004172325%
097,Madison County,492,6,1,0.20000000949949%,0,14399,4168,14.0000000596046%
099,Mahoning County,2570,199,26,0.999999977648258%,12,111762,38140,23.0000004172325%
101,Marion County,872,22,6,0.700000021606684%,0,26298,10909,18.0000007152557%
103,Medina County,1233,22,2,0.20000000949949%,1,56793,9904,7.00000002980232%
105,Meigs County,258,23,2,0.800000037997961%,3,10782,3702,33.0000013113022%
