"CBLS County-level Summary Data for OH, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,341,15.2999997138977%,6,1.75953079178886%,2,11822,3042,15.9999996423721%,2225
003,Allen County,1021,11.9000002741814%,14,1.37120470127326%,5,44245,15440,23.0000004172325%,8588
005,Ashland County,359,8.69999974966049%,2,0.557103064066852%,2,20832,8034,17.0000001788139%,4114
007,Ashtabula County,654,8.79999995231628%,12,1.8348623853211%,12,43792,18493,20.0000002980232%,7407
009,Athens County,525,14.4999995827675%,3,0.571428571428571%,3,24901,7526,25%,3631
011,Auglaize County,257,7.10000023245811%,4,1.55642023346304%,1,18470,7175,10.0000001490116%,3603
013,Belmont County,440,10.4000002145767%,8,1.81818181818182%,6,31236,14024,23.9999994635582%,4212
015,Brown County,325,9.6000000834465%,8,2.46153846153846%,1,17193,3924,18.9999997615814%,3396
017,Butler County,2027,7.10000023245811%,13,0.641341884558461%,4,129793,26225,11.9999997317791%,28484
019,Carroll County,117,6.10000006854534%,1,0.854700854700855%,0,13016,4147,20.9999993443489%,1916
021,Champaign County,394,13.0999997258186%,2,0.507614213197969%,0,15890,6108,12.9999995231628%,3007
023,Clark County,3107,29.3999999761581%,83,2.67138719021564%,51,61056,21250,18.9999997615814%,10559
025,Clermont County,914,5.60000017285347%,2,0.218818380743982%,1,69226,8807,10.0000001490116%,16300
027,Clinton County,255,7.10000023245811%,5,1.96078431372549%,1,16577,5433,10.9999999403954%,3569
029,Columbiana County,634,8.69999974966049%,11,1.73501577287066%,5,46083,18788,18.9999997615814%,7301
031,Coshocton County,390,13.6000007390976%,6,1.53846153846154%,5,16107,6229,12.9999995231628%,2876
033,Crawford County,411,12.3999997973442%,11,2.67639902676399%,1,20178,8962,18.9999997615814%,3307
035,Cuyahoga County,21836,21.6999992728233%,1331,6.09543872504122%,976,616903,260885,21.9999998807907%,100425
037,Darke County,310,7.59999975562096%,3,0.967741935483871%,0,21583,9317,12.9999995231628%,4070
039,Defiance County,332,11.1000001430511%,4,1.20481927710843%,0,16040,5326,7.99999982118607%,3001
041,Delaware County,479,3.50000001490116%,0,0%,0,42374,6139,5.00000007450581%,13635
043,Erie County,305,5.70000000298023%,7,2.29508196721311%,5,35909,12310,15.0000005960464%,5362
045,Fairfield County,797,7.59999975562096%,6,0.752823086574655%,2,47922,12306,10.9999999403954%,10436
047,Fayette County,240,10.700000077486%,3,1.25%,1,11904,4352,18.0000007152557%,2239
049,Franklin County,15100,15.0999993085861%,114,0.754966887417219%,58,471016,90783,15.9999996423721%,99871
051,Fulton County,340,10.9999999403954%,2,0.588235294117647%,0,16232,6132,5.99999986588955%,3105
053,Gallia County,429,18.6000004410744%,1,0.233100233100233%,1,13498,2979,31.0000002384186%,2305
055,Geauga County,252,3.70000004768372%,2,0.793650793650794%,0,32805,6661,7.00000002980232%,6738
057,Greene County,643,6.1999998986721%,2,0.31104199066874%,0,58224,9269,10.0000001490116%,10329
059,Guernsey County,420,13.8999998569489%,2,0.476190476190476%,0,18771,6859,27.0000010728836%,3014
061,Hamilton County,11314,16.6999995708466%,209,1.84726887042602%,107,373393,135987,18.9999997615814%,67844
063,Hancock County,193,3.50000001490116%,2,1.03626943005181%,0,29785,9892,10.0000001490116%,5531
065,Hardin County,292,12.7000004053116%,0,0%,0,12907,5719,18.0000007152557%,2303
067,Harrison County,144,14.2000004649162%,4,2.77777777777778%,0,7680,3184,21.9999998807907%,1015
069,Henry County,182,8.10000002384186%,5,2.74725274725275%,0,11622,4925,11.9999997317791%,2259
071,Highland County,481,13.6999994516373%,3,0.623700623700624%,1,17583,5422,18.9999997615814%,3512
073,Hocking County,256,11.8000000715256%,1,0.390625%,0,12141,3669,18.0000007152557%,2164
075,Holmes County,181,3.70000004768372%,1,0.552486187845304%,3,12280,3800,17.0000001788139%,4837
077,Huron County,687,13.5000005364418%,2,0.291120815138282%,2,23594,9122,14.0000000596046%,5091
079,Jackson County,312,11.8000000715256%,3,0.961538461538462%,1,13909,4383,23.0000004172325%,2634
081,Jefferson County,401,9.39999967813492%,11,2.7431421446384%,5,33291,13365,28.999999165535%,4258
083,Knox County,437,10.3000000119209%,1,0.22883295194508%,0,21793,7900,15.9999996423721%,4238
085,Lake County,1046,6.70000016689301%,10,0.956022944550669%,4,93487,17281,7.99999982118607%,15651
087,Lawrence County,549,12.2000001370907%,2,0.364298724954463%,0,27189,6229,27.0000010728836%,4498
089,Licking County,1413,11.5000002086163%,11,0.778485491861288%,5,58760,15496,10.9999999403954%,12316
091,Logan County,297,8.10000002384186%,4,1.34680134680135%,0,21571,7753,15.0000005960464%,3666
093,Lorain County,2378,10.700000077486%,30,1.26156433978133%,14,111368,29466,15.9999996423721%,22176
095,Lucas County,6174,16.6999995708466%,245,3.96825396825397%,116,196259,73690,23.0000004172325%,36992
097,Madison County,353,12.2000001370907%,4,1.13314447592068%,0,14399,4168,14.0000000596046%,2892
099,Mahoning County,2437,15.2999997138977%,100,4.10340582683627%,68,111762,38140,23.0000004172325%,15906
101,Marion County,597,13.0999997258186%,2,0.33500837520938%,1,26298,10909,18.0000007152557%,4562
103,Medina County,769,6.10000006854534%,1,0.130039011703511%,0,56793,9904,7.00000002980232%,12584
105,Meigs County,237,14.300000667572%,5,2.10970464135021%,1,10782,3702,33.0000013113022%,1654
107,Mercer County,172,5.09999990463257%,1,0.581395348837209%,0,15875,5088,10.0000001490116%,3395
109,Miami County,641,8.69999974966049%,7,1.09204368174727%,2,40554,14056,9.00000035762787%,7387
111,Monroe County,48,5.09999990463257%,1,2.08333333333333%,2,7212,2716,18.0000007152557%,942
113,Montgomery County,6795,15.9999996423721%,59,0.868285504047094%,35,248443,66917,18.0000007152557%,42587
115,Morgan County,125,12.2000001370907%,1,0.8%,1,7771,2705,33.0000013113022%,1023
117,Morrow County,176,6.8000003695488%,2,1.13636363636364%,1,12132,3789,15.9999996423721%,2596
119,Muskingum County,1317,20.2000007033348%,22,1.67046317388003%,16,35163,12609,23.0000004172325%,6504
121,Noble County,89,11.4000000059605%,2,2.24719101123596%,1,5480,2054,20.9999993443489%,782
123,Ottawa County,230,9.00000035762787%,3,1.30434782608696%,2,25532,7732,10.0000001490116%,2565
125,Paulding County,42,2.8999999165535%,0,0%,0,8478,2668,14.0000000596046%,1440
127,Perry County,410,14.9000003933907%,4,0.975609756097561%,0,13655,5256,18.0000007152557%,2750
129,Pickaway County,417,11.599999666214%,1,0.239808153477218%,0,18596,5258,14.0000000596046%,3607
131,Pike County,337,15.0999993085861%,1,0.29673590504451%,0,11602,1935,28.999999165535%,2238
133,Portage County,725,7.29999989271164%,5,0.689655172413793%,1,60096,13390,11.9999997317791%,9864
135,Preble County,203,6.8000003695488%,1,0.492610837438424%,1,17186,6155,7.99999982118607%,3005
137,Putnam County,183,6.59999996423721%,0,0%,0,12753,4643,9.00000035762787%,2773
139,Richland County,1511,16.3000002503395%,21,1.3898080741231%,12,53062,17835,18.0000007152557%,9270
141,Ross County,1042,19.5999994874001%,6,0.575815738963532%,2,29461,9133,18.0000007152557%,5316
143,Sandusky County,470,9.89999994635582%,6,1.27659574468085%,0,25253,11053,12.9999995231628%,4741
145,Scioto County,442,7.59999975562096%,9,2.03619909502262%,4,34054,12118,28.999999165535%,5847
147,Seneca County,414,9.30000022053719%,8,1.93236714975845%,4,23692,11662,12.9999995231628%,4437
149,Shelby County,403,9.39999967813492%,3,0.744416873449132%,1,18682,5985,10.9999999403954%,4292
151,Stark County,3719,13.7999996542931%,38,1.02178004840011%,15,157024,53354,17.0000001788139%,26888
153,Summit County,6707,16.5999993681908%,100,1.49097957357984%,54,230880,75585,17.0000001788139%,40310
155,Trumbull County,1303,9.00000035762787%,12,0.920951650038373%,3,95117,29730,18.9999997615814%,14542
157,Tuscarawas County,620,8.90000015497208%,11,1.7741935483871%,4,38113,15438,15.0000005960464%,6997
159,Union County,107,2.70000007003546%,1,0.934579439252336%,0,15217,4512,5.00000007450581%,3952
161,Van Wert County,155,7.00000002980232%,1,0.645161290322581%,0,12363,5950,5.99999986588955%,2218
163,Vinton County,185,17.9000005125999%,2,1.08108108108108%,2,5653,1338,28.0000001192093%,1031
165,Warren County,743,4.50000017881393%,3,0.403768506056528%,1,58692,7000,3.99999991059303%,16628
167,Washington County,386,9.39999967813492%,4,1.03626943005181%,14,27760,8233,18.9999997615814%,4088
169,Wayne County,779,8.29999968409538%,8,1.02695763799743%,3,42324,12386,11.9999997317791%,9403
171,Williams County,415,14.6999999880791%,7,1.68674698795181%,4,16140,6143,7.00000002980232%,2820
173,Wood County,997,12.2000001370907%,9,0.902708124373119%,1,47468,12394,9.00000035762787%,8166
175,Wyandot County,147,8.90000015497208%,1,0.680272108843537%,1,9324,4480,5.99999986588955%,1650
999,Unknown,37,,1,2.7027027027027%,0,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
