"CBLS County-level Summary Data for OH, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,449,19.6999996900558%,5,1.11358574610245%,3,11822,3042,15.9999996423721%,2279
003,Allen County,1435,16.6999995708466%,25,1.74216027874564%,5,44245,15440,23.0000004172325%,8602
005,Ashland County,530,12.9999995231628%,2,0.377358490566038%,0,20832,8034,17.0000001788139%,4064
007,Ashtabula County,1761,23.8999992609024%,16,0.908574673480977%,11,43792,18493,20.0000002980232%,7374
009,Athens County,953,27.3000001907349%,5,0.524658971668415%,1,24901,7526,25%,3492
011,Auglaize County,366,10.1999998092651%,7,1.91256830601093%,1,18470,7175,10.0000001490116%,3577
013,Belmont County,580,13.6999994516373%,18,3.10344827586207%,9,31236,14024,23.9999994635582%,4243
015,Brown County,437,12.8000006079674%,3,0.68649885583524%,2,17193,3924,18.9999997615814%,3423
017,Butler County,4279,14.3999993801117%,26,0.607618602477214%,5,129793,26225,11.9999997317791%,29706
019,Carroll County,281,15.1999995112419%,3,1.06761565836299%,1,13016,4147,20.9999993443489%,1843
021,Champaign County,692,22.4999994039536%,11,1.58959537572254%,1,15890,6108,12.9999995231628%,3076
023,Clark County,4215,40.2999997138977%,99,2.34875444839858%,47,61056,21250,18.9999997615814%,10466
025,Clermont County,1328,7.99999982118607%,2,0.150602409638554%,1,69226,8807,10.0000001490116%,16693
027,Clinton County,438,12.2000001370907%,4,0.91324200913242%,1,16577,5433,10.9999999403954%,3594
029,Columbiana County,690,9.49999988079071%,35,5.07246376811594%,6,46083,18788,18.9999997615814%,7246
031,Coshocton County,550,20.0000002980232%,11,2%,7,16107,6229,12.9999995231628%,2746
033,Crawford County,770,23.6000001430511%,14,1.81818181818182%,3,20178,8962,18.9999997615814%,3260
035,Cuyahoga County,21379,22.2000002861023%,1107,5.17797839000889%,743,616903,260885,21.9999998807907%,96391
