"CBLS County-level Summary Data for OH, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
185,,n,,n,n,n,,,,
997,Unknown State,n,,n,n,n,,,,
998,Unknown County,27,.,1,3.70000004768372%,0,,,,
001,Adams County,249,10.8999997377396%,1,0.400000018998981%,2,11822,3042,15.9999996423721%,2284
003,Allen County,1851,21.6999992728233%,24,1.30000002682209%,3,44245,15440,23.0000004172325%,8517
005,Ashland County,550,13.3000001311302%,7,1.30000002682209%,1,20832,8034,17.0000001788139%,4142
007,Ashtabula County,1506,20.100000500679%,16,1.09999999403954%,7,43792,18493,20.0000002980232%,7500
009,Athens County,929,26.3999998569489%,11,1.20000001043081%,2,24901,7526,25%,3521
011,Auglaize County,480,13.0999997258186%,5,0.999999977648258%,1,18470,7175,10.0000001490116%,3652
013,Belmont County,850,19.9000000953674%,14,1.60000007599592%,9,31236,14024,23.9999994635582%,4265
015,Brown County,250,7.40000009536743%,3,1.20000001043081%,2,17193,3924,18.9999997615814%,3373
017,Butler County,5080,16.6999995708466%,27,0.499999988824129%,4,129793,26225,11.9999997317791%,30355
019,Carroll County,223,11.8000000715256%,1,0.400000018998981%,0,13016,4147,20.9999993443489%,1895
021,Champaign County,781,25.4000008106232%,6,0.800000037997961%,1,15890,6108,12.9999995231628%,3071
023,Clark County,3734,35.1999998092651%,51,1.40000004321337%,33,61056,21250,18.9999997615814%,10619
025,Clermont County,1080,6.40000030398369%,0,0%,0,69226,8807,10.0000001490116%,16831
027,Clinton County,450,12.7000004053116%,1,0.20000000949949%,1,16577,5433,10.9999999403954%,3540
029,Columbiana County,823,11.5000002086163%,44,5.29999993741512%,11,46083,18788,18.9999997615814%,7164
031,Coshocton County,554,20.6000000238419%,11,1.99999995529652%,8,16107,6229,12.9999995231628%,2691
033,Crawford County,444,14.1000002622604%,8,1.79999992251396%,2,20178,8962,18.9999997615814%,3143
035,Cuyahoga County,24344,25.4000008106232%,1209,5.00000007450581%,610,616903,260885,21.9999998807907%,95678
037,Darke County,680,16.8999999761581%,4,0.600000005215406%,0,21583,9317,12.9999995231628%,4031
039,Defiance County,630,20.7000002264976%,4,0.600000005215406%,2,16040,5326,7.99999982118607%,3039
041,Delaware County,857,5.60000017285347%,2,0.20000000949949%,0,42374,6139,5.00000007450581%,15411
043,Erie County,706,13.5000005364418%,12,1.7000000923872%,3,35909,12310,15.0000005960464%,5228
045,Fairfield County,1382,12.6000002026558%,8,0.600000005215406%,1,47922,12306,10.9999999403954%,10969
047,Fayette County,419,18.0000007152557%,7,1.7000000923872%,1,11904,4352,18.0000007152557%,2327
049,Franklin County,18686,17.9000005125999%,85,0.499999988824129%,46,471016,90783,15.9999996423721%,104558
051,Fulton County,546,17.1000003814697%,8,1.49999996647239%,1,16232,6132,5.99999986588955%,3200
053,Gallia County,492,20.7000002264976%,5,0.999999977648258%,0,13498,2979,31.0000002384186%,2375
055,Geauga County,424,6.49999976158142%,5,1.20000001043081%,1,32805,6661,7.00000002980232%,6483
057,Greene County,1460,13.1999999284744%,9,0.600000005215406%,1,58224,9269,10.0000001490116%,11031
059,Guernsey County,610,20.3999996185303%,4,0.700000021606684%,0,18771,6859,27.0000010728836%,2992
061,Hamilton County,21292,30.8999985456467%,405,1.89999993890524%,159,373393,135987,18.9999997615814%,68971
063,Hancock County,767,13.400000333786%,7,0.899999961256981%,2,29785,9892,10.0000001490116%,5720
065,Hardin County,498,21.7999994754791%,1,0.20000000949949%,0,12907,5719,18.0000007152557%,2283
067,Harrison County,191,18.6000004410744%,5,2.60000005364418%,3,7680,3184,21.9999998807907%,1027
069,Henry County,379,17.2000005841255%,4,1.09999999403954%,0,11622,4925,11.9999997317791%,2204
071,Highland County,586,16.5000006556511%,8,1.40000004321337%,2,17583,5422,18.9999997615814%,3552
073,Hocking County,536,25%,3,0.600000005215406%,1,12141,3669,18.0000007152557%,2141
075,Holmes County,360,7.80000016093254%,3,0.800000037997961%,3,12280,3800,17.0000001788139%,4621
077,Huron County,1220,24.3000000715256%,15,1.20000001043081%,3,23594,9122,14.0000000596046%,5018
079,Jackson County,632,23.7000003457069%,3,0.499999988824129%,1,13909,4383,23.0000004172325%,2666
081,Jefferson County,488,11.5000002086163%,7,1.40000004321337%,5,33291,13365,28.999999165535%,4248
083,Knox County,735,16.4000004529953%,1,0.100000004749745%,0,21793,7900,15.9999996423721%,4495
085,Lake County,1685,10.700000077486%,3,0.20000000949949%,1,93487,17281,7.99999982118607%,15744
087,Lawrence County,770,16.5000006556511%,8,0.999999977648258%,1,27189,6229,27.0000010728836%,4656
089,Licking County,2249,17.7000001072884%,7,0.300000002607703%,3,58760,15496,10.9999999403954%,12678
091,Logan County,703,18.9999997615814%,6,0.899999961256981%,0,21571,7753,15.0000005960464%,3697
093,Lorain County,3365,15.0000005960464%,32,0.999999977648258%,5,111368,29466,15.9999996423721%,22383
095,Lucas County,7871,21.4000001549721%,288,3.70000004768372%,110,196259,73690,23.0000004172325%,36825
097,Madison County,583,19.9000000953674%,2,0.300000002607703%,0,14399,4168,14.0000000596046%,2937
099,Mahoning County,2894,18.4000000357628%,54,1.89999993890524%,36,111762,38140,23.0000004172325%,15686
101,Marion County,949,20.3999996185303%,13,1.40000004321337%,2,26298,10909,18.0000007152557%,4641
103,Medina County,1127,8.79999995231628%,2,0.20000000949949%,1,56793,9904,7.00000002980232%,12763
105,Meigs County,382,23.1000006198883%,3,0.800000037997961%,0,10782,3702,33.0000013113022%,1656
107,Mercer County,386,11.5000002086163%,0,0%,0,15875,5088,10.0000001490116%,3364
109,Miami County,1055,14.300000667572%,12,1.09999999403954%,1,40554,14056,9.00000035762787%,7394
