"CBLS County-level Summary Data for OH, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams,303,13.6425033768573%,,0%,11822,3042,15.9999996423721%,2221
003,Allen,1617,19.229397074563%,15,0.927643784786642%,44245,15440,23.0000004172325%,8409
005,Ashland,543,12.9780114722753%,4,0.736648250460405%,20832,8034,17.0000001788139%,4184
007,Ashtabula,905,11.9361646003693%,7,0.773480662983425%,43792,18493,20.0000002980232%,7582
009,Athens,888,25.7242178447277%,10,1.12612612612613%,24901,7526,25%,3452
011,Auglaize,460,12.3390557939914%,4,0.869565217391304%,18470,7175,10.0000001490116%,3728
013,Belmont,497,11.7106503298775%,5,1.00603621730382%,31236,14024,23.9999994635582%,4244
015,Brown,390,11.5624073525052%,,0%,17193,3924,18.9999997615814%,3373
017,Butler,3217,10.6031641397495%,13,0.404103201740752%,129793,26225,11.9999997317791%,30340
019,Carroll,265,13.9841688654354%,2,0.754716981132076%,13016,4147,20.9999993443489%,1895
021,Champaign,583,19.2854780019848%,2,0.343053173241852%,15890,6108,12.9999995231628%,3023
023,Clark,3459,32.4149564239528%,43,1.24313385371495%,61056,21250,18.9999997615814%,10671
025,Clermont,1566,9.36658891082003%,1,0.0638569604086845%,69226,8807,10.0000001490116%,16719
027,Clinton,450,12.9496402877698%,4,0.888888888888889%,16577,5433,10.9999999403954%,3475
029,Columbiana,539,7.510101713808%,11,2.04081632653061%,46083,18788,18.9999997615814%,7177
031,Coshocton,595,22.0943186037876%,6,1.00840336134454%,16107,6229,12.9999995231628%,2693
033,Crawford,325,10.6105125693764%,7,2.15384615384615%,20178,8962,18.9999997615814%,3063
035,Cuyahoga,16208,17.216362342394%,458,2.82576505429418%,616903,260885,21.9999998807907%,94143
037,Darke,630,15.6288762093773%,2,0.317460317460317%,21583,9317,12.9999995231628%,4031
039,Defiance,575,18.8648293963255%,4,0.695652173913043%,16040,5326,7.99999982118607%,3048
041,Delaware,860,5.36527543826814%,1,0.116279069767442%,42374,6139,5.00000007450581%,16029
043,Erie,454,8.73412851096576%,3,0.66079295154185%,35909,12310,15.0000005960464%,5198
045,Fairfield,1648,14.7366538495931%,8,0.485436893203883%,47922,12306,10.9999999403954%,11183
047,Fayette,512,21.6673719847651%,2,0.390625%,11904,4352,18.0000007152557%,2363
049,Franklin,18944,18.5720027842318%,79,0.417018581081081%,471016,90783,15.9999996423721%,102003
051,Fulton,475,14.4333029474324%,,0%,16232,6132,5.99999986588955%,3291
053,Gallia,507,21.9670710571924%,2,0.394477317554241%,13498,2979,31.0000002384186%,2308
055,Geauga,328,4.71942446043165%,,0%,32805,6661,7.00000002980232%,6950
057,Greene,1078,9.71959246235687%,,0%,58224,9269,10.0000001490116%,11091
059,Guernsey,738,24.7983870967742%,1,0.13550135501355%,18771,6859,27.0000010728836%,2976
061,Hamilton,13627,20.0866732506891%,138,1.01269538416379%,373393,135987,18.9999997615814%,67841
063,Hancock,737,13.1654162200786%,2,0.271370420624152%,29785,9892,10.0000001490116%,5598
065,Hardin,514,22.0034246575342%,5,0.972762645914397%,12907,5719,18.0000007152557%,2336
067,Harrison,180,17.6470588235294%,3,1.66666666666667%,7680,3184,21.9999998807907%,1020
069,Henry,354,15.6637168141593%,2,0.564971751412429%,11622,4925,11.9999997317791%,2260
071,Highland,621,17.8859447004608%,1,0.161030595813205%,17583,5422,18.9999997615814%,3472
073,Hocking,404,19.1650853889943%,2,0.495049504950495%,12141,3669,18.0000007152557%,2108
075,Holmes,176,3.80540540540541%,1,0.568181818181818%,12280,3800,17.0000001788139%,4625
077,Huron,992,19.5583596214511%,9,0.907258064516129%,23594,9122,14.0000000596046%,5072
079,Jackson,494,18.690881573969%,2,0.404858299595142%,13909,4383,23.0000004172325%,2643
081,Jefferson,383,8.94233014242353%,6,1.56657963446475%,33291,13365,28.999999165535%,4283
083,Knox,956,21.0665491405906%,7,0.732217573221757%,21793,7900,15.9999996423721%,4538
085,Lake,1579,9.85212453983902%,5,0.316656111462951%,93487,17281,7.99999982118607%,16027
087,Lawrence,608,13.109098749461%,1,0.164473684210526%,27189,6229,27.0000010728836%,4638
089,Licking,2204,17.384445496135%,5,0.226860254083485%,58760,15496,10.9999999403954%,12678
091,Logan,623,16.733816814397%,3,0.481540930979133%,21571,7753,15.0000005960464%,3723
093,Lorain,3111,13.7157217176616%,20,0.642880102860817%,111368,29466,15.9999996423721%,22682
095,Lucas,7989,21.7375925119721%,127,1.58968581799975%,196259,73690,23.0000004172325%,36752
097,Madison,587,19.6913787319691%,1,0.170357751277683%,14399,4168,14.0000000596046%,2981
099,Mahoning,2579,16.4498022706978%,35,1.35711516091508%,111762,38140,23.0000004172325%,15678
101,Marion,650,13.9514917364241%,7,1.07692307692308%,26298,10909,18.0000007152557%,4659
103,Medina,1124,8.5254854368932%,5,0.444839857651246%,56793,9904,7.00000002980232%,13184
105,Meigs,367,22.4464831804281%,,0%,10782,3702,33.0000013113022%,1635
107,Mercer,422,12.2745782431646%,2,0.4739336492891%,15875,5088,10.0000001490116%,3438
109,Miami,956,12.7161479116786%,5,0.523012552301255%,40554,14056,9.00000035762787%,7518
111,Monroe,142,15.673289183223%,1,0.704225352112676%,7212,2716,18.0000007152557%,906
113,Montgomery,5925,14.4780568859349%,39,0.658227848101266%,248443,66917,18.0000007152557%,40924
115,Morgan,213,20.9852216748768%,1,0.469483568075117%,7771,2705,33.0000013113022%,1015
117,Morrow,247,9.30670685757347%,,0%,12132,3789,15.9999996423721%,2654
119,Muskingum,1980,31.1369712218902%,10,0.505050505050505%,35163,12609,23.0000004172325%,6359
