"CBLS County-level Summary Data for OK, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,182,6,0,0%,0,,,
001,Adair County,401,23,3,0.700000021606684%,0,8348,1329,28.0000001192093%
003,Alfalfa County,37,1,0,0%,0,2832,1587,25.9999990463257%
005,Atoka County,175,9,1,0.600000005215406%,0,5673,707,31.0000002384186%
007,Beaver County,38,2,0,0%,0,2719,927,18.0000007152557%
009,Beckham County,388,16,0,0%,0,8796,2277,28.999999165535%
011,Blaine County,257,25,0,0%,0,5208,1553,28.0000001192093%
013,Bryan County,634,31,3,0.499999988824129%,0,16715,2455,21.9999998807907%
015,Caddo County,719,34,1,0.100000004749745%,0,13096,3343,34.0000003576279%
017,Canadian County,767,15,2,0.300000002607703%,0,33969,3923,11.9999997317791%
019,Carter County,615,16,5,0.800000037997961%,1,20577,4627,25.9999990463257%
021,Cherokee County,540,9,2,0.400000018998981%,0,19499,1804,36.0000014305115%
023,Choctaw County,348,18,1,0.300000002607703%,1,7539,1421,37.0000004768372%
025,Cimarron County,30,3,0,0%,0,1583,638,34.9999994039536%
027,Cleveland Count,1271,23,1,0.100000004749745%,3,84844,5133,11.9999997317791%
029,Coal County,85,5,0,0%,0,2744,702,27.0000010728836%
031,Comanche County,1368,30,0,0%,0,45416,5884,23.0000004172325%
033,Cotton County,86,5,0,0%,0,3085,949,28.0000001192093%
035,Craig County,102,3,0,0%,0,6459,2045,18.9999997615814%
037,Creek County,700,29,2,0.300000002607703%,0,27986,4892,20.0000002980232%
039,Custer County,334,4,1,0.300000002607703%,0,11675,2290,25.9999990463257%
041,Delaware County,316,17,1,0.300000002607703%,0,22290,1813,31.0000002384186%
043,Dewey County,42,7,0,0%,0,2425,952,27.0000010728836%
045,Ellis County,17,1,0,0%,0,2146,976,23.9999994635582%
047,Garfield County,365,20,7,1.89999993890524%,1,26047,7339,23.0000004172325%
049,Garvin County,312,18,2,0.600000005215406%,0,12641,3064,20.0000002980232%
051,Grady County,780,39,1,0.100000004749745%,0,19444,4440,18.0000007152557%
053,Grant County,48,4,4,8.29999968409538%,1,2622,1271,28.999999165535%
055,Greer County,108,6,0,0%,0,2788,1160,33.0000013113022%
057,Harmon County,82,11,3,3.70000004768372%,1,1647,705,37.9999995231628%
059,Harper County,35,1,0,0%,0,1863,789,18.9999997615814%
061,Haskell County,95,.,0,0%,0,5573,877,20.0000002980232%
063,Hughes County,163,13,1,0.600000005215406%,0,6237,2116,28.999999165535%
065,Jackson County,624,31,4,0.600000005215406%,0,12377,2799,20.9999993443489%
067,Jefferson Count,100,1,1,0.999999977648258%,0,3373,1043,23.9999994635582%
069,Johnston County,192,2,0,0%,0,4782,763,33.0000013113022%
071,Kay County,993,57,12,1.20000001043081%,6,21804,7454,28.999999165535%
073,Kingfisher Coun,217,9,1,0.499999988824129%,0,5879,1468,18.9999997615814%
075,Kiowa County,180,12,5,2.80000008642673%,1,5304,2290,27.0000010728836%
077,Latimer County,132,5,0,0%,0,4709,721,38.9999985694885%
079,Le Flore County,856,22,11,1.30000002682209%,2,20142,3424,25.9999990463257%
081,Lincoln County,425,16,3,0.700000021606684%,0,13712,2994,21.9999998807907%
083,Logan County,357,11,1,0.300000002607703%,0,13906,3290,15.9999996423721%
085,Love County,144,1,1,0.700000021606684%,0,4066,566,18.0000007152557%
087,McClain County,256,18,0,0%,0,11189,1643,17.0000001788139%
089,McCurtain Count,526,26,4,0.800000037997961%,0,15427,1945,37.0000004768372%
091,McIntosh County,153,6,0,0%,0,12640,1089,28.0000001192093%
093,Major County,83,4,0,0%,0,3540,1105,25.9999990463257%
095,Marshall County,288,7,1,0.300000002607703%,0,8517,787,27.0000010728836%
097,Mayes County,443,10,1,0.20000000949949%,0,17423,2544,23.0000004172325%
099,Murray County,194,10,2,0.999999977648258%,0,6479,1311,20.0000002980232%
101,Muskogee County,1058,62,10,0.899999961256981%,3,29575,6966,31.0000002384186%
103,Noble County,105,7,2,1.89999993890524%,0,5082,1372,20.0000002980232%
105,Nowata County,65,1,0,0%,0,4705,1391,20.9999993443489%
107,Okfuskee County,182,7,0,0%,0,5114,1554,33.0000013113022%
109,Oklahoma County,7492,171,29,0.400000018998981%,7,295020,49569,25%
111,Okmulgee County,650,55,12,1.79999992251396%,2,17316,5183,28.0000001192093%
113,Osage County,314,20,2,0.600000005215406%,0,18826,4530,20.9999993443489%
115,Ottawa County,722,47,3,0.400000018998981%,0,14842,4169,25.9999990463257%
117,Pawnee County,251,16,2,0.800000037997961%,0,7464,1814,21.9999998807907%
119,Payne County,591,17,3,0.499999988824129%,0,29326,5413,20.0000002980232%
121,Pittsburg Count,676,23,0,0%,0,21520,4491,27.0000010728836%
123,Pontotoc County,467,12,2,0.400000018998981%,0,15575,3326,27.0000010728836%
125,Pottawatomie Co,947,29,5,0.499999988824129%,0,27302,5967,23.0000004172325%
127,Pushmataha Coun,209,3,2,0.999999977648258%,0,5795,851,34.0000003576279%
129,Roger Mills Cou,37,4,0,0%,0,1749,630,23.0000004172325%
131,Rogers County,298,3,0,0%,0,27476,2544,10.9999999403954%
133,Seminole County,446,20,5,1.09999999403954%,2,11146,3113,33.0000013113022%
135,Sequoyah County,381,6,0,0%,0,16940,1484,27.0000010728836%
137,Stephens County,435,9,1,0.20000000949949%,0,19854,3509,23.9999994635582%
139,Texas County,269,8,0,0%,1,8014,1717,20.0000002980232%
141,Tillman County,194,5,0,0%,1,4342,1872,37.9999995231628%
143,Tulsa County,5469,106,13,0.20000000949949%,1,243953,37585,18.0000007152557%
145,Wagoner County,280,12,1,0.400000018998981%,0,23174,1716,14.0000000596046%
147,Washington Coun,276,6,1,0.400000018998981%,0,22250,5020,23.0000004172325%
149,Washita County,141,9,0,0%,0,5452,1754,25.9999990463257%
151,Woods County,83,3,0,0%,0,4492,1880,11.9999997317791%
153,Woodward County,217,10,0,0%,0,8341,1807,15.0000005960464%
109,Culberson Count,n,n,n,n,n,1321,281,38.9999985694885%
*# of Addresses where address state not in selected state: 1,# of Addresses where program state is not in selected state: 0,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2008-2012",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
