"CBLS County-level Summary Data for OK, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,153,4,7,4.6000000089407%,1,,,
001,Adair County,396,7,0,0%,0,8348,1329,28.0000001192093%
003,Alfalfa County,31,3,0,0%,0,2832,1587,25.9999990463257%
005,Atoka County,146,5,1,0.700000021606684%,0,5673,707,31.0000002384186%
007,Beaver County,61,1,0,0%,0,2719,927,18.0000007152557%
009,Beckham County,459,9,2,0.400000018998981%,0,8796,2277,28.999999165535%
011,Blaine County,214,20,3,1.40000004321337%,0,5208,1553,28.0000001192093%
013,Bryan County,518,22,3,0.600000005215406%,0,16715,2455,21.9999998807907%
015,Caddo County,533,15,3,0.600000005215406%,0,13096,3343,34.0000003576279%
017,Canadian County,545,7,1,0.20000000949949%,0,33969,3923,11.9999997317791%
019,Carter County,867,21,2,0.20000000949949%,2,20577,4627,25.9999990463257%
021,Cherokee County,613,11,5,0.800000037997961%,0,19499,1804,36.0000014305115%
023,Choctaw County,331,17,0,0%,1,7539,1421,37.0000004768372%
025,Cimarron County,39,.,0,0%,0,1583,638,34.9999994039536%
027,Cleveland Count,1740,16,3,0.20000000949949%,1,84844,5133,11.9999997317791%
029,Coal County,90,.,0,0%,0,2744,702,27.0000010728836%
031,Comanche County,1292,18,3,0.20000000949949%,0,45416,5884,23.0000004172325%
033,Cotton County,87,3,1,1.09999999403954%,0,3085,949,28.0000001192093%
035,Craig County,115,3,0,0%,0,6459,2045,18.9999997615814%
037,Creek County,1011,35,8,0.800000037997961%,1,27986,4892,20.0000002980232%
039,Custer County,346,10,0,0%,1,11675,2290,25.9999990463257%
041,Delaware County,448,9,1,0.20000000949949%,0,22290,1813,31.0000002384186%
043,Dewey County,58,3,0,0%,0,2425,952,27.0000010728836%
045,Ellis County,18,.,0,0%,0,2146,976,23.9999994635582%
047,Garfield County,184,9,3,1.60000007599592%,0,26047,7339,23.0000004172325%
049,Garvin County,331,8,1,0.300000002607703%,0,12641,3064,20.0000002980232%
051,Grady County,657,15,2,0.300000002607703%,0,19444,4440,18.0000007152557%
053,Grant County,27,2,4,14.8000001907349%,2,2622,1271,28.999999165535%
055,Greer County,128,3,4,3.09999994933605%,0,2788,1160,33.0000013113022%
057,Harmon County,69,3,1,1.40000004321337%,2,1647,705,37.9999995231628%
059,Harper County,50,1,0,0%,0,1863,789,18.9999997615814%
061,Haskell County,194,3,0,0%,0,5573,877,20.0000002980232%
063,Hughes County,157,7,2,1.30000002682209%,0,6237,2116,28.999999165535%
065,Jackson County,732,15,4,0.499999988824129%,0,12377,2799,20.9999993443489%
067,Jefferson Count,151,3,1,0.700000021606684%,0,3373,1043,23.9999994635582%
069,Johnston County,209,3,1,0.499999988824129%,0,4782,763,33.0000013113022%
