"CBLS County-level Summary Data for OK, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair County,340,17.0682730923695%,3,0,8348,1329,28.0000001192093%,1992
003,Alfalfa County,5,1.56739811912226%,1,0,2832,1587,25.9999990463257%,319
005,Atoka County,98,10.1871101871102%,2,0,5673,707,31.0000002384186%,962
007,Beaver County,102,24.6973365617433%,0,0,2719,927,18.0000007152557%,413
009,Beckham County,321,20.7498383968972%,3,0,8796,2277,28.999999165535%,1547
011,Blaine County,7,0.844390832328106%,0,0,5208,1553,28.0000001192093%,829
013,Bryan County,497,18.0268407689518%,3,0,16715,2455,21.9999998807907%,2757
015,Caddo County,240,9.97091815538014%,3,1,13096,3343,34.0000003576279%,2407
017,Canadian County,190,2.67718754403269%,0,0,33969,3923,11.9999997317791%,7097
019,Carter County,382,10.2275769745649%,7,0,20577,4627,25.9999990463257%,3735
021,Cherokee County,467,13.4776334776335%,2,1,19499,1804,36.0000014305115%,3465
023,Choctaw County,376,31.2551953449709%,4,0,7539,1421,37.0000004768372%,1203
025,Cimarron County,,0%,,,1583,638,34.9999994039536%,248
027,Cleveland County,456,2.88443291795812%,6,0,84844,5133,11.9999997317791%,15809
029,Coal County,49,9.95934959349593%,1,0,2744,702,27.0000010728836%,492
031,Comanche County,1828,17.0601959869342%,4,0,45416,5884,23.0000004172325%,10715
033,Cotton County,149,29.3885601577909%,1,0,3085,949,28.0000001192093%,507
035,Craig County,85,8.33333333333333%,2,1,6459,2045,18.9999997615814%,1020
037,Creek County,157,2.87282708142726%,4,0,27986,4892,20.0000002980232%,5465
039,Custer County,117,6.32432432432432%,0,0,11675,2290,25.9999990463257%,1850
041,Delaware County,339,12.1505376344086%,0,0,22290,1813,31.0000002384186%,2790
043,Dewey County,5,1.75438596491228%,0,0,2425,952,27.0000010728836%,285
045,Ellis County,6,2.26415094339623%,0,0,2146,976,23.9999994635582%,265
047,Garfield County,33,0.740574506283662%,1,0,26047,7339,23.0000004172325%,4456
049,Garvin County,128,6.11562350692785%,1,0,12641,3064,20.0000002980232%,2093
051,Grady County,170,4.70653377630122%,3,1,19444,4440,18.0000007152557%,3612
053,Grant County,,0%,,,2622,1271,28.999999165535%,324
055,Greer County,89,27.217125382263%,0,0,2788,1160,33.0000013113022%,327
057,Harmon County,73,38.2198952879581%,1,0,1647,705,37.9999995231628%,191
059,Harper County,29,15.2631578947368%,0,0,1863,789,18.9999997615814%,190
061,Haskell County,189,20.4324324324324%,1,0,5573,877,20.0000002980232%,925
063,Hughes County,97,9.39012584704743%,4,0,6237,2116,28.999999165535%,1033
065,Jackson County,587,20.7567185289958%,6,1,12377,2799,20.9999993443489%,2828
067,Jefferson County,74,15.071283095723%,2,0,3373,1043,23.9999994635582%,491
069,Johnston County,98,11.5702479338843%,0,0,4782,763,33.0000013113022%,847
071,Kay County,203,5.11206245278267%,2,1,21804,7454,28.999999165535%,3971
073,Kingfisher County,130,12.6953125%,1,0,5879,1468,18.9999997615814%,1024
075,Kiowa County,143,19.7786998616874%,3,0,5304,2290,27.0000010728836%,723
077,Latimer County,126,14.6341463414634%,1,0,4709,721,38.9999985694885%,861
079,Le Flore County,297,7.65069551777434%,4,0,20142,3424,25.9999990463257%,3882
081,Lincoln County,271,10.7796340493238%,2,0,13712,2994,21.9999998807907%,2514
083,Logan County,146,6.0530679933665%,2,1,13906,3290,15.9999996423721%,2412
085,Love County,116,18.8006482982172%,1,0,4066,566,18.0000007152557%,617
087,McClain County,57,2.57918552036199%,1,0,11189,1643,17.0000001788139%,2210
089,McCurtain County,250,7.88394828129928%,3,0,15427,1945,37.0000004768372%,3171
091,McIntosh County,141,11.5858668857847%,1,0,12640,1089,28.0000001192093%,1217
093,Major County,9,1.67597765363129%,1,0,3540,1105,25.9999990463257%,537
095,Marshall County,310,30.7539682539683%,0,0,8517,787,27.0000010728836%,1008
097,Mayes County,355,11.6393442622951%,4,2,17423,2544,23.0000004172325%,3050
099,Murray County,63,6.65961945031713%,1,0,6479,1311,20.0000002980232%,946
101,Muskogee County,932,16.0523596279711%,21,6,29575,6966,31.0000002384186%,5806
103,Noble County,103,12.2037914691943%,1,0,5082,1372,20.0000002980232%,844
105,Nowata County,40,4.83675937122128%,0,0,4705,1391,20.9999993443489%,827
107,Okfuskee County,117,12.9281767955801%,1,0,5114,1554,33.0000013113022%,905
109,Oklahoma County,3395,5.92878473010495%,29,7,295020,49569,25%,57263
111,Okmulgee County,677,21.189358372457%,5,2,17316,5183,28.0000001192093%,3195
113,Osage County,56,1.73967070518795%,0,0,18826,4530,20.9999993443489%,3219
115,Ottawa County,801,30.5608546356353%,20,11,14842,4169,25.9999990463257%,2621
117,Pawnee County,52,4.2798353909465%,1,0,7464,1814,21.9999998807907%,1215
119,Payne County,433,10.2388271458974%,4,1,29326,5413,20.0000002980232%,4229
121,Pittsburg County,632,21.6142270861833%,7,0,21520,4491,27.0000010728836%,2924
123,Pontotoc County,214,8.29457364341085%,4,0,15575,3326,27.0000010728836%,2580
125,Pottawatomie County,389,7.09724502827951%,4,0,27302,5967,23.0000004172325%,5481
127,Pushmataha County,223,25.1977401129944%,3,0,5795,851,34.0000003576279%,885
129,Roger Mills County,,0%,,,1749,630,23.0000004172325%,231
