"CBLS County-level Summary Data for OK, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair County,1400,63.5999977588654%,3,0.214285714285714%,0,8348,1329,28.0000001192093%,2202
003,Alfalfa County,13,4.6000000089407%,0,0%,0,2832,1587,25.9999990463257%,285
005,Atoka County,170,16.5000006556511%,0,0%,0,5673,707,31.0000002384186%,1030
007,Beaver County,74,17.7000001072884%,0,0%,0,2719,927,18.0000007152557%,417
009,Beckham County,349,17.5999999046326%,0,0%,0,8796,2277,28.999999165535%,1979
011,Blaine County,37,4.10000011324883%,0,0%,0,5208,1553,28.0000001192093%,910
013,Bryan County,562,16.5999993681908%,1,0.177935943060498%,1,16715,2455,21.9999998807907%,3376
015,Caddo County,290,12.0999999344349%,0,0%,1,13096,3343,34.0000003576279%,2389
017,Canadian County,228,2.5000000372529%,1,0.43859649122807%,0,33969,3923,11.9999997317791%,9031
019,Carter County,366,8.90000015497208%,1,0.273224043715847%,0,20577,4627,25.9999990463257%,4114
021,Cherokee County,153,3.99999991059303%,0,0%,0,19499,1804,36.0000014305115%,3778
023,Choctaw County,301,23.199999332428%,2,0.664451827242525%,1,7539,1421,37.0000004768372%,1296
025,Cimarron County,61,38.6000007390976%,0,0%,0,1583,638,34.9999994039536%,158
027,Cleveland County,1303,7.40000009536743%,8,0.613967766692249%,0,84844,5133,11.9999997317791%,17691
029,Coal County,100,23.4999999403954%,0,0%,1,2744,702,27.0000010728836%,426
031,Comanche County,978,8.90000015497208%,2,0.204498977505112%,0,45416,5884,23.0000004172325%,10974
033,Cotton County,73,16.2000000476837%,1,1.36986301369863%,0,3085,949,28.0000001192093%,451
035,Craig County,25,2.30000000447035%,0,0%,1,6459,2045,18.9999997615814%,1104
037,Creek County,274,5.09999990463257%,1,0.364963503649635%,1,27986,4892,20.0000002980232%,5388
039,Custer County,290,12.3999997973442%,0,0%,0,11675,2290,25.9999990463257%,2331
041,Delaware County,63,2.19999998807907%,0,0%,0,22290,1813,31.0000002384186%,2837
043,Dewey County,26,7.59999975562096%,0,0%,0,2425,952,27.0000010728836%,344
045,Ellis County,6,1.89999993890524%,0,0%,0,2146,976,23.9999994635582%,316
047,Garfield County,93,1.7000000923872%,2,2.1505376344086%,2,26047,7339,23.0000004172325%,5458
049,Garvin County,270,12.2000001370907%,3,1.11111111111111%,0,12641,3064,20.0000002980232%,2221
051,Grady County,297,7.19999969005585%,0,0%,1,19444,4440,18.0000007152557%,4151
053,Grant County,7,2.80000008642673%,1,14.2857142857143%,0,2622,1271,28.999999165535%,254
055,Greer County,78,20.2999994158745%,0,0%,0,2788,1160,33.0000013113022%,384
057,Harmon County,96,42.5000011920929%,0,0%,0,1647,705,37.9999995231628%,226
059,Harper County,52,18.7000006437302%,0,0%,0,1863,789,18.9999997615814%,278
061,Haskell County,79,7.80000016093254%,0,0%,0,5573,877,20.0000002980232%,1018
063,Hughes County,219,21.4000001549721%,2,0.91324200913242%,2,6237,2116,28.999999165535%,1021
065,Jackson County,497,20.2000007033348%,7,1.40845070422535%,0,12377,2799,20.9999993443489%,2464
067,Jefferson County,93,18.8999995589256%,0,0%,0,3373,1043,23.9999994635582%,491
069,Johnston County,154,17.2999992966652%,1,0.649350649350649%,0,4782,763,33.0000013113022%,892
071,Kay County,158,3.90000008046627%,3,1.89873417721519%,1,21804,7454,28.999999165535%,4009
