"CBLS County-level Summary Data for OK, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair,1252,59.1682419659735%,2,0.159744408945687%,8348,1329,28.0000001192093%,2116
003,Alfalfa,13,4.02476780185759%,,0%,2832,1587,25.9999990463257%,323
005,Atoka,94,9.4%,,0%,5673,707,31.0000002384186%,1000
007,Beaver,51,12.085308056872%,,0%,2719,927,18.0000007152557%,422
009,Beckham,307,14.7951807228916%,,0%,8796,2277,28.999999165535%,2075
011,Blaine,21,2.13197969543147%,,0%,5208,1553,28.0000001192093%,985
013,Bryan,403,12.0550403828896%,,0%,16715,2455,21.9999998807907%,3343
015,Caddo,337,13.766339869281%,,0%,13096,3343,34.0000003576279%,2448
017,Canadian,373,3.96892955948074%,1,0.268096514745308%,33969,3923,11.9999997317791%,9398
019,Carter,458,10.7436077879428%,3,0.655021834061135%,20577,4627,25.9999990463257%,4263
021,Cherokee,406,10.7835325365206%,1,0.246305418719212%,19499,1804,36.0000014305115%,3765
023,Choctaw,210,16.3934426229508%,1,0.476190476190476%,7539,1421,37.0000004768372%,1281
025,Cimarron,20,9.80392156862745%,,0%,1583,638,34.9999994039536%,204
027,Cleveland,1313,7.34340044742729%,4,0.304645849200305%,84844,5133,11.9999997317791%,17880
029,Coal,53,11.1578947368421%,,0%,2744,702,27.0000010728836%,475
031,Comanche,837,7.5596098265896%,3,0.3584229390681%,45416,5884,23.0000004172325%,11072
033,Cotton,71,15.9550561797753%,,0%,3085,949,28.0000001192093%,445
035,Craig,46,4.13669064748201%,,0%,6459,2045,18.9999997615814%,1112
037,Creek,337,6.00391947265277%,2,0.593471810089021%,27986,4892,20.0000002980232%,5613
039,Custer,221,9.04995904995905%,1,0.452488687782805%,11675,2290,25.9999990463257%,2442
041,Delaware,150,5.33617929562433%,,0%,22290,1813,31.0000002384186%,2811
043,Dewey,14,3.85674931129477%,,0%,2425,952,27.0000010728836%,363
045,Ellis,17,5.34591194968554%,1,5.88235294117647%,2146,976,23.9999994635582%,318
047,Garfield,134,2.38901765020503%,3,2.23880597014925%,26047,7339,23.0000004172325%,5609
049,Garvin,219,9.74632843791722%,,0%,12641,3064,20.0000002980232%,2247
051,Grady,443,10.6746987951807%,3,0.677200902934537%,19444,4440,18.0000007152557%,4150
053,Grant,13,4.69314079422383%,,0%,2622,1271,28.999999165535%,277
055,Greer,92,22.2760290556901%,1,1.08695652173913%,2788,1160,33.0000013113022%,413
057,Harmon,56,20.2166064981949%,,0%,1647,705,37.9999995231628%,277
059,Harper,73,22.3241590214067%,,0%,1863,789,18.9999997615814%,327
061,Haskell,60,5.66037735849057%,,0%,5573,877,20.0000002980232%,1060
063,Hughes,121,11.0704483074108%,3,2.47933884297521%,6237,2116,28.999999165535%,1093
065,Jackson,459,18.508064516129%,3,0.65359477124183%,12377,2799,20.9999993443489%,2480
067,Jefferson,65,11.83970856102%,,0%,3373,1043,23.9999994635582%,549
069,Johnston,139,15.7596371882086%,,0%,4782,763,33.0000013113022%,882
071,Kay,718,17.1196948020982%,4,0.557103064066852%,21804,7454,28.999999165535%,4194
073,Kingfisher,129,10.0624024960998%,1,0.775193798449612%,5879,1468,18.9999997615814%,1282
075,Kiowa,108,15.9763313609467%,1,0.925925925925926%,5304,2290,27.0000010728836%,676
077,Latimer,44,5.92991913746631%,,0%,4709,721,38.9999985694885%,742
079,Le Flore,299,6.96482646168181%,1,0.334448160535117%,20142,3424,25.9999990463257%,4293
081,Lincoln,357,14.2231075697211%,,0%,13712,2994,21.9999998807907%,2510
083,Logan,257,8.33063209076175%,1,0.389105058365759%,13906,3290,15.9999996423721%,3085
085,Love,114,15.3225806451613%,,0%,4066,566,18.0000007152557%,744
087,McClain,251,8.96108532666905%,,0%,11189,1643,17.0000001788139%,2801
089,McCurtain,216,7.54189944134078%,,0%,15427,1945,37.0000004768372%,2864
091,McIntosh,147,10.4551920341394%,2,1.36054421768707%,12640,1089,28.0000001192093%,1406
093,Major,12,2.23463687150838%,,0%,3540,1105,25.9999990463257%,537
095,Marshall,243,18.6635944700461%,,0%,8517,787,27.0000010728836%,1302
097,Mayes,318,9.33098591549296%,2,0.628930817610063%,17423,2544,23.0000004172325%,3408
099,Murray,135,12.9434324065197%,2,1.48148148148148%,6479,1311,20.0000002980232%,1043
101,Muskogee,562,8.98912348048624%,9,1.60142348754448%,29575,6966,31.0000002384186%,6252
103,Noble,78,8.95522388059701%,,0%,5082,1372,20.0000002980232%,871
105,Nowata,31,4.05759162303665%,1,3.2258064516129%,4705,1391,20.9999993443489%,764
107,Okfuskee,122,14.3529411764706%,,0%,5114,1554,33.0000013113022%,850
109,Oklahoma,4696,6.59309802600174%,21,0.447189097103918%,295020,49569,25%,71226
111,Okmulgee,471,14.3860720830788%,2,0.424628450106157%,17316,5183,28.0000001192093%,3274
113,Osage,194,6.49698593436035%,1,0.515463917525773%,18826,4530,20.9999993443489%,2986
115,Ottawa,198,7.6066077602766%,3,1.51515151515152%,14842,4169,25.9999990463257%,2603
117,Pawnee,191,15.086887835703%,,0%,7464,1814,21.9999998807907%,1266
119,Payne,443,8.18400147792352%,1,0.225733634311512%,29326,5413,20.0000002980232%,5413
121,Pittsburg,408,11.7207698937087%,,0%,21520,4491,27.0000010728836%,3481
123,Pontotoc,281,8.68087735557615%,2,0.711743772241993%,15575,3326,27.0000010728836%,3237
125,Pottawatomie,564,9.84808800419068%,6,1.06382978723404%,27302,5967,23.0000004172325%,5727
127,Pushmataha,129,14.527027027027%,,0%,5795,851,34.0000003576279%,888
129,Roger Mills,25,7.69230769230769%,,0%,1749,630,23.0000004172325%,325
131,Rogers,236,3.68519675202998%,,0%,27476,2544,10.9999999403954%,6404
133,Seminole,319,14.5595618439069%,,0%,11146,3113,33.0000013113022%,2191
135,Sequoyah,263,8.18549642079054%,1,0.380228136882129%,16940,1484,27.0000010728836%,3213
137,Stephens,351,9.87341772151899%,,0%,19854,3509,23.9999994635582%,3555
139,Texas,233,9.87706655362442%,2,0.858369098712446%,8014,1717,20.0000002980232%,2359
141,Tillman,145,22.0700152207001%,,0%,4342,1872,37.9999995231628%,657
143,Tulsa,2770,4.80269089395936%,9,0.324909747292419%,243953,37585,18.0000007152557%,57676
145,Wagoner,180,3.1813361611877%,,0%,23174,1716,14.0000000596046%,5658
147,Washington,263,6.61302489313553%,2,0.760456273764259%,22250,5020,23.0000004172325%,3977
149,Washita,96,9.46745562130178%,,0%,5452,1754,25.9999990463257%,1014
151,Woods,33,5.63139931740614%,,0%,4492,1880,11.9999997317791%,586
153,Woodward,195,10.655737704918%,,0%,8341,1807,15.0000005960464%,1830
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Oklahoma 2009 Confirmed Cases,,106,,,,,,
