"CBLS County-level Summary Data for OR, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,1268,31,0,0%,0,,,
001,Baker County,35,5,1,2.8999999165535%,0,8402,3156,18.9999997615814%
003,Benton County,51,3,1,1.99999995529652%,0,31980,5033,14.0000000596046%
005,Clackamas Count,583,15,1,0.20000000949949%,0,136954,18830,10.0000001490116%
007,Clatsop County,114,4,0,0%,0,19685,7463,23.0000004172325%
009,Columbia County,165,3,0,0%,0,17572,4339,15.0000005960464%
011,Coos County,301,7,0,0%,0,29247,6689,25%
013,Crook County,5,.,0,0%,0,8264,1108,18.0000007152557%
015,Curry County,28,.,0,0%,0,11406,885,11.9999997317791%
017,Deschutes Count,53,1,0,0%,0,54583,4102,10.9999999403954%
019,Douglas County,149,2,0,0%,0,43284,7800,21.9999998807907%
021,Gilliam County,n,n,n,n,n,1043,497,14.0000000596046%
023,Grant County,n,n,n,n,n,4004,1171,18.0000007152557%
027,Hood River Coun,57,.,0,0%,0,7818,2176,21.9999998807907%
029,Jackson County,81,3,0,0%,1,75737,11306,20.0000002980232%
031,Jefferson Count,101,5,0,0%,0,8319,517,25%
033,Josephine Count,72,2,0,0%,0,33239,4478,27.0000010728836%
035,Klamath County,27,1,0,0%,0,28883,7659,25.9999990463257%
037,Lake County,n,n,n,n,n,3999,1103,23.9999994635582%
039,Lane County,438,7,2,0.499999988824129%,1,138946,22595,20.0000002980232%
041,Lincoln County,50,.,0,0%,0,26889,4457,23.0000004172325%
043,Linn County,94,1,0,0%,1,42521,8691,18.0000007152557%
045,Malheur County,527,47,3,0.600000005215406%,0,11233,2757,28.0000001192093%
047,Marion County,1208,17,4,0.300000002607703%,2,108174,17026,21.9999998807907%
049,Morrow County,6,.,0,0%,0,4276,806,23.0000004172325%
051,Multnomah Count,5551,129,12,0.20000000949949%,4,288561,112407,17.0000001788139%
053,Polk County,228,2,0,0%,0,24461,4467,17.0000001788139%
055,Sherman County,6,.,0,0%,0,935,377,18.0000007152557%
057,Tillamook Count,171,3,1,0.600000005215406%,0,15906,3801,20.0000002980232%
059,Umatilla County,209,1,1,0.499999988824129%,0,27676,6978,20.0000002980232%
061,Union County,356,16,0,0%,0,10603,3864,18.9999997615814%
063,Wallowa County,6,.,0,0%,0,3900,1413,28.0000001192093%
065,Wasco County,95,2,0,0%,0,10651,2990,20.0000002980232%
067,Washington Coun,1432,29,3,0.20000000949949%,1,178913,11239,9.00000035762787%
071,Yamhill County,225,4,0,0%,0,30270,5937,11.9999997317791%
,,,,,,,,,
"* Based on most recent five years of data, 2008-2012",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
