"CBLS County-level Summary Data for OR, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Baker County,,0%,,,8402,3156,18.9999997615814%,1154
003,Benton County,17,0.364259695736019%,0,0,31980,5033,14.0000000596046%,4667
005,Clackamas County,473,1.80548133445301%,0,0,136954,18830,10.0000001490116%,26198
007,Clatsop County,25,1.04733975701718%,0,0,19685,7463,23.0000004172325%,2387
009,Columbia County,51,1.46131805157593%,0,0,17572,4339,15.0000005960464%,3490
011,Coos County,46,1.27529803160521%,0,0,29247,6689,25%,3607
013,Crook County,15,1.00536193029491%,0,0,8264,1108,18.0000007152557%,1492
015,Curry County,8,0.803212851405622%,0,0,11406,885,11.9999997317791%,996
017,Deschutes County,40,0.472255017709563%,0,0,54583,4102,10.9999999403954%,8470
019,Douglas County,72,1.06304444116344%,0,0,43284,7800,21.9999998807907%,6773
023,Grant County,,0%,,,4004,1171,18.0000007152557%,600
025,Harney County,,0%,,,3533,948,14.0000000596046%,573
027,Hood River County,15,0.840336134453782%,0,0,7818,2176,21.9999998807907%,1785
029,Jackson County,109,0.822579427967701%,0,1,75737,11306,20.0000002980232%,13251
031,Jefferson County,,0%,,,8319,517,25%,1761
033,Josephine County,70,1.4504765851637%,0,0,33239,4478,27.0000010728836%,4826
035,Klamath County,62,1.23309466984885%,0,0,28883,7659,25.9999990463257%,5028
037,Lake County,,0%,,,3999,1103,23.9999994635582%,469
039,Lane County,616,2.77352543899145%,0,0,138946,22595,20.0000002980232%,22210
041,Lincoln County,7,0.27461749705767%,0,0,26889,4457,23.0000004172325%,2549
043,Linn County,22,0.26281208935611%,0,2,42521,8691,18.0000007152557%,8371
045,Malheur County,67,2.36164962989073%,0,0,11233,2757,28.0000001192093%,2837
047,Marion County,720,2.7404559814258%,3,0,108174,17026,21.9999998807907%,26273
049,Morrow County,24,2.12389380530973%,0,0,4276,806,23.0000004172325%,1130
051,Multnomah County,4287,8.60169746584%,19,9,288561,112407,17.0000001788139%,49839
053,Polk County,91,1.85373803218578%,1,0,24461,4467,17.0000001788139%,4909
055,Sherman County,,0%,,,935,377,18.0000007152557%,120
057,Tillamook County,142,9.29319371727749%,0,0,15906,3801,20.0000002980232%,1528
059,Umatilla County,232,3.71973705307039%,0,1,27676,6978,20.0000002980232%,6237
061,Union County,,0%,,,10603,3864,18.9999997615814%,1789
063,Wallowa County,,0%,,,3900,1413,28.0000001192093%,400
065,Wasco County,62,3.22412896515861%,1,0,10651,2990,20.0000002980232%,1923
067,Washington County,481,1.1446385226786%,6,0,178913,11239,9.00000035762787%,42022
069,Wheeler County,,0%,,,842,338,25%,81
071,Yamhill County,128,1.80944303081708%,2,1,30270,5937,11.9999997317791%,7074
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Oregon Total Confirmed Cases 2005,,63,,,,,,,
