"CBLS County-level Summary Data for OR, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Baker County,,,,,,8402,3156,18.9999997615814%,938
003,Benton County,22,0.499999988824129%,1,4.54545454545455%,0,31980,5033,14.0000000596046%,4711
005,Clackamas County,537,2.09999997168779%,5,0.931098696461825%,1,136954,18830,10.0000001490116%,25320
007,Clatsop County,34,1.40000004321337%,0,0%,0,19685,7463,23.0000004172325%,2428
009,Columbia County,75,2.30000000447035%,0,0%,0,17572,4339,15.0000005960464%,3210
011,Coos County,91,2.40000002086163%,1,1.0989010989011%,0,29247,6689,25%,3867
013,Crook County,22,1.40000004321337%,2,9.09090909090909%,0,8264,1108,18.0000007152557%,1536
015,Curry County,7,0.700000021606684%,0,0%,0,11406,885,11.9999997317791%,1009
017,Deschutes County,30,0.300000002607703%,0,0%,0,54583,4102,10.9999999403954%,10242
019,Douglas County,75,1.09999999403954%,0,0%,0,43284,7800,21.9999998807907%,6628
023,Grant County,,,,,,4004,1171,18.0000007152557%,413
025,Harney County,,,,,,3533,948,14.0000000596046%,433
027,Hood River County,47,2.40000002086163%,0,0%,0,7818,2176,21.9999998807907%,1925
029,Jackson County,109,0.800000037997961%,1,0.91743119266055%,1,75737,11306,20.0000002980232%,13033
031,Jefferson County,27,1.49999996647239%,0,0%,0,8319,517,25%,1845
033,Josephine County,97,1.99999995529652%,1,1.03092783505155%,0,33239,4478,27.0000010728836%,4862
035,Klamath County,74,1.60000007599592%,1,1.35135135135135%,0,28883,7659,25.9999990463257%,4726
037,Lake County,,,,,,3999,1103,23.9999994635582%,397
039,Lane County,499,2.30000000447035%,2,0.400801603206413%,0,138946,22595,20.0000002980232%,21597
041,Lincoln County,10,0.400000018998981%,0,0%,0,26889,4457,23.0000004172325%,2726
043,Linn County,34,0.400000018998981%,1,2.94117647058823%,1,42521,8691,18.0000007152557%,8471
045,Malheur County,87,3.20000015199184%,0,0%,0,11233,2757,28.0000001192093%,2746
047,Marion County,1205,4.39999997615814%,3,0.24896265560166%,1,108174,17026,21.9999998807907%,27664
049,Morrow County,29,2.70000007003546%,0,0%,0,4276,806,23.0000004172325%,1059
051,Multnomah County,4855,8.79999995231628%,35,0.720906282183316%,8,288561,112407,17.0000001788139%,54914
053,Polk County,146,2.8999999165535%,0,0%,0,24461,4467,17.0000001788139%,4980
055,Sherman County,,,,,,935,377,18.0000007152557%,93
057,Tillamook County,178,11.2000003457069%,0,0%,0,15906,3801,20.0000002980232%,1595
059,Umatilla County,227,3.50000001490116%,1,0.440528634361234%,1,27676,6978,20.0000002980232%,6444
061,Union County,,,,,,10603,3864,18.9999997615814%,1730
065,Wasco County,68,4.10000011324883%,3,4.41176470588235%,0,10651,2990,20.0000002980232%,1678
067,Washington County,694,1.49999996647239%,6,0.864553314121038%,1,178913,11239,9.00000035762787%,46103
071,Yamhill County,146,1.99999995529652%,2,1.36986301369863%,1,30270,5937,11.9999997317791%,7205
999,Unknown,2868,,0,0%,0,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Oregon Total Confirmed Cases 2006,,65,,,,,,,,
