"CBLS County-level Summary Data for OR, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
003,Benton County,15,0.300000002607703%,0,0%,0,31980,5033,14.0000000596046%,4667
005,Clackamas County,470,1.89999993890524%,3,0.638297872340425%,1,136954,18830,10.0000001490116%,25028
007,Clatsop County,22,0.899999961256981%,1,4.54545454545455%,0,19685,7463,23.0000004172325%,2428
009,Columbia County,78,2.40000002086163%,0,0%,0,17572,4339,15.0000005960464%,3305
011,Coos County,103,2.70000007003546%,0,0%,0,29247,6689,25%,3766
013,Crook County,25,1.60000007599592%,2,8%,0,8264,1108,18.0000007152557%,1543
015,Curry County,16,1.79999992251396%,0,0%,0,11406,885,11.9999997317791%,899
017,Deschutes County,30,0.300000002607703%,0,0%,0,54583,4102,10.9999999403954%,11361
019,Douglas County,53,0.800000037997961%,0,0%,0,43284,7800,21.9999998807907%,6557
023,Grant County,n,,n,#VALUE!,n,4004,1171,18.0000007152557%,357
027,Hood River County,14,0.700000021606684%,0,0%,0,7818,2176,21.9999998807907%,1872
029,Jackson County,70,0.499999988824129%,0,0%,1,75737,11306,20.0000002980232%,13300
031,Jefferson County,12,0.600000005215406%,0,0%,0,8319,517,25%,1902
033,Josephine County,76,1.49999996647239%,1,1.31578947368421%,0,33239,4478,27.0000010728836%,4919
035,Klamath County,62,1.30000002682209%,0,0%,0,28883,7659,25.9999990463257%,4824
037,Lake County,n,,n,#VALUE!,n,3999,1103,23.9999994635582%,425
039,Lane County,491,2.30000000447035%,1,0.203665987780041%,0,138946,22595,20.0000002980232%,21819
041,Lincoln County,9,0.300000002607703%,0,0%,0,26889,4457,23.0000004172325%,2725
043,Linn County,44,0.499999988824129%,1,2.27272727272727%,1,42521,8691,18.0000007152557%,8693
045,Malheur County,80,2.99999993294477%,3,3.75%,0,11233,2757,28.0000001192093%,2664
047,Marion County,925,3.29999998211861%,2,0.216216216216216%,1,108174,17026,21.9999998807907%,28174
049,Morrow County,12,1.20000001043081%,0,0%,0,4276,806,23.0000004172325%,979
051,Multnomah County,4352,7.59999975562096%,18,0.413602941176471%,5,288561,112407,17.0000001788139%,57546
053,Polk County,93,1.7000000923872%,0,0%,0,24461,4467,17.0000001788139%,5331
055,Sherman County,n,,n,#VALUE!,n,935,377,18.0000007152557%,92
057,Tillamook County,184,11.4000000059605%,0,0%,0,15906,3801,20.0000002980232%,1616
059,Umatilla County,112,1.7000000923872%,0,0%,1,27676,6978,20.0000002980232%,6410
061,Union County,n,,n,#VALUE!,n,10603,3864,18.9999997615814%,1795
063,Wallowa County,n,,n,#VALUE!,n,3900,1413,28.0000001192093%,367
065,Wasco County,43,2.5000000372529%,1,2.32558139534884%,0,10651,2990,20.0000002980232%,1718
067,Washington County,616,1.30000002682209%,3,0.487012987012987%,1,178913,11239,9.00000035762787%,46833
071,Yamhill County,111,1.49999996647239%,3,2.7027027027027%,2,30270,5937,11.9999997317791%,7482
999,Unknown,2434,,0,0%,0,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Oregon Confirmed Cases 2007,,39,,,,,,,
