"CBLS County-level Summary Data for OR, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Baker,4,0.385356454720617%,1,25%,8402,3156,18.9999997615814%,1038
003,Benton,19,0.38391594261467%,,0%,31980,5033,14.0000000596046%,4949
005,Clackamas,411,1.55758517451775%,,0%,136954,18830,10.0000001490116%,26387
007,Clatsop,10,0.388500388500388%,,0%,19685,7463,23.0000004172325%,2574
009,Columbia,99,3.04054054054054%,2,2.02020202020202%,17572,4339,15.0000005960464%,3256
011,Coos,135,3.44915687276444%,,0%,29247,6689,25%,3914
013,Crook,7,0.47074646940148%,,0%,8264,1108,18.0000007152557%,1487
015,Curry,19,2.06297502714441%,,0%,11406,885,11.9999997317791%,921
017,Deschutes,14,0.11558784676354%,,0%,54583,4102,10.9999999403954%,12112
019,Douglas,42,0.615114235500879%,,0%,43284,7800,21.9999998807907%,6828
021,Gilliam,1,1.05263157894737%,,0%,1043,497,14.0000000596046%,95
027,Hood River,20,1.01626016260163%,,0%,7818,2176,21.9999998807907%,1968
029,Jackson,52,0.363865369813169%,,0%,75737,11306,20.0000002980232%,14291
031,Jefferson,90,4.64156781846313%,,0%,8319,517,25%,1939
033,Josephine,62,1.1875119708868%,,0%,33239,4478,27.0000010728836%,5221
035,Klamath,43,0.861550791424564%,,0%,28883,7659,25.9999990463257%,4991
039,Lane,341,1.49071038251366%,,0%,3999,1103,23.9999994635582%,22875
041,Lincoln,3,0.105042016806723%,,0%,138946,22595,20.0000002980232%,2856
043,Linn,30,0.326477309826967%,1,3.33333333333333%,26889,4457,23.0000004172325%,9189
045,Malheur,22,0.82089552238806%,,0%,42521,8691,18.0000007152557%,2680
047,Marion,668,2.20636808032765%,2,0.29940119760479%,11233,2757,28.0000001192093%,30276
049,Morrow,8,0.834202294056309%,,0%,108174,17026,21.9999998807907%,959
051,Multnomah,2920,4.89259743306189%,8,0.273972602739726%,4276,806,23.0000004172325%,59682
053,Polk,73,1.29754710273729%,,0%,288561,112407,17.0000001788139%,5626
055,Sherman,3,3.09278350515464%,,0%,24461,4467,17.0000001788139%,97
057,Tillamook,164,9.72139893301719%,,0%,935,377,18.0000007152557%,1687
059,Umatilla,72,1.14322006986345%,,0%,15906,3801,20.0000002980232%,6298
061,Union,181,9.22058074375955%,,0%,27676,6978,20.0000002980232%,1963
063,Wallowa,5,1.26582278481013%,1,20%,10603,3864,18.9999997615814%,395
065,Wasco,42,2.25685115529285%,,0%,3900,1413,28.0000001192093%,1861
067,Washington,472,0.985016069118077%,1,0.211864406779661%,10651,2990,20.0000002980232%,47918
071,Yamhill,76,0.942694120565617%,,0%,178913,11239,9.00000035762787%,8062
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Oregon 2009 Confirmed Cases,,16,,,,,,
