"CBLS County-level Summary Data for PA, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,1324,83,16,1.20000001043081%,7,,,
001,Adams County,705,50,14,1.99999995529652%,11,35831,10986,10.9999999403954%
003,Allegheny Count,12082,870,188,1.60000007599592%,122,583646,265497,17.0000001788139%
005,Armstrong Count,689,66,15,2.19999998807907%,5,32387,14906,18.0000007152557%
007,Beaver County,1503,142,21,1.40000004321337%,16,77765,32842,15.9999996423721%
009,Bedford County,379,31,2,0.499999988824129%,4,23529,8664,12.9999995231628%
011,Berks County,4604,559,111,2.40000002086163%,80,150222,61296,14.0000000596046%
013,Blair County,1035,128,37,3.59999984502792%,20,55061,27186,20.0000002980232%
015,Bradford County,488,37,6,1.20000001043081%,0,28664,12166,18.0000007152557%
017,Bucks County,3197,52,9,0.300000002607703%,3,225498,37778,5.00000007450581%
019,Butler County,1126,48,13,1.20000001043081%,4,69868,18841,10.0000001490116%
021,Cambria County,1090,103,39,3.59999984502792%,13,65796,33943,20.9999993443489%
023,Cameron County,53,1,1,1.89999993890524%,1,4592,1991,11.9999997317791%
025,Carbon County,512,43,7,1.40000004321337%,7,30492,13953,17.0000001788139%
027,Centre County,719,16,6,0.800000037997961%,1,53161,12169,12.9999995231628%
029,Chester County,2945,121,26,0.899999961256981%,18,163773,33584,5.00000007450581%
031,Clarion County,341,19,6,1.79999992251396%,1,19426,7675,20.9999993443489%
033,Clearfield Coun,809,56,8,0.999999977648258%,3,37855,16832,20.9999993443489%
035,Clinton County,338,25,1,0.300000002607703%,2,18166,7049,21.9999998807907%
037,Columbia County,410,26,1,0.20000000949949%,1,27733,11920,14.0000000596046%
039,Crawford County,623,68,12,1.89999993890524%,8,42416,17177,20.9999993443489%
041,Cumberland Coun,960,92,11,1.09999999403954%,9,86951,22172,9.00000035762787%
043,Dauphin County,2719,355,116,4.30000014603138%,93,111133,35305,15.9999996423721%
045,Delaware County,6709,391,94,1.40000004321337%,67,216978,88980,10.9999999403954%
047,Elk County,275,14,1,0.400000018998981%,1,18115,7600,11.9999997317791%
049,Erie County,3896,369,96,2.5000000372529%,69,114322,45053,18.0000007152557%
051,Fayette County,1450,50,10,0.700000021606684%,2,66490,31790,27.0000010728836%
053,Forest County,29,5,0,0%,0,8701,2411,20.0000002980232%
055,Franklin County,1329,75,26,1.99999995529652%,20,53803,16822,10.9999999403954%
057,Fulton County,140,5,2,1.40000004321337%,1,6790,2093,18.0000007152557%
059,Greene County,386,20,4,0.999999977648258%,2,16678,7705,27.0000010728836%
061,Huntingdon Coun,403,30,6,1.49999996647239%,3,21058,8160,15.0000005960464%
063,Indiana County,788,73,12,1.49999996647239%,5,37250,13518,21.9999998807907%
065,Jefferson Count,425,37,3,0.700000021606684%,5,22104,10208,20.0000002980232%
067,Juniata County,213,14,3,1.40000004321337%,2,10031,3532,14.0000000596046%
069,Lackawanna Coun,1783,148,41,2.30000000447035%,33,95362,53958,15.0000005960464%
071,Lancaster Count,3391,252,47,1.40000004321337%,41,179990,56775,11.9999997317791%
073,Lawrence County,488,20,3,0.600000005215406%,3,39635,18719,20.9999993443489%
075,Lebanon County,1052,99,19,1.79999992251396%,17,49320,19336,14.0000000596046%
077,Lehigh County,3429,286,56,1.60000007599592%,42,128910,46673,15.9999996423721%
079,Luzerne County,3077,217,43,1.40000004321337%,23,144686,77653,18.0000007152557%
081,Lycoming County,890,72,14,1.60000007599592%,9,52464,23253,18.0000007152557%
083,Mc Kean County,574,54,15,2.60000005364418%,8,21644,11696,20.9999993443489%
085,Mercer County,957,54,12,1.30000002682209%,1,49859,21076,20.0000002980232%
087,Mifflin County,404,18,1,0.20000000949949%,0,20745,8990,18.9999997615814%
089,Monroe County,1023,34,2,0.20000000949949%,6,67581,9432,10.0000001490116%
091,Montgomery Coun,6591,281,34,0.499999988824129%,32,297434,85670,3.99999991059303%
093,Montour County,110,8,0,0%,0,7627,2840,15.0000005960464%
095,Northampton Cou,2317,162,31,1.30000002682209%,22,106710,42524,10.9999999403954%
097,Northumberland,791,59,14,1.79999992251396%,6,43164,25032,18.0000007152557%
099,Perry County,374,25,5,1.30000002682209%,3,18941,6188,10.9999999403954%
101,Philadelphia Co,35295,3378,534,1.49999996647239%,319,661958,386382,31.9999992847443%
103,Pike County,484,13,0,0%,1,34681,3662,9.00000035762787%
