"CBLS County-level Summary Data for PA, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,2364,133,33,1.40000004321337%,3,,,
001,Adams County,957,64,14,1.49999996647239%,10,35831,10986,10.9999999403954%
003,Allegheny Count,13670,797,159,1.20000001043081%,86,583646,265497,17.0000001788139%
005,Armstrong Count,854,56,14,1.60000007599592%,7,32387,14906,18.0000007152557%
007,Beaver County,1598,113,29,1.79999992251396%,14,77765,32842,15.9999996423721%
009,Bedford County,551,46,12,2.19999998807907%,2,23529,8664,12.9999995231628%
011,Berks County,4073,436,52,1.30000002682209%,52,150222,61296,14.0000000596046%
013,Blair County,1420,156,49,3.50000001490116%,14,55061,27186,20.0000002980232%
015,Bradford County,341,21,6,1.79999992251396%,1,28664,12166,18.0000007152557%
017,Bucks County,3505,60,11,0.300000002607703%,3,225498,37778,5.00000007450581%
019,Butler County,1231,48,10,0.800000037997961%,3,69868,18841,10.0000001490116%
021,Cambria County,1212,127,31,2.60000005364418%,15,65796,33943,20.9999993443489%
023,Cameron County,63,3,1,1.60000007599592%,0,4592,1991,11.9999997317791%
025,Carbon County,422,22,5,1.20000001043081%,4,30492,13953,17.0000001788139%
027,Centre County,808,19,4,0.499999988824129%,1,53161,12169,12.9999995231628%
029,Chester County,4300,227,35,0.800000037997961%,21,163773,33584,5.00000007450581%
031,Clarion County,331,23,3,0.899999961256981%,1,19426,7675,20.9999993443489%
033,Clearfield Coun,850,48,10,1.20000001043081%,3,37855,16832,20.9999993443489%
035,Clinton County,363,24,4,1.09999999403954%,1,18166,7049,21.9999998807907%
037,Columbia County,403,24,5,1.20000001043081%,1,27733,11920,14.0000000596046%
039,Crawford County,686,63,19,2.80000008642673%,5,42416,17177,20.9999993443489%
041,Cumberland Coun,1040,67,15,1.40000004321337%,6,86951,22172,9.00000035762787%
043,Dauphin County,3290,315,63,1.89999993890524%,62,111133,35305,15.9999996423721%
045,Delaware County,7654,436,52,0.700000021606684%,34,216978,88980,10.9999999403954%
047,Elk County,344,14,3,0.899999961256981%,1,18115,7600,11.9999997317791%
049,Erie County,3786,320,83,2.19999998807907%,36,114322,45053,18.0000007152557%
051,Fayette County,1424,46,10,0.700000021606684%,1,66490,31790,27.0000010728836%
053,Forest County,28,2,0,0%,0,8701,2411,20.0000002980232%
055,Franklin County,1246,75,27,2.19999998807907%,14,53803,16822,10.9999999403954%
057,Fulton County,132,6,2,1.49999996647239%,1,6790,2093,18.0000007152557%
059,Greene County,246,10,0,0%,0,16678,7705,27.0000010728836%
061,Huntingdon Coun,476,28,8,1.7000000923872%,1,21058,8160,15.0000005960464%
063,Indiana County,742,67,11,1.49999996647239%,4,37250,13518,21.9999998807907%
