"CBLS County-level Summary Data for PA, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,617,9.39260161363982%,10,1,35831,10986,10.9999999403954%,6569
003,Allegheny County,7467,8.63127232375074%,190,34,583646,265497,17.0000001788139%,86511
005,Armstrong County,340,7.08924103419516%,3,0,32387,14906,18.0000007152557%,4796
007,Beaver County,941,7.81626380928649%,22,2,77765,32842,15.9999996423721%,12039
009,Bedford County,310,8.45377692937006%,3,1,23529,8664,12.9999995231628%,3667
011,Berks County,3149,11.3135014730186%,135,46,150222,61296,14.0000000596046%,27834
013,Blair County,1360,15.4370034052213%,104,16,55061,27186,20.0000002980232%,8810
015,Bradford County,381,8.30246241011113%,10,6,28664,12166,18.0000007152557%,4589
017,Bucks County,1081,2.30112608297678%,5,3,225498,37778,5.00000007450581%,46977
019,Butler County,928,6.91711389385808%,19,3,69868,18841,10.0000001490116%,13416
021,Cambria County,739,7.77731003999158%,14,2,65796,33943,20.9999993443489%,9502
023,Cameron County,24,6.2992125984252%,0,0,4592,1991,11.9999997317791%,381
025,Carbon County,309,8.29752953813104%,11,3,30492,13953,17.0000001788139%,3724
027,Centre County,484,6.3177130922856%,9,1,53161,12169,12.9999995231628%,7661
029,Chester County,908,2.5904370649321%,19,6,163773,33584,5.00000007450581%,35052
031,Clarion County,244,8.92791803878522%,2,0,19426,7675,20.9999993443489%,2733
033,Clearfield County,776,14.022406938923%,5,0,37855,16832,20.9999993443489%,5534
035,Clinton County,357,14.2742902838864%,9,0,18166,7049,21.9999998807907%,2501
037,Columbia County,372,9.53357252690928%,10,1,27733,11920,14.0000000596046%,3902
039,Crawford County,600,9.12408759124088%,25,4,42416,17177,20.9999993443489%,6576
041,Cumberland County,797,5.60123691053482%,20,4,86951,22172,9.00000035762787%,14229
043,Dauphin County,2794,15.4100711488611%,142,61,111133,35305,15.9999996423721%,18131
045,Delaware County,3071,7.32061978545888%,110,55,216978,88980,10.9999999403954%,41950
047,Elk County,187,7.61710794297352%,3,0,18115,7600,11.9999997317791%,2455
049,Erie County,3706,17.5274309496784%,115,14,114322,45053,18.0000007152557%,21144
051,Fayette County,689,6.84414423363465%,22,2,66490,31790,27.0000010728836%,10067
053,Forest County,24,11.4832535885167%,0,0,8701,2411,20.0000002980232%,209
055,Franklin County,759,7.68996960486322%,9,3,53803,16822,10.9999999403954%,9870
057,Fulton County,68,6.08773500447628%,0,0,6790,2093,18.0000007152557%,1117
059,Greene County,244,9.40994986502121%,2,1,16678,7705,27.0000010728836%,2593
061,Huntingdon County,370,12.6929674099485%,13,1,21058,8160,15.0000005960464%,2915
063,Indiana County,516,9.6%,22,5,37250,13518,21.9999998807907%,5375
065,Jefferson County,319,10.1949504634068%,2,0,22104,10208,20.0000002980232%,3129
067,Juniata County,109,6.0387811634349%,1,1,10031,3532,14.0000000596046%,1805
069,Lackawanna County,1433,10.7574506418437%,34,15,95362,53958,15.0000005960464%,13321
071,Lancaster County,2432,6.11085984220313%,74,36,179990,56775,11.9999997317791%,39798
073,Lawrence County,365,5.63010951719883%,2,0,39635,18719,20.9999993443489%,6483
075,Lebanon County,860,9.70326074692542%,21,2,49320,19336,14.0000000596046%,8863
077,Lehigh County,2245,9.91651574716198%,78,18,128910,46673,15.9999996423721%,22639
079,Luzerne County,1673,8.59933179131329%,64,7,144686,77653,18.0000007152557%,19455
081,Lycoming County,794,9.79642196175201%,32,12,52464,23253,18.0000007152557%,8105
083,Mc Kean County,574,18.4684684684685%,9,2,21644,11696,20.9999993443489%,3108
085,Mercer County,483,5.99553128103277%,3,2,49859,21076,20.0000002980232%,8056
087,Mifflin County,382,10.8184650240725%,6,0,20745,8990,18.9999997615814%,3531
089,Monroe County,444,4.23664122137405%,1,0,67581,9432,10.0000001490116%,10480
091,Montgomery County,2290,4.02057692645329%,34,26,297434,85670,3.99999991059303%,56957
093,Montour County,84,6.88524590163935%,2,0,7627,2840,15.0000005960464%,1220
095,Northampton County,1250,6.81124673060157%,15,8,106710,42524,10.9999999403954%,18352
097,Northumberland County,561,9.51492537313433%,25,4,43164,25032,18.0000007152557%,5896
099,Perry County,198,6.03106914407554%,5,1,18941,6188,10.9999999403954%,3283
101,Philadelphia County,38373,32.3290787312018%,3206,963,661958,386382,31.9999992847443%,118695
103,Pike County,213,6.42533936651584%,1,0,34681,3662,9.00000035762787%,3315
105,Potter County,241,17.5145348837209%,1,0,12159,4868,21.9999998807907%,1376
107,Schuylkill County,671,7.55630630630631%,54,9,67806,41921,12.9999995231628%,8880
109,Snyder County,244,9.59119496855346%,11,1,14890,5284,12.9999995231628%,2544
111,Somerset County,290,5.61036951054363%,6,2,37163,15926,20.0000002980232%,5169
113,Sullivan County,27,8.08383233532934%,1,0,6017,2507,14.0000000596046%,334
115,Susquehanna County,201,6.89773507206589%,1,2,21829,8496,15.9999996423721%,2914
117,Tioga County,151,5.54943035648659%,3,0,19893,8072,18.0000007152557%,2721
119,Union County,380,16.0405234276066%,10,2,14684,5089,7.99999982118607%,2369
121,Venango County,480,12.0815504656431%,26,6,26904,12769,27.0000010728836%,3973
123,Warren County,291,9.81781376518219%,8,3,23058,10043,15.9999996423721%,2964
125,Washington County,707,5.10985834056086%,32,3,87267,36963,15.0000005960464%,13836
127,Wayne County,395,12.0758177927239%,0,0,30593,7741,15.9999996423721%,3271
129,Westmoreland County,1276,5.47075973246441%,23,4,161058,58298,12.9999995231628%,23324
131,Wyoming County,79,3.97184514831574%,1,1,12713,4561,17.0000001788139%,1989
133,York County,2669,9.43042894495089%,168,47,156720,49221,9.00000035762787%,28302
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Pennsylvania Total Confirmed Cases 2005,,4918,,,,,,,
