"CBLS County-level Summary Data for PA, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,801,11.9000002741814%,19,2.37203495630462%,4,35831,10986,10.9999999403954%,6714
003,Allegheny County,9177,11.4000000059605%,266,2.89855072463768%,72,583646,265497,17.0000001788139%,80204
005,Armstrong County,409,9.7000002861023%,6,1.46699266503668%,0,32387,14906,18.0000007152557%,4223
007,Beaver County,1035,9.49999988079071%,36,3.47826086956522%,10,77765,32842,15.9999996423721%,10839
009,Bedford County,406,12.8000006079674%,2,0.492610837438424%,0,23529,8664,12.9999995231628%,3170
011,Berks County,4851,16.4000004529953%,184,3.79303236446094%,61,150222,61296,14.0000000596046%,29651
013,Blair County,1511,17.399999499321%,137,9.06684315023164%,44,55061,27186,20.0000002980232%,8663
015,Bradford County,356,7.90000036358833%,13,3.65168539325843%,6,28664,12166,18.0000007152557%,4480
017,Bucks County,1587,3.70000004768372%,8,0.504095778197858%,2,225498,37778,5.00000007450581%,42690
019,Butler County,966,7.69999995827675%,36,3.72670807453416%,6,69868,18841,10.0000001490116%,12622
021,Cambria County,1020,11.4000000059605%,19,1.86274509803922%,7,65796,33943,20.9999993443489%,8960
023,Cameron County,46,13.7999996542931%,0,0%,0,4592,1991,11.9999997317791%,333
025,Carbon County,394,10.4000002145767%,10,2.53807106598985%,3,30492,13953,17.0000001788139%,3788
027,Centre County,639,8.50000008940697%,5,0.782472613458529%,1,53161,12169,12.9999995231628%,7508
029,Chester County,1501,4.10000011324883%,36,2.39840106595603%,12,163773,33584,5.00000007450581%,36817
031,Clarion County,312,13.1999999284744%,0,0%,0,19426,7675,20.9999993443489%,2363
033,Clearfield County,879,18.0000007152557%,13,1.47895335608646%,1,37855,16832,20.9999993443489%,4890
035,Clinton County,352,14.1000002622604%,10,2.84090909090909%,1,18166,7049,21.9999998807907%,2494
037,Columbia County,438,11.9000002741814%,16,3.65296803652968%,2,27733,11920,14.0000000596046%,3687
039,Crawford County,771,12.5%,41,5.3177691309987%,10,42416,17177,20.9999993443489%,6192
041,Cumberland County,810,5.79999983310699%,22,2.71604938271605%,6,86951,22172,9.00000035762787%,14072
043,Dauphin County,3542,18.4000000357628%,177,4.99717673630717%,65,111133,35305,15.9999996423721%,19273
045,Delaware County,4110,10.0000001490116%,126,3.06569343065693%,60,216978,88980,10.9999999403954%,41253
047,Elk County,244,12.5%,2,0.819672131147541%,0,18115,7600,11.9999997317791%,1959
049,Erie County,4280,21.4000001549721%,191,4.46261682242991%,39,114322,45053,18.0000007152557%,20000
051,Fayette County,822,9.20000001788139%,23,2.79805352798054%,5,66490,31790,27.0000010728836%,8954
053,Forest County,33,15.6000003218651%,2,6.06060606060606%,0,8701,2411,20.0000002980232%,212
055,Franklin County,1319,12.9999995231628%,15,1.13722517058378%,4,53803,16822,10.9999999403954%,10136
057,Fulton County,129,12.8000006079674%,3,2.32558139534884%,0,6790,2093,18.0000007152557%,1007
059,Greene County,286,11.599999666214%,12,4.1958041958042%,3,16678,7705,27.0000010728836%,2474
061,Huntingdon County,414,15.3999999165535%,11,2.65700483091787%,6,21058,8160,15.0000005960464%,2685
063,Indiana County,631,12.3000003397465%,31,4.91283676703645%,11,37250,13518,21.9999998807907%,5149
065,Jefferson County,422,14.1000002622604%,5,1.18483412322275%,0,22104,10208,20.0000002980232%,2984
067,Juniata County,189,10.4999996721745%,4,2.11640211640212%,1,10031,3532,14.0000000596046%,1797
069,Lackawanna County,1942,14.6999999880791%,28,1.44181256436663%,23,95362,53958,15.0000005960464%,13251
071,Lancaster County,2705,6.70000016689301%,68,2.51386321626617%,30,179990,56775,11.9999997317791%,40468
073,Lawrence County,397,6.8000003695488%,4,1.00755667506297%,1,39635,18719,20.9999993443489%,5820
075,Lebanon County,1059,11.6999998688698%,33,3.11614730878187%,4,49320,19336,14.0000000596046%,9067
077,Lehigh County,2675,10.700000077486%,79,2.95327102803738%,31,128910,46673,15.9999996423721%,24969
079,Luzerne County,2329,12.3000003397465%,79,3.39201373980249%,11,144686,77653,18.0000007152557%,18961
081,Lycoming County,1175,15.0000005960464%,41,3.48936170212766%,18,52464,23253,18.0000007152557%,7847
083,Mc Kean County,694,24.8999997973442%,10,1.44092219020173%,3,21644,11696,20.9999993443489%,2791
085,Mercer County,650,8.60000029206276%,8,1.23076923076923%,3,49859,21076,20.0000002980232%,7539
087,Mifflin County,477,14.1000002622604%,7,1.46750524109015%,0,20745,8990,18.9999997615814%,3377
089,Monroe County,577,5.49999997019768%,4,0.693240901213172%,1,67581,9432,10.0000001490116%,10482
091,Montgomery County,3564,6.1999998986721%,59,1.65544332210999%,31,297434,85670,3.99999991059303%,57928
093,Montour County,104,8.29999968409538%,1,0.961538461538462%,1,7627,2840,15.0000005960464%,1253
095,Northampton County,1494,7.90000036358833%,31,2.07496653279786%,8,106710,42524,10.9999999403954%,18941
097,Northumberland County,686,11.9999997317791%,25,3.64431486880466%,11,43164,25032,18.0000007152557%,5698
099,Perry County,327,10.3000000119209%,7,2.14067278287462%,1,18941,6188,10.9999999403954%,3188
101,Philadelphia County,33077,26.3000011444092%,1086,3.28324817849261%,770,661958,386382,31.9999992847443%,125625
103,Pike County,360,12.2000001370907%,0,0%,1,34681,3662,9.00000035762787%,2951
105,Potter County,247,20.2000007033348%,1,0.404858299595142%,0,12159,4868,21.9999998807907%,1222
107,Schuylkill County,1084,12.8000006079674%,71,6.54981549815498%,11,67806,41921,12.9999995231628%,8487
109,Snyder County,235,8.60000029206276%,8,3.40425531914894%,4,14890,5284,12.9999995231628%,2719
111,Somerset County,412,9.0999998152256%,14,3.39805825242718%,4,37163,15926,20.0000002980232%,4510
113,Sullivan County,31,10.4000002145767%,0,0%,0,6017,2507,14.0000000596046%,299
115,Susquehanna County,186,7.10000023245811%,3,1.61290322580645%,1,21829,8496,15.9999996423721%,2614
117,Tioga County,273,10.8000002801418%,4,1.46520146520147%,0,19893,8072,18.0000007152557%,2519
119,Union County,355,14.3999993801117%,17,4.7887323943662%,4,14684,5089,7.99999982118607%,2459
121,Venango County,587,16.6999995708466%,27,4.59965928449745%,10,26904,12769,27.0000010728836%,3508
123,Warren County,296,11.6999998688698%,8,2.7027027027027%,5,23058,10043,15.9999996423721%,2538
125,Washington County,897,7.10000023245811%,31,3.45596432552954%,9,87267,36963,15.0000005960464%,12646
127,Wayne County,396,13.3000001311302%,0,0%,0,30593,7741,15.9999996423721%,2972
129,Westmoreland County,1669,7.99999982118607%,34,2.03714799281007%,9,161058,58298,12.9999995231628%,20863
131,Wyoming County,95,5.09999990463257%,1,1.05263157894737%,1,12713,4561,17.0000001788139%,1860
133,York County,3302,11.1000001430511%,196,5.93579648697759%,72,156720,49221,9.00000035762787%,29676
999,Unknown,1745,,64,3.6676217765043%,25,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Pennsylvania Total Confirmed Cases 2006,,3530,,,,,,,,
