"CBLS County-level Summary Data for PA, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,852,12.6000002026558%,28,3.28638497652582%,8,35831,10986,10.9999999403954%,6773
003,Allegheny County,10450,13.3000001311302%,268,2.56459330143541%,112,583646,265497,17.0000001788139%,78444
005,Armstrong County,434,10.4000002145767%,13,2.99539170506912%,3,32387,14906,18.0000007152557%,4162
007,Beaver County,1308,12.2000001370907%,40,3.05810397553517%,16,77765,32842,15.9999996423721%,10689
009,Bedford County,432,13.6000007390976%,13,3.00925925925926%,2,23529,8664,12.9999995231628%,3182
011,Berks County,5716,18.6000004410744%,258,4.51364590622813%,93,150222,61296,14.0000000596046%,30797
013,Blair County,1530,17.8000003099442%,141,9.21568627450981%,64,55061,27186,20.0000002980232%,8606
015,Bradford County,328,7.50000029802322%,7,2.13414634146341%,6,28664,12166,18.0000007152557%,4380
017,Bucks County,3122,7.29999989271164%,9,0.288276745675849%,3,225498,37778,5.00000007450581%,42575
019,Butler County,1038,8.20000022649765%,16,1.54142581888247%,8,69868,18841,10.0000001490116%,12597
021,Cambria County,741,8.39999988675118%,33,4.45344129554656%,13,65796,33943,20.9999993443489%,8798
023,Cameron County,27,8.79999995231628%,0,0%,0,4592,1991,11.9999997317791%,307
025,Carbon County,510,12.7000004053116%,18,3.52941176470588%,4,30492,13953,17.0000001788139%,4030
027,Centre County,691,8.90000015497208%,12,1.73661360347323%,1,53161,12169,12.9999995231628%,7758
029,Chester County,2521,6.59999996423721%,27,1.0710035700119%,13,163773,33584,5.00000007450581%,38202
031,Clarion County,333,13.7999996542931%,7,2.1021021021021%,0,19426,7675,20.9999993443489%,2405
033,Clearfield County,896,18.7000006437302%,14,1.5625%,1,37855,16832,20.9999993443489%,4787
035,Clinton County,361,14.300000667572%,21,5.81717451523546%,1,18166,7049,21.9999998807907%,2531
037,Columbia County,442,11.5000002086163%,22,4.97737556561086%,4,27733,11920,14.0000000596046%,3846
039,Crawford County,742,12.0999999344349%,36,4.85175202156334%,18,42416,17177,20.9999993443489%,6107
041,Cumberland County,1067,7.29999989271164%,23,2.15557638238051%,7,86951,22172,9.00000035762787%,14597
043,Dauphin County,4255,21.6000005602837%,215,5.05287896592244%,101,111133,35305,15.9999996423721%,19744
045,Delaware County,5972,14.3999993801117%,126,2.1098459477562%,54,216978,88980,10.9999999403954%,41504
047,Elk County,243,12.8999993205071%,5,2.05761316872428%,0,18115,7600,11.9999997317791%,1878
049,Erie County,4356,21.9999998807907%,195,4.47658402203857%,66,114322,45053,18.0000007152557%,19824
051,Fayette County,1043,11.6999998688698%,26,2.4928092042186%,8,66490,31790,27.0000010728836%,8883
053,Forest County,27,12.9999995231628%,0,0%,0,8701,2411,20.0000002980232%,207
055,Franklin County,1377,12.6000002026558%,63,4.57516339869281%,14,53803,16822,10.9999999403954%,10955
057,Fulton County,158,15.1999995112419%,3,1.89873417721519%,1,6790,2093,18.0000007152557%,1038
059,Greene County,347,14.300000667572%,13,3.7463976945245%,4,16678,7705,27.0000010728836%,2428
061,Huntingdon County,385,14.3999993801117%,24,6.23376623376623%,12,21058,8160,15.0000005960464%,2674
063,Indiana County,675,13.1999999284744%,31,4.59259259259259%,17,37250,13518,21.9999998807907%,5111
065,Jefferson County,457,15.3999999165535%,19,4.15754923413567%,1,22104,10208,20.0000002980232%,2964
067,Juniata County,218,12.7000004053116%,9,4.12844036697248%,0,10031,3532,14.0000000596046%,1723
069,Lackawanna County,2397,17.7000001072884%,92,3.83813099707968%,28,95362,53958,15.0000005960464%,13541
071,Lancaster County,3348,8.10000002384186%,90,2.68817204301075%,25,179990,56775,11.9999997317791%,41276
073,Lawrence County,354,6.1999998986721%,5,1.41242937853107%,2,39635,18719,20.9999993443489%,5744
075,Lebanon County,1200,12.6000002026558%,45,3.75%,7,49320,19336,14.0000000596046%,9495
077,Lehigh County,3914,15.1999995112419%,109,2.78487480838017%,44,128910,46673,15.9999996423721%,25681
079,Luzerne County,2770,14.300000667572%,88,3.17689530685921%,26,144686,77653,18.0000007152557%,19421
081,Lycoming County,1175,14.9000003933907%,78,6.63829787234042%,28,52464,23253,18.0000007152557%,7880
083,Mc Kean County,778,27.3999989032745%,49,6.29820051413882%,8,21644,11696,20.9999993443489%,2842
085,Mercer County,832,11.2999998033047%,20,2.40384615384615%,4,49859,21076,20.0000002980232%,7331
087,Mifflin County,496,14.1000002622604%,20,4.03225806451613%,1,20745,8990,18.9999997615814%,3516
089,Monroe County,862,7.99999982118607%,6,0.696055684454756%,1,67581,9432,10.0000001490116%,10823
091,Montgomery County,6060,10.4999996721745%,79,1.3036303630363%,29,297434,85670,3.99999991059303%,57762
093,Montour County,89,7.19999969005585%,3,3.37078651685393%,1,7627,2840,15.0000005960464%,1234
095,Northampton County,2146,10.8000002801418%,52,2.42311276794035%,9,106710,42524,10.9999999403954%,19887
097,Northumberland County,795,13.6000007390976%,25,3.14465408805031%,12,43164,25032,18.0000007152557%,5846
099,Perry County,373,11.2999998033047%,15,4.02144772117963%,1,18941,6188,10.9999999403954%,3304
101,Philadelphia County,41099,32.6999992132187%,939,2.28472712231441%,600,661958,386382,31.9999992847443%,125591
103,Pike County,410,12.7000004053116%,2,0.487804878048781%,1,34681,3662,9.00000035762787%,3240
