"CBLS County-level Summary Data for PA, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,825,12.0999999344349%,16,1.93939393939394%,8,35831,10986,10.9999999403954%,6828
003,Allegheny County,10546,13.5000005364418%,288,2.73089322966053%,137,583646,265497,17.0000001788139%,78067
005,Armstrong County,646,15.6000003218651%,19,2.94117647058823%,3,32387,14906,18.0000007152557%,4151
007,Beaver County,1316,12.3000003397465%,35,2.65957446808511%,20,77765,32842,15.9999996423721%,10671
009,Bedford County,435,13.6999994516373%,16,3.67816091954023%,5,23529,8664,12.9999995231628%,3183
011,Berks County,5830,18.7000006437302%,196,3.36192109777015%,97,150222,61296,14.0000000596046%,31146
013,Blair County,1527,17.7000001072884%,106,6.94171578258022%,72,55061,27186,20.0000002980232%,8649
015,Bradford County,535,12.0999999344349%,9,1.68224299065421%,6,28664,12166,18.0000007152557%,4417
017,Bucks County,3159,7.50000029802322%,16,0.506489395378284%,3,225498,37778,5.00000007450581%,42223
019,Butler County,1119,8.79999995231628%,17,1.51921358355675%,8,69868,18841,10.0000001490116%,12650
021,Cambria County,1199,13.5000005364418%,29,2.418682235196%,15,65796,33943,20.9999993443489%,8897
023,Cameron County,46,15.8000007271767%,5,10.8695652173913%,1,4592,1991,11.9999997317791%,292
025,Carbon County,559,13.6999994516373%,19,3.39892665474061%,5,30492,13953,17.0000001788139%,4090
027,Centre County,748,9.49999988079071%,7,0.935828877005348%,1,53161,12169,12.9999995231628%,7882
029,Chester County,2806,7.29999989271164%,37,1.31860299358517%,14,163773,33584,5.00000007450581%,38622
031,Clarion County,339,14.1000002622604%,7,2.06489675516224%,0,19426,7675,20.9999993443489%,2400
033,Clearfield County,870,18.1999996304512%,19,2.18390804597701%,2,37855,16832,20.9999993443489%,4777
035,Clinton County,425,16.5999993681908%,17,4%,2,18166,7049,21.9999998807907%,2556
037,Columbia County,401,10.3000000119209%,16,3.99002493765586%,4,27733,11920,14.0000000596046%,3876
039,Crawford County,748,12.2000001370907%,26,3.47593582887701%,20,42416,17177,20.9999993443489%,6130
041,Cumberland County,959,6.49999976158142%,21,2.18978102189781%,10,86951,22172,9.00000035762787%,14817
043,Dauphin County,3940,19.5999994874001%,158,4.01015228426396%,112,111133,35305,15.9999996423721%,20051
045,Delaware County,5543,13.400000333786%,101,1.82211798664983%,63,216978,88980,10.9999999403954%,41391
047,Elk County,261,14.1000002622604%,6,2.29885057471264%,1,18115,7600,11.9999997317791%,1850
049,Erie County,4162,20.9000006318092%,148,3.5559827006247%,73,114322,45053,18.0000007152557%,19886
051,Fayette County,1243,14.0000000596046%,15,1.20675784392599%,8,66490,31790,27.0000010728836%,8852
053,Forest County,40,18.8999995589256%,0,0%,0,8701,2411,20.0000002980232%,212
055,Franklin County,1598,14.300000667572%,48,3.00375469336671%,16,53803,16822,10.9999999403954%,11166
057,Fulton County,198,18.8999995589256%,2,1.01010101010101%,1,6790,2093,18.0000007152557%,1048
059,Greene County,311,12.6000002026558%,8,2.57234726688103%,3,16678,7705,27.0000010728836%,2463
061,Huntingdon County,409,15.3999999165535%,16,3.9119804400978%,13,21058,8160,15.0000005960464%,2657
063,Indiana County,820,15.9999996423721%,26,3.17073170731707%,17,37250,13518,21.9999998807907%,5141
065,Jefferson County,527,17.8000003099442%,8,1.5180265654649%,1,22104,10208,20.0000002980232%,2963
067,Juniata County,238,13.8999998569489%,4,1.68067226890756%,1,10031,3532,14.0000000596046%,1709
069,Lackawanna County,1984,14.3999993801117%,62,3.125%,30,95362,53958,15.0000005960464%,13753
071,Lancaster County,3645,8.69999974966049%,81,2.22222222222222%,34,179990,56775,11.9999997317791%,41839
073,Lawrence County,515,9.00000035762787%,4,0.776699029126214%,2,39635,18719,20.9999993443489%,5723
075,Lebanon County,1153,11.9999997317791%,37,3.20901994796184%,9,49320,19336,14.0000000596046%,9606
077,Lehigh County,3893,15.0000005960464%,118,3.03108142820447%,52,128910,46673,15.9999996423721%,25999
079,Luzerne County,2962,15.0999993085861%,64,2.16070222822417%,30,144686,77653,18.0000007152557%,19668
081,Lycoming County,1157,14.4999995827675%,52,4.49438202247191%,28,52464,23253,18.0000007152557%,7998
083,Mc Kean County,763,26.8999993801117%,27,3.53866317169069%,10,21644,11696,20.9999993443489%,2834
085,Mercer County,899,12.2000001370907%,15,1.66852057842047%,4,49859,21076,20.0000002980232%,7352
087,Mifflin County,377,10.5999998748302%,6,1.59151193633952%,1,20745,8990,18.9999997615814%,3546
089,Monroe County,1159,10.8000002801418%,5,0.431406384814495%,1,67581,9432,10.0000001490116%,10692
091,Montgomery County,6371,11.1000001430511%,53,0.831894522053053%,32,297434,85670,3.99999991059303%,57412
093,Montour County,103,8.29999968409538%,2,1.94174757281553%,1,7627,2840,15.0000005960464%,1235
095,Northampton County,1415,7.00000002980232%,66,4.6643109540636%,12,106710,42524,10.9999999403954%,20135
097,Northumberland County,775,13.1999999284744%,27,3.48387096774193%,12,43164,25032,18.0000007152557%,5890
099,Perry County,388,11.599999666214%,8,2.06185567010309%,1,18941,6188,10.9999999403954%,3338
101,Philadelphia County,39527,31.2000006437302%,675,1.70769347534597%,484,661958,386382,31.9999992847443%,126807
103,Pike County,495,15.3999999165535%,2,0.404040404040404%,1,34681,3662,9.00000035762787%,3224
105,Potter County,354,30.3999990224838%,8,2.25988700564972%,1,12159,4868,21.9999998807907%,1164
107,Schuylkill County,1565,17.4999997019768%,108,6.90095846645367%,34,67806,41921,12.9999995231628%,8964
109,Snyder County,252,8.90000015497208%,10,3.96825396825397%,5,14890,5284,12.9999995231628%,2835
111,Somerset County,740,16.8999999761581%,12,1.62162162162162%,7,37163,15926,20.0000002980232%,4369
113,Sullivan County,26,8.69999974966049%,0,0%,0,6017,2507,14.0000000596046%,298
115,Susquehanna County,283,11.1000001430511%,6,2.12014134275618%,1,21829,8496,15.9999996423721%,2561
117,Tioga County,262,10.4000002145767%,10,3.81679389312977%,0,19893,8072,18.0000007152557%,2517
119,Union County,353,14.0000000596046%,13,3.68271954674221%,5,14684,5089,7.99999982118607%,2527
121,Venango County,600,16.7999997735024%,27,4.5%,14,26904,12769,27.0000010728836%,3563
123,Warren County,340,14.1000002622604%,20,5.88235294117647%,4,23058,10043,15.9999996423721%,2417
125,Washington County,1216,9.49999988079071%,36,2.96052631578947%,21,87267,36963,15.0000005960464%,12781
127,Wayne County,521,17.2000005841255%,10,1.91938579654511%,0,30593,7741,15.9999996423721%,3025
129,Westmoreland County,2374,11.5000002086163%,32,1.34793597304128%,13,161058,58298,12.9999995231628%,20639
131,Wyoming County,123,6.59999996423721%,4,3.2520325203252%,1,12713,4561,17.0000001788139%,1856
133,York County,4229,13.3000001311302%,294,6.95199810829983%,164,156720,49221,9.00000035762787%,31781
999,Unknown,2155,.,62,2.87703016241299%,32,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,Pennsylvania Confirmed Cases 2008,,3417,,,,,,,
