"CBLS County-level Summary Data for RI, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Bristol County,867,30.7000011205673%,11,1.26874279123414%,5,19881,8417,7.00000002980232%,2823
003,Kent County,1865,17.4999997019768%,11,0.589812332439678%,7,70365,20216,10.0000001490116%,10650
005,Newport County,1232,24.6999993920326%,8,0.649350649350649%,4,39561,15162,12.9999995231628%,4978
007,Providence County,10668,22.3000004887581%,293,2.74653168353956%,201,253214,115380,25%,47760
009,Washington County,1359,18.4000000357628%,8,0.588668138337012%,9,56816,13237,7.00000002980232%,7405
999,Unknown,11,,0,0%,0,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Rhode Island Confirmed Cases 2007,,331,,,,,,,
