"CBLS County-level Summary Data for TX, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Anderson County,422,11.5332057939328%,3,1,18436,2905,21.9999998807907%,3659
003,Andrews County,31,2.76292335115865%,0,0,5400,452,23.0000004172325%,1122
005,Angelina County,1082,15.4417011559869%,2,2,32435,3597,25%,7007
007,Aransas County,42,2.92887029288703%,0,0,12848,616,36.0000014305115%,1434
009,Archer County,13,1.81058495821727%,0,0,3871,824,10.9999999403954%,718
011,Armstrong County,,0%,,,920,329,11.9999997317791%,157
013,Atascosa County,451,12.3527800602575%,3,1,14883,1765,25.9999990463257%,3651
015,Austin County,83,4.54048140043764%,0,0,10205,2240,18.0000007152557%,1828
017,Bailey County,150,24.9169435215947%,0,0,2738,639,25.9999990463257%,602
019,Bandera County,27,2.39149689991143%,0,0,9503,1072,12.9999995231628%,1129
021,Bastrop County,111,2.16037368625924%,0,1,22254,2698,14.0000000596046%,5138
023,Baylor County,27,11.1570247933884%,0,0,2820,840,34.0000003576279%,242
025,Bee County,95,4.29475587703436%,0,0,10939,1822,34.9999994039536%,2212
027,Bell County,1973,7.799343795707%,19,10,92782,6783,17.0000001788139%,25297
029,Bexar County,19787,15.0003790463195%,167,66,521359,65722,23.9999994635582%,131910
031,Blanco County,18,2.83464566929134%,0,0,4031,762,10.9999999403954%,635
035,Bosque County,96,8.21214713430282%,3,3,8644,1778,20.9999993443489%,1169
037,Bowie County,564,8.1221198156682%,3,4,36463,5281,31.0000002384186%,6944
039,Brazoria County,1117,5.02745521649113%,7,1,90628,5665,14.0000000596046%,22218
041,Brazos County,472,4.15200562983814%,3,0,59023,3620,23.9999994635582%,11368
043,Brewster County,29,4.96575342465753%,0,0,4614,970,25.9999990463257%,584
045,Briscoe County,5,3.87596899224806%,0,0,1006,324,28.0000001192093%,129
047,Brooks County,14,1.75879396984925%,0,0,3203,510,56.9999992847443%,796
049,Brown County,111,3.96570203644159%,0,0,17889,3693,25.9999990463257%,2799
051,Burleson County,49,3.62158167036216%,1,1,8197,1218,25.9999990463257%,1353
053,Burnet County,87,3.3231474407945%,1,0,15933,1383,17.0000001788139%,2618
055,Caldwell County,426,14.5740677386247%,6,2,11901,2004,14.0000000596046%,2923
057,Calhoun County,151,7.82383419689119%,2,0,10238,961,25%,1930
059,Callahan County,11,1.27758420441347%,0,0,5925,1272,17.0000001788139%,861
061,Cameron County,6589,17.3039550396554%,26,27,119654,10904,44.9999988079071%,38078
063,Camp County,225,24.3506493506494%,1,0,5228,603,36.0000014305115%,924
065,Carson County,13,2.82608695652174%,0,0,2815,715,10.0000001490116%,460
067,Cass County,319,14.4148215092634%,0,0,13890,1995,25.9999990463257%,2213
069,Castro County,32,3.73831775700935%,0,0,3198,537,27.0000010728836%,856
071,Chambers County,85,3.83228133453562%,0,1,10336,883,14.0000000596046%,2218
073,Cherokee County,979,25.3298835705045%,13,7,19173,3431,27.0000010728836%,3865
075,Childress County,30,6.59340659340659%,0,1,3059,1272,46.9999998807907%,455
077,Clay County,6,0.769230769230769%,0,0,4992,1240,10.9999999403954%,780
079,Cochran County,65,21.1726384364821%,0,0,1587,333,47.9999989271164%,307
081,Coke County,6,2.98507462686567%,0,0,2843,469,20.9999993443489%,201
083,Coleman County,28,4.57516339869281%,0,0,5248,1775,33.0000013113022%,612
085,Collin County,1405,2.7691822535822%,8,2,194892,4240,5.00000007450581%,50737
087,Collingsworth County,17,7.35930735930736%,0,0,1723,857,34.9999994039536%,231
089,Colorado County,97,6.73611111111111%,0,0,9431,2324,21.9999998807907%,1440
091,Comal County,593,9.96638655462185%,2,1,32718,3247,14.0000000596046%,5950
093,Comanche County,7,0.661625708884688%,0,0,7105,1856,28.0000001192093%,1058
095,Concho County,6,3.68098159509202%,0,2,1488,587,21.9999998807907%,163
097,Cooke County,62,2.04688015846814%,0,0,15061,2935,25.9999990463257%,3029
099,Coryell County,68,0.943134535367545%,0,0,21776,2006,15.0000005960464%,7210
101,Cottle County,24,18.75%,0,0,1088,486,33.0000013113022%,128
105,Crockett County,44,14.4262295081967%,0,0,2049,457,38.9999985694885%,305
107,Crosby County,43,6.59509202453988%,0,0,3202,697,37.9999995231628%,652
109,Culberson County,16,5.79710144927536%,0,0,1321,281,38.9999985694885%,276
111,Dallam County,8,1.14122681883024%,0,0,2697,1000,18.9999997615814%,701
113,Dallas County,21349,9.87762278205751%,61,48,854119,81461,18.9999997615814%,216135
115,Dawson County,64,5.93692022263451%,1,0,5500,1287,33.0000013113022%,1078
117,Deaf Smith County,17,0.860323886639676%,0,0,6914,984,33.0000013113022%,1976
119,Delta County,7,1.98863636363636%,0,0,2410,692,20.0000002980232%,352
121,Denton County,1610,3.83178237380108%,5,3,168069,5059,7.00000002980232%,42017
123,DeWitt County,87,6.69745958429561%,1,1,8756,2672,31.9999992847443%,1299
125,Dickens County,,0%,,,1368,577,34.0000003576279%,145
127,Dimmit County,163,15.9024390243902%,3,2,4112,719,43.9999997615814%,1025
129,Donley County,,0%,,,2378,792,34.9999994039536%,236
131,Duval County,123,10.3015075376884%,1,1,5543,1063,38.9999985694885%,1194
133,Eastland County,33,2.50950570342205%,0,0,9547,3502,28.999999165535%,1315
135,Ector County,1514,13.1366594360087%,5,1,49500,4241,27.0000010728836%,11525
137,Edwards County,45,28.125%,2,1,1217,324,47.9999989271164%,160
139,Ellis County,467,4.58832776576931%,2,2,39071,5145,14.0000000596046%,10178
141,El Paso County,5580,7.88625699587314%,14,13,224447,23327,31.9999992847443%,70756
143,Erath County,189,7.60257441673371%,3,2,14422,2412,15.9999996423721%,2486
145,Falls County,163,12.2280570142536%,7,6,7658,2215,28.0000001192093%,1333
147,Fannin County,76,3.57310766337565%,2,0,12887,3031,23.0000004172325%,2127
149,Fayette County,123,9.20658682634731%,5,2,11113,3577,12.9999995231628%,1336
151,Fisher County,10,3.41296928327645%,0,0,2277,894,30.0000011920929%,293
153,Floyd County,40,5.61797752808989%,0,0,3221,956,33.0000013113022%,712
157,Fort Bend County,1935,5.88181652380084%,4,3,115991,3150,9.00000035762787%,32898
159,Franklin County,77,10.8757062146893%,0,0,5132,631,28.0000001192093%,708
161,Freestone County,46,4.1329739442947%,0,0,8138,1377,15.9999996423721%,1113
163,Frio County,182,11.7343649258543%,0,0,5660,819,40.0000005960465%,1551
165,Gaines County,25,1.71115674195756%,0,0,5410,566,31.9999992847443%,1461
167,Galveston County,1468,7.00582227736948%,4,13,111733,16077,18.9999997615814%,20954
169,Garza County,41,11.3259668508287%,0,0,1928,490,37.0000004768372%,362
171,Gillespie County,50,4.01929260450161%,0,0,9902,2405,15.9999996423721%,1244
175,Goliad County,17,3.15398886827458%,0,1,3426,813,30.0000011920929%,539
177,Gonzales County,229,14.6139119336311%,6,3,8194,1796,25%,1567
179,Gray County,39,2.52263906856404%,0,0,10567,3251,20.9999993443489%,1546
181,Grayson County,692,8.23711462921081%,4,5,48315,8709,15.9999996423721%,8401
183,Gregg County,1656,17.8872326636423%,15,1,46349,5080,23.0000004172325%,9258
185,Grimes County,131,7.48143917761279%,1,0,9490,1123,20.9999993443489%,1751
187,Guadalupe County,534,7.04671417260491%,1,1,33585,3399,12.9999995231628%,7578
189,Hale County,395,10.9722222222222%,4,1,13526,2656,21.9999998807907%,3600
191,Hall County,17,5.3125%,0,0,1988,847,37.9999995231628%,320
193,Hamilton County,12,2.15439856373429%,0,0,4455,1373,21.9999998807907%,557
195,Hansford County,10,2.2883295194508%,0,0,2329,591,25.9999990463257%,437
197,Hardeman County,12,3.43839541547278%,0,0,2358,995,23.9999994635582%,349
199,Hardin County,320,7.9860244571999%,2,0,19836,1824,15.0000005960464%,4007
201,Harris County,34060,10.1982154620037%,157,142,1298130,110300,20.9999993443489%,333980
203,Harrison County,833,17.3758865248227%,4,1,26271,4508,28.0000001192093%,4794
207,Haskell County,11,2.88713910761155%,0,0,3555,1147,37.0000004768372%,381
209,Hays County,691,9.44376110427771%,11,3,35643,2499,11.9999997317791%,7317
211,Hemphill County,,0%,,,1548,559,20.9999993443489%,242
213,Henderson County,130,2.34614690489081%,0,0,35935,1832,20.0000002980232%,5541
215,Hidalgo County,16296,23.6791630340017%,54,35,192658,9079,46.000000834465%,68820
217,Hill County,194,,0,1,14624,3349,20.9999993443489%,
219,Hockley County,137,6.87061183550652%,4,1,9148,1261,23.0000004172325%,1994
221,Hood County,43,1.48995148995149%,2,1,19105,781,9.00000035762787%,2886
223,Hopkins County,159,6.36%,0,0,14020,2072,20.9999993443489%,2500
225,Houston County,86,5.72951365756163%,0,0,10730,1609,28.0000001192093%,1501
227,Howard County,51,2.21258134490239%,0,0,13589,2956,30.0000011920929%,2305
229,Hudspeth County,46,13.0681818181818%,0,0,1471,236,40.9999996423721%,352
231,Hunt County,184,2.98943948009748%,4,2,32490,4074,15.9999996423721%,6155
233,Hutchinson County,38,1.95573854863613%,0,1,10871,2437,18.9999997615814%,1943
235,Irion County,8,6.95652173913043%,0,0,914,241,10.0000001490116%,115
237,Jack County,17,2.63975155279503%,0,0,3668,1011,18.0000007152557%,644
239,Jackson County,50,3.93700787401575%,0,0,6545,1332,20.0000002980232%,1270
241,Jasper County,136,4.70751124956732%,1,0,16576,1865,23.9999994635582%,2889
243,Jeff Davis County,,0%,,,1420,450,15.9999996423721%,96
245,Jefferson County,1741,8.54940090355529%,22,11,102080,20162,27.0000010728836%,20364
247,Jim Hogg County,14,2.8169014084507%,0,0,2308,435,37.0000004768372%,497
249,Jim Wells County,332,8.89126941617568%,4,0,14819,1748,31.9999992847443%,3734
251,Johnson County,404,3.62722212246364%,3,3,46269,4557,10.9999999403954%,11138
253,Jones County,40,3.28407224958949%,0,0,7236,2196,25%,1218
255,Karnes County,112,10.9375%,1,1,5479,1515,38.9999985694885%,1024
257,Kaufman County,590,9.36062192606695%,0,0,26133,2701,12.9999995231628%,6303
259,Kendall County,24,1.30932896890344%,0,0,9609,1248,18.0000007152557%,1833
261,Kenedy County,,,,,281,73,17.0000001788139%,
263,Kent County,,0%,,,551,164,20.0000002980232%,30
265,Kerr County,251,9.0711962414167%,2,0,20228,2572,25%,2767
267,Kimble County,23,7.56578947368421%,1,1,2996,707,30.0000011920929%,304
271,Kinney County,,0%,,,1907,427,31.9999992847443%,258
273,Kleberg County,246,8.68337451464878%,0,0,12743,2035,36.0000014305115%,2833
275,Knox County,19,6.16883116883117%,0,0,2129,689,43.0000007152557%,308
277,Lamar County,724,17.5941676792224%,10,4,21113,3521,25.9999990463257%,4115
279,Lamb County,129,9.65568862275449%,0,0,6294,1612,36.0000014305115%,1336
281,Lampasas County,156,11.1508220157255%,1,0,7601,1538,20.0000002980232%,1399
283,La Salle County,8,1.55339805825243%,0,0,2436,536,41.9999986886978%,515
285,Lavaca County,168,12.4907063197026%,0,2,9657,2754,15.9999996423721%,1345
287,Lee County,24,1.78438661710037%,0,0,6851,1094,15.0000005960464%,1345
289,Leon County,29,2.81553398058252%,0,0,8299,1005,20.9999993443489%,1030
291,Liberty County,195,3.41865357643759%,1,1,26359,2390,17.0000001788139%,5704
293,Limestone County,113,6.63145539906103%,2,0,9725,1985,23.9999994635582%,1704
297,Live Oak County,36,5.04201680672269%,0,2,6196,683,30.0000011920929%,714
299,Llano County,63,8.24607329842932%,1,0,11829,844,15.0000005960464%,764
303,Lubbock County,2254,11.0349554489376%,7,5,100595,9422,25%,20426
305,Lynn County,45,8.12274368231047%,0,0,2671,693,28.0000001192093%,554
307,McCulloch County,21,3.25581395348837%,0,0,4184,1491,41.9999986886978%,645
309,McLennan County,2856,15.726872246696%,19,13,84795,14360,25%,18160
311,McMullen County,7,,0,0,587,95,47.9999989271164%,
313,Madison County,94,11.2980769230769%,0,3,4797,562,23.9999994635582%,832
315,Marion County,102,14.0495867768595%,2,1,6384,649,33.0000013113022%,726
317,Martin County,37,7.64462809917355%,2,0,1898,278,28.0000001192093%,484
319,Mason County,17,7.94392523364486%,1,0,2372,1090,25%,214
321,Matagorda County,312,9.23896949955582%,0,0,18611,2238,31.9999992847443%,3377
323,Maverick County,645,11.2663755458515%,1,0,14889,998,37.0000004768372%,5725
325,Medina County,77,2.2937146261543%,2,0,14826,2271,20.9999993443489%,3357
327,Menard County,18,12.9496402877698%,0,0,1607,634,33.0000013113022%,139
329,Midland County,1817,17.4594023253579%,4,0,48060,3227,18.9999997615814%,10407
331,Milam County,174,8.8145896656535%,4,2,10866,2208,20.0000002980232%,1974
333,Mills County,9,2.59365994236311%,0,0,2691,789,23.0000004172325%,347
335,Mitchell County,6,1.11111111111111%,0,0,4168,1178,25.9999990463257%,540
337,Montague County,41,2.97101449275362%,1,0,9862,2064,23.0000004172325%,1380
339,Montgomery County,1314,4.80368501864444%,1,0,112770,2383,12.9999995231628%,27354
341,Moore County,,0%,,,7478,1185,18.9999997615814%,2265
343,Morris County,89,9.9109131403118%,0,0,6017,787,34.9999994039536%,898
345,Motley County,,0%,,,839,337,28.999999165535%,114
347,Nacogdoches County,530,11.5418118466899%,12,6,25051,3023,28.0000001192093%,4592
349,Navarro County,207,5.30361260568793%,5,8,18449,3480,25.9999990463257%,3903
351,Newton County,49,4.15254237288136%,0,0,7331,786,31.0000002384186%,1180
353,Nolan County,93,7.53646677471637%,0,0,7112,2264,34.0000003576279%,1234
355,Nueces County,834,2.92816515694123%,2,3,123041,16719,25.9999990463257%,28482
357,Ochiltree County,35,3.66108786610879%,0,0,3769,720,18.9999997615814%,956
359,Oldham County,,0%,,,815,248,33.0000013113022%,177
361,Orange County,985,14.1218637992832%,0,0,34781,3843,23.0000004172325%,6975
363,Palo Pinto County,224,10.9002433090024%,1,0,14102,2963,23.9999994635582%,2055
