"CBLS County-level Summary Data for TX, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Anderson County,452,11.4000000059605%,7,1.54867256637168%,2,18436,2905,21.9999998807907%,3963
003,Andrews County,111,9.20000001788139%,1,0.900900900900901%,0,5400,452,23.0000004172325%,1211
005,Angelina County,1401,18.1999996304512%,7,0.499643112062812%,2,32435,3597,25%,7699
007,Aransas County,24,1.49999996647239%,0,0%,0,12848,616,36.0000014305115%,1638
009,Archer County,21,3.20000015199184%,0,0%,0,3871,824,10.9999999403954%,652
011,Armstrong County,6,4.30000014603138%,0,0%,0,920,329,11.9999997317791%,138
013,Atascosa County,490,12.2000001370907%,3,0.612244897959184%,2,14883,1765,25.9999990463257%,4019
015,Austin County,108,5.00000007450581%,0,0%,0,10205,2240,18.0000007152557%,2142
017,Bailey County,166,22.9000002145767%,0,0%,0,2738,639,25.9999990463257%,725
019,Bandera County,63,5.09999990463257%,0,0%,0,9503,1072,12.9999995231628%,1243
021,Bastrop County,336,5.70000000298023%,1,0.297619047619048%,1,22254,2698,14.0000000596046%,5906
023,Baylor County,n,,n,,n,2820,840,34.0000003576279%,289
025,Bee County,341,15.6000003218651%,1,0.293255131964809%,0,10939,1822,34.9999994039536%,2191
027,Bell County,2212,6.89999982714653%,10,0.452079566003617%,7,92782,6783,17.0000001788139%,32222
029,Bexar County,19145,12.3999997973442%,158,0.825280752154609%,80,521359,65722,23.9999994635582%,153919
031,Blanco County,10,1.40000004321337%,0,0%,0,4031,762,10.9999999403954%,703
035,Bosque County,145,10.9999999403954%,2,1.37931034482759%,3,8644,1778,20.9999993443489%,1317
037,Bowie County,782,11.1000001430511%,11,1.40664961636829%,4,36463,5281,31.0000002384186%,7057
039,Brazoria County,1605,5.90000003576279%,3,0.186915887850467%,1,90628,5665,14.0000000596046%,27342
041,Brazos County,1436,10.4000002145767%,8,0.557103064066852%,2,59023,3620,23.9999994635582%,13817
043,Brewster County,55,8.29999968409538%,1,1.81818181818182%,0,4614,970,25.9999990463257%,664
045,Briscoe County,10,10.3000000119209%,0,0%,0,1006,324,28.0000001192093%,97
