"CBLS County-level Summary Data for TX, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Anderson County,1159,29.1000008583069%,4,0.345125107851596%,1,18436,2905,21.9999998807907%,3978
003,Andrews County,47,3.4000001847744%,0,0%,0,5400,452,23.0000004172325%,1367
005,Angelina County,1673,21.4000001549721%,7,0.418410041841004%,1,32435,3597,25%,7822
007,Aransas County,136,8.20000022649765%,1,0.735294117647059%,0,12848,616,36.0000014305115%,1661
009,Archer County,24,3.70000004768372%,0,0%,0,3871,824,10.9999999403954%,643
011,Armstrong County,11,7.29999989271164%,0,0%,0,920,329,11.9999997317791%,151
013,Atascosa County,547,13.6000007390976%,3,0.548446069469835%,3,14883,1765,25.9999990463257%,4026
015,Austin County,192,8.79999995231628%,0,0%,1,10205,2240,18.0000007152557%,2172
017,Bailey County,133,18.7999993562698%,0,0%,1,2738,639,25.9999990463257%,709
019,Bandera County,58,4.69999983906746%,0,0%,0,9503,1072,12.9999995231628%,1238
021,Bastrop County,427,7.10000023245811%,0,0%,0,22254,2698,14.0000000596046%,6008
023,Baylor County,29,9.7000002861023%,0,0%,0,2820,840,34.0000003576279%,300
025,Bee County,392,17.399999499321%,2,0.510204081632653%,0,10939,1822,34.9999994039536%,2253
027,Bell County,2024,5.79999983310699%,4,0.197628458498024%,7,92782,6783,17.0000001788139%,34847
029,Bexar County,22341,13.6999994516373%,64,0.286468824134998%,57,521359,65722,23.9999994635582%,162954
031,Blanco County,25,3.50000001490116%,0,0%,0,4031,762,10.9999999403954%,723
035,Bosque County,190,14.9000003933907%,2,1.05263157894737%,1,8644,1778,20.9999993443489%,1277
037,Bowie County,475,6.49999976158142%,6,1.26315789473684%,3,36463,5281,31.0000002384186%,7260
039,Brazoria County,1273,4.30000014603138%,1,0.0785545954438335%,4,90628,5665,14.0000000596046%,29437
041,Brazos County,1435,9.6000000834465%,4,0.278745644599303%,3,59023,3620,23.9999994635582%,14947
043,Brewster County,49,6.89999982714653%,0,0%,0,4614,970,25.9999990463257%,708
045,Briscoe County,16,18.7999993562698%,0,0%,0,1006,324,28.0000001192093%,85
047,Brooks County,71,9.0999998152256%,0,0%,1,3203,510,56.9999992847443%,779
049,Brown County,111,3.70000004768372%,2,1.8018018018018%,0,17889,3693,25.9999990463257%,3006
051,Burleson County,136,10.4000002145767%,1,0.735294117647059%,1,8197,1218,25.9999990463257%,1310
053,Burnet County,406,12.5%,2,0.492610837438424%,0,15933,1383,17.0000001788139%,3253
055,Caldwell County,420,12.9999995231628%,0,0%,0,11901,2004,14.0000000596046%,3220
057,Calhoun County,243,13.8999998569489%,4,1.64609053497942%,0,10238,961,25%,1750
059,Callahan County,31,3.29999998211861%,0,0%,0,5925,1272,17.0000001788139%,936
061,Cameron County,8920,17.4999997019768%,16,0.179372197309417%,24,119654,10904,44.9999988079071%,50851
063,Camp County,162,12.9999995231628%,0,0%,0,5228,603,36.0000014305115%,1248
065,Carson County,10,2.30000000447035%,0,0%,0,2815,715,10.0000001490116%,440
067,Cass County,362,17.7000001072884%,1,0.276243093922652%,1,13890,1995,25.9999990463257%,2042
069,Castro County,191,26.800000667572%,0,0%,0,3198,537,27.0000010728836%,714
071,Chambers County,190,7.99999982118607%,1,0.526315789473684%,0,10336,883,14.0000000596046%,2361
073,Cherokee County,752,16.8999999761581%,4,0.531914893617021%,2,19173,3431,27.0000010728836%,4448
075,Childress County,61,12.3000003397465%,0,0%,0,3059,1272,46.9999998807907%,494
077,Clay County,32,5.09999990463257%,2,6.25%,0,4992,1240,10.9999999403954%,623
079,Cochran County,43,14.4999995827675%,0,0%,0,1587,333,47.9999989271164%,297
081,Coke County,17,10.0000001490116%,0,0%,0,2843,469,20.9999993443489%,170
083,Coleman County,50,7.90000036358833%,1,2%,0,5248,1775,33.0000013113022%,634
085,Collin County,2458,3.4000001847744%,5,0.203417412530513%,4,194892,4240,5.00000007450581%,72921
087,Collingsworth County,15,5.40000014007092%,0,0%,0,1723,857,34.9999994039536%,278
089,Colorado County,155,9.79999974370003%,2,1.29032258064516%,0,9431,2324,21.9999998807907%,1578
091,Comal County,456,5.00000007450581%,3,0.657894736842105%,0,32718,3247,14.0000000596046%,9085
093,Comanche County,39,3.50000001490116%,1,2.56410256410256%,1,7105,1856,28.0000001192093%,1106
095,Concho County,29,17.0000001788139%,1,3.44827586206897%,0,1488,587,21.9999998807907%,171
097,Cooke County,117,3.50000001490116%,0,0%,1,15061,2935,25.9999990463257%,3301
099,Coryell County,234,4.30000014603138%,2,0.854700854700855%,1,21776,2006,15.0000005960464%,5479
101,Cottle County,19,21.2999999523163%,0,0%,0,1088,486,33.0000013113022%,89
103,Crane County,13,3.4000001847744%,0,0%,1,1596,337,15.9999996423721%,379
105,Crockett County,46,13.1999999284744%,2,4.34782608695652%,1,2049,457,38.9999985694885%,349
107,Crosby County,71,11.8000000715256%,0,0%,1,3202,697,37.9999995231628%,604
109,Culberson County,20,12.3000003397465%,0,0%,1,1321,281,38.9999985694885%,162
111,Dallam County,88,13.0999997258186%,1,1.13636363636364%,0,2697,1000,18.9999997615814%,673
113,Dallas County,34223,13.6000007390976%,72,0.210384828916226%,64,854119,81461,18.9999997615814%,251003
115,Dawson County,21,1.89999993890524%,0,0%,0,5500,1287,33.0000013113022%,1130
117,Deaf Smith County,2480,118.099999427795%,6,0.241935483870968%,11,6914,984,33.0000013113022%,2100
119,Delta County,30,7.99999982118607%,0,0%,0,2410,692,20.0000002980232%,374
121,Denton County,2989,4.80000004172325%,11,0.368016058882569%,6,168069,5059,7.00000002980232%,61792
123,DeWitt County,160,11.5000002086163%,1,0.625%,1,8756,2672,31.9999992847443%,1395
125,Dickens County,7,5.60000017285347%,0,0%,0,1368,577,34.0000003576279%,126
127,Dimmit County,219,22.4000006914139%,0,0%,1,4112,719,43.9999997615814%,977
129,Donley County,5,2.40000002086163%,0,0%,0,2378,792,34.9999994039536%,209
131,Duval County,171,15.6000003218651%,1,0.584795321637427%,0,5543,1063,38.9999985694885%,1096
133,Eastland County,67,4.69999983906746%,0,0%,0,9547,3502,28.999999165535%,1412
135,Ector County,1670,11.5000002086163%,4,0.239520958083832%,1,49500,4241,27.0000010728836%,14537
137,Edwards County,167,101.199996471405%,2,1.19760479041916%,1,1217,324,47.9999989271164%,165
139,Ellis County,994,7.10000023245811%,6,0.603621730382294%,2,39071,5145,14.0000000596046%,14077
141,El Paso County,11478,13.5000005364418%,19,0.165534065168148%,20,224447,23327,31.9999992847443%,84769
143,Erath County,333,11.2000003457069%,2,0.600600600600601%,2,14422,2412,15.9999996423721%,2971
145,Falls County,114,9.6000000834465%,3,2.63157894736842%,2,7658,2215,28.0000001192093%,1190
147,Fannin County,219,9.00000035762787%,2,0.91324200913242%,0,12887,3031,23.0000004172325%,2439
149,Fayette County,169,10.9999999403954%,2,1.18343195266272%,1,11113,3577,12.9999995231628%,1536
151,Fisher County,19,8.69999974966049%,0,0%,0,2277,894,30.0000011920929%,218
153,Floyd County,81,15.0999993085861%,1,1.23456790123457%,0,3221,956,33.0000013113022%,535
155,Foard County,8,12.7000004053116%,0,0%,0,850,400,10.9999999403954%,63
157,Fort Bend County,2398,5.09999990463257%,4,0.166805671392827%,2,115991,3150,9.00000035762787%,47275
159,Franklin County,67,7.99999982118607%,0,0%,0,5132,631,28.0000001192093%,837
161,Freestone County,112,7.90000036358833%,0,0%,0,8138,1377,15.9999996423721%,1411
163,Frio County,219,15.0999993085861%,0,0%,1,5660,819,40.0000005960465%,1449
165,Gaines County,84,4.69999983906746%,0,0%,0,5410,566,31.9999992847443%,1776
167,Galveston County,2732,10.700000077486%,4,0.146412884333821%,3,111733,16077,18.9999997615814%,25432
169,Garza County,49,14.5999997854233%,0,0%,1,1928,490,37.0000004768372%,335
171,Gillespie County,128,7.99999982118607%,1,0.78125%,0,9902,2405,15.9999996423721%,1603
173,Glasscock County,n,,n,#VALUE!,n,660,82,18.9999997615814%,60
175,Goliad County,40,8.79999995231628%,0,0%,0,3426,813,30.0000011920929%,456
177,Gonzales County,345,17.2000005841255%,3,0.869565217391304%,0,8194,1796,25%,2005
179,Gray County,204,10.4999996721745%,1,0.490196078431373%,0,10567,3251,20.9999993443489%,1940
181,Grayson County,960,9.7000002861023%,2,0.208333333333333%,2,48315,8709,15.9999996423721%,9934
183,Gregg County,1750,15.2999997138977%,5,0.285714285714286%,1,46349,5080,23.0000004172325%,11412
185,Grimes County,229,11.2000003457069%,0,0%,0,9490,1123,20.9999993443489%,2043
187,Guadalupe County,905,9.00000035762787%,0,0%,1,33585,3399,12.9999995231628%,10084
189,Hale County,482,13.400000333786%,2,0.4149377593361%,0,13526,2656,21.9999998807907%,3591
191,Hall County,42,17.7000001072884%,0,0%,0,1988,847,37.9999995231628%,237
193,Hamilton County,36,6.3000001013279%,0,0%,0,4455,1373,21.9999998807907%,570
195,Hansford County,29,4.69999983906746%,0,0%,0,2329,591,25.9999990463257%,615
197,Hardeman County,46,15.6000003218651%,0,0%,0,2358,995,23.9999994635582%,294
199,Hardin County,408,9.7000002861023%,0,0%,0,19836,1824,15.0000005960464%,4212
201,Harris County,48933,11.8000000715256%,142,0.290192712484417%,193,1298130,110300,20.9999993443489%,413684
203,Harrison County,815,15.8000007271767%,3,0.368098159509202%,4,26271,4508,28.0000001192093%,5145
205,Hartley County,n,,n,#VALUE!,n,1760,280,7.00000002980232%,444
207,Haskell County,10,2.8999999165535%,0,0%,0,3555,1147,37.0000004768372%,339
209,Hays County,864,6.70000016689301%,2,0.231481481481481%,0,35643,2499,11.9999997317791%,12984
211,Hemphill County,279,85.2999985218048%,2,0.716845878136201%,1,1548,559,20.9999993443489%,327
213,Henderson County,484,8.20000022649765%,1,0.206611570247934%,1,35935,1832,20.0000002980232%,5934
215,Hidalgo County,13305,13.0999997258186%,37,0.278090943254416%,41,192658,9079,46.000000834465%,101208
219,Hockley County,328,15.8000007271767%,0,0%,3,9148,1261,23.0000004172325%,2074
221,Hood County,150,4.10000011324883%,1,0.666666666666667%,2,19105,781,9.00000035762787%,3672
223,Hopkins County,228,7.90000036358833%,0,0%,0,14020,2072,20.9999993443489%,2896
