"CBLS County-level Summary Data for TX, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Anderson,655,15.9367396593674%,2,0.305343511450382%,18436,2905,21.9999998807907%,4110
003,Andrews,150,10.1282916948008%,,0%,5400,452,23.0000004172325%,1481
005,Angelina,976,12.1680588455305%,6,0.614754098360656%,32435,3597,25%,8021
007,Aransas,61,3.54445090063916%,,0%,12848,616,36.0000014305115%,1721
009,Archer,21,3.19634703196347%,,0%,3871,824,10.9999999403954%,657
011,Armstrong,4,2.53164556962025%,,0%,920,329,11.9999997317791%,158
013,Atascosa,456,10.9747292418773%,2,0.43859649122807%,14883,1765,25.9999990463257%,4155
015,Austin,182,8.03532008830022%,1,0.549450549450549%,10205,2240,18.0000007152557%,2265
017,Bailey,146,19.2612137203166%,,0%,2738,639,25.9999990463257%,758
019,Bandera,59,5.28673835125448%,1,1.69491525423729%,9503,1072,12.9999995231628%,1116
021,Bastrop,430,6.957928802589%,1,0.232558139534884%,22254,2698,14.0000000596046%,6180
023,Baylor,111,39.3617021276596%,,,2820,840,34.0000003576279%,282
025,Bee,355,15.1644596326356%,1,0.28169014084507%,10939,1822,34.9999994039536%,2341
027,Bell,2008,5.98563209825022%,3,0.149402390438247%,92782,6783,17.0000001788139%,33547
029,Bexar,19335,11.7418790650221%,61,0.315490043961727%,521359,65722,23.9999994635582%,164667
031,Blanco,32,4.23841059602649%,,0%,4031,762,10.9999999403954%,755
035,Bosque,123,9.57198443579767%,,0%,8644,1778,20.9999993443489%,1285
037,Bowie,389,5.09762809592452%,4,1.02827763496144%,36463,5281,31.0000002384186%,7631
039,Brazoria,1637,5.43962251611617%,2,0.122174709835064%,90628,5665,14.0000000596046%,30094
041,Brazos,1148,7.39738385205232%,1,0.0871080139372822%,59023,3620,23.9999994635582%,15519
043,Brewster,37,5.50595238095238%,,0%,4614,970,25.9999990463257%,672
045,Briscoe,6,5.76923076923077%,,0%,1006,324,28.0000001192093%,104
047,Brooks,70,8.53658536585366%,,0%,3203,510,56.9999992847443%,820
049,Brown,101,3.39381720430107%,1,0.99009900990099%,17889,3693,25.9999990463257%,2976
051,Burleson,83,6.18019359642591%,,0%,8197,1218,25.9999990463257%,1343
053,Burnet,393,12.5119388729704%,,0%,15933,1383,17.0000001788139%,3141
055,Caldwell,733,22.333942717855%,3,0.409276944065484%,11901,2004,14.0000000596046%,3282
057,Calhoun,125,6.74217907227616%,,0%,10238,961,25%,1854
059,Callahan,35,3.53892821031345%,1,2.85714285714286%,5925,1272,17.0000001788139%,989
061,Cameron,7236,13.8065254722381%,23,0.317855168601437%,119654,10904,44.9999988079071%,52410
063,Camp,93,7.45192307692308%,,0%,5228,603,36.0000014305115%,1248
065,Carson,9,1.97368421052632%,,0%,2815,715,10.0000001490116%,456
067,Cass,285,13.5071090047393%,1,0.350877192982456%,13890,1995,25.9999990463257%,2110
069,Castro,139,18.3862433862434%,,0%,3198,537,27.0000010728836%,756
071,Chambers,193,6.97506324539212%,,0%,10336,883,14.0000000596046%,2767
073,Cherokee,408,8.96506262359921%,1,0.245098039215686%,19173,3431,27.0000010728836%,4551
075,Childress,53,10.2316602316602%,,0%,3059,1272,46.9999998807907%,518
077,Clay,22,3.24963072378139%,2,9.09090909090909%,4992,1240,10.9999999403954%,677
079,Cochran,36,11.6883116883117%,,0%,1587,333,47.9999989271164%,308
081,Coke,15,7.85340314136126%,,0%,2843,469,20.9999993443489%,191
083,Coleman,19,3.125%,,0%,5248,1775,33.0000013113022%,608
085,Collin,2882,3.88928624445014%,5,0.173490631505899%,194892,4240,5.00000007450581%,74101
087,Collingsworth,18,5.73248407643312%,2,11.1111111111111%,1723,857,34.9999994039536%,314
089,Colorado,135,8.17686250757117%,,0%,9431,2324,21.9999998807907%,1651
091,Comal,553,6.12267493356953%,,0%,32718,3247,14.0000000596046%,9032
093,Comanche,94,8.53769300635786%,2,2.12765957446808%,7105,1856,28.0000001192093%,1101
095,Concho,29,15.3439153439153%,1,3.44827586206897%,1488,587,21.9999998807907%,189
097,Cooke,157,4.60680751173709%,1,0.636942675159236%,15061,2935,25.9999990463257%,3408
099,Coryell,217,3.75692520775623%,,0%,21776,2006,15.0000005960464%,5776
101,Cottle,8,7.76699029126214%,,0%,1088,486,33.0000013113022%,103
103,Crane,16,3.68663594470046%,,0%,1596,337,15.9999996423721%,434
105,Crockett,23,6.11702127659575%,1,4.34782608695652%,2049,457,38.9999985694885%,376
107,Crosby,79,12.7625201938611%,,0%,3202,697,37.9999995231628%,619
109,Culberson,10,5.55555555555556%,,0%,1321,281,38.9999985694885%,180
111,Dallam,99,13.3603238866397%,,0%,2697,1000,18.9999997615814%,741
113,Dallas,28156,10.8273568036301%,49,0.174030402045745%,854119,81461,18.9999997615814%,260045
115,Dawson,93,7.80201342281879%,,0%,5500,1287,33.0000013113022%,1192
117,Deaf Smith,2423,111.248852157943%,6,0.247626908790755%,6914,984,33.0000013113022%,2178
