"CBLS County-level Summary Data for VA, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Accomack County,630,23.3419785105595%,6,3,19550,5628,27.0000010728836%,2699
003,Albemarle County,305,5.10033444816054%,5,0,33720,3651,7.00000002980232%,5980
005,Alleghany County,56,6.05405405405405%,1,0,5812,1494,10.0000001490116%,925
007,Amelia County,73,8.49825378346915%,1,0,4609,750,3.99999991059303%,859
009,Amherst County,119,5.44124371284865%,2,1,12958,2227,15.0000005960464%,2187
011,Appomattox County,78,7.44985673352436%,0,0,5828,903,12.9999995231628%,1047
013,Arlington County,2290,18.7336387434555%,8,0,90426,28193,7.99999982118607%,12224
015,Augusta County,373,8.46188747731397%,1,0,26738,5098,7.00000002980232%,4408
017,Bath County,35,12.8205128205128%,0,0,2896,1018,7.00000002980232%,273
019,Bedford County,183,4.20592967133992%,1,0,26841,2823,7.00000002980232%,4351
021,Bland County,30,7.5%,0,0,3161,734,17.0000001788139%,400
023,Botetourt County,425,20.3544061302682%,1,0,12571,2264,2.99999993294477%,2088
025,Brunswick County,151,14.3399810066477%,2,0,7541,1476,15.9999996423721%,1053
027,Buchanan County,236,14.7592245153221%,1,0,11887,1739,27.0000010728836%,1599
029,Buckingham County,114,12.1794871794872%,1,0,6290,1155,27.0000010728836%,936
031,Campbell County,138,3.76843255051884%,3,0,22088,3068,15.0000005960464%,3662
033,Caroline County,274,17.0716510903427%,1,0,8889,1323,14.0000000596046%,1605
035,Carroll County,137,6.98979591836735%,1,0,14680,2562,18.9999997615814%,1960
036,Charles City County,50,11.0619469026549%,0,0,2895,445,10.9999999403954%,452
037,Charlotte County,176,21.2303980699638%,2,0,5734,1354,20.0000002980232%,829
041,Chesterfield County,1756,8.44027877913963%,11,2,97707,3990,5.99999986588955%,20805
043,Clarke County,39,4.84472049689441%,0,0,5388,1483,7.99999982118607%,805
045,Craig County,47,14.5962732919255%,0,0,2554,565,10.9999999403954%,322
047,Culpeper County,252,10.0079428117554%,1,0,12871,2356,10.9999999403954%,2518
049,Cumberland County,55,7.95947901591896%,0,0,4085,643,18.0000007152557%,691
051,Dickenson County,98,8.97435897435897%,0,0,7684,1510,25%,1092
053,Dinwiddie County,127,7.5103489059728%,1,0,9707,1316,11.9999997317791%,1691
057,Essex County,68,11.7850953206239%,0,1,4926,1067,15.0000005960464%,577
059,Fairfax County,6612,8.11736541648763%,22,4,359411,15488,5.00000007450581%,81455
061,Fauquier County,163,3.86072951207958%,1,0,21046,4200,7.00000002980232%,4222
063,Floyd County,83,8.40932117527862%,1,0,6763,1624,11.9999997317791%,987
065,Fluvanna County,119,7.57479312539784%,1,0,8018,954,5.99999986588955%,1571
067,Franklin County,164,5.31432274789371%,0,0,22717,2595,12.9999995231628%,3086
069,Frederick County,151,3.22030283642568%,1,0,23319,2635,7.00000002980232%,4689
071,Giles County,73,6.63636363636364%,0,0,7732,2262,12.9999995231628%,1100
073,Gloucester County,39,1.63522012578616%,0,0,14494,1889,10.9999999403954%,2385
075,Goochland County,136,12.8787878787879%,1,0,6555,790,7.00000002980232%,1056
077,Grayson County,49,4.45049954586739%,0,0,9123,2102,14.0000000596046%,1101
079,Greene County,83,6.08504398826979%,0,0,5986,658,5.00000007450581%,1364
081,Greensville County,6,1.25523012552301%,0,0,3765,565,17.0000001788139%,478
083,Halifax County,268,9.93696700037078%,1,0,16953,3733,20.9999993443489%,2697
085,Hanover County,563,8.08559528938676%,4,0,32196,2958,2.99999993294477%,6963
087,Henrico County,2439,11.3415484770983%,25,2,112570,10839,10.0000001490116%,21505
089,Henry County,114,3.01826846703733%,2,0,25921,3508,20.9999993443489%,3777
091,Highland County,10,9.09090909090909%,0,0,1822,877,23.0000004172325%,110
093,Isle of Wight County,240,10.6147722246793%,0,0,12066,1670,11.9999997317791%,2261
095,James City County,166,5.312%,0,0,20772,674,7.00000002980232%,3125
097,King and Queen County,29,6.38766519823789%,0,0,3010,631,5.00000007450581%,454
099,King George County,124,8.69565217391304%,0,0,6820,841,5.99999986588955%,1426
101,King William County,70,6.43974241030359%,1,0,5189,986,5.00000007450581%,1087
103,Lancaster County,93,15.7094594594595%,2,0,6498,1489,17.0000001788139%,592
105,Lee County,297,18.0109157064888%,0,0,11086,2722,34.0000003576279%,1649
107,Loudoun County,1519,7.73185381248091%,3,1,62160,4239,1.99999995529652%,19646
109,Louisa County,109,5.81023454157783%,1,0,11855,1859,14.0000000596046%,1876
111,Lunenburg County,138,17.1003717472119%,5,0,5736,1511,30.0000011920929%,807
113,Madison County,55,6.79851668726823%,0,0,5239,1273,15.0000005960464%,809
115,Mathews County,15,2.82485875706215%,1,0,5333,1663,2.99999993294477%,531
117,Mecklenburg County,217,10.4276790004805%,8,2,17403,3328,20.0000002980232%,2081
119,Middlesex County,60,13.7931034482759%,0,0,6362,1191,25.9999990463257%,435
121,Montgomery County,229,4.77680433875678%,0,0,32527,3625,17.0000001788139%,4794
125,Nelson County,90,9.69827586206897%,4,0,8554,1631,12.9999995231628%,928
127,New Kent County,87,8.78787878787879%,0,0,5203,439,5.00000007450581%,990
131,Northampton County,280,33.6134453781513%,10,3,6547,2477,37.9999995231628%,833
133,Northumberland County,77,11.5789473684211%,0,0,8057,1943,20.0000002980232%,665
135,Nottoway County,154,14.8219441770934%,2,0,6373,1925,21.9999998807907%,1039
137,Orange County,164,9.17739227756016%,0,0,11354,2090,11.9999997317791%,1787
139,Page County,105,6.8049254698639%,0,0,10557,2936,15.9999996423721%,1543
141,Patrick County,117,8.04123711340206%,1,0,9823,1898,15.9999996423721%,1455
143,Pittsylvania County,448,10.5910165484634%,1,1,28011,4796,15.9999996423721%,4230
145,Powhatan County,101,6.3802905874921%,1,0,7509,678,5.00000007450581%,1583
147,Prince Edward County,247,22.4749772520473%,2,0,7527,1513,25%,1099
149,Prince George County,120,4.91803278688525%,0,0,10726,777,11.9999997317791%,2440
153,Prince William County,1436,4.92033578893267%,2,0,98052,2994,5.99999986588955%,29185
155,Pulaski County,123,4.87128712871287%,1,0,16325,3795,23.9999994635582%,2525
157,Rappahannock County,30,6.96055684454756%,0,0,3303,1024,11.9999997317791%,431
159,Richmond County,69,16.3120567375887%,0,0,3512,805,21.9999998807907%,423
161,Roanoke County,484,8.60444444444445%,3,1,36121,3377,5.99999986588955%,5625
163,Rockbridge County,53,3.97003745318352%,0,0,9550,2382,11.9999997317791%,1335
