"CBLS County-level Summary Data for VA, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Accomack County,752,26.3999998569489%,6,0.797872340425532%,2,19550,5628,27.0000010728836%,2850
003,Albemarle County,703,11.599999666214%,5,0.711237553342816%,0,33720,3651,7.00000002980232%,6046
005,Alleghany County,127,11.5000002086163%,2,1.5748031496063%,0,5812,1494,10.0000001490116%,1101
007,Amelia County,114,12.8999993205071%,4,3.50877192982456%,1,4609,750,3.99999991059303%,884
009,Amherst County,334,17.5999999046326%,3,0.898203592814371%,0,12958,2227,15.0000005960464%,1900
011,Appomattox County,175,18.8999995589256%,2,1.14285714285714%,0,5828,903,12.9999995231628%,927
013,Arlington County,2487,16.2000000476837%,8,0.321672698029755%,0,90426,28193,7.99999982118607%,15396
015,Augusta County,540,11.9999997317791%,1,0.185185185185185%,0,26738,5098,7.00000002980232%,4502
017,Bath County,38,19.7999998927116%,1,2.63157894736842%,0,2896,1018,7.00000002980232%,192
019,Bedford County,501,12.6000002026558%,2,0.399201596806387%,0,26841,2823,7.00000002980232%,3988
021,Bland County,50,14.5999997854233%,0,0%,0,3161,734,17.0000001788139%,343
023,Botetourt County,445,25.2999991178513%,1,0.224719101123596%,0,12571,2264,2.99999993294477%,1762
025,Brunswick County,204,19.7999998927116%,3,1.47058823529412%,0,7541,1476,15.9999996423721%,1029
027,Buchanan County,223,15.8000007271767%,5,2.24215246636771%,0,11887,1739,27.0000010728836%,1414
029,Buckingham County,141,15.0999993085861%,1,0.709219858156028%,0,6290,1155,27.0000010728836%,935
031,Campbell County,440,12.3000003397465%,3,0.681818181818182%,1,22088,3068,15.0000005960464%,3575
033,Caroline County,381,19.3000003695488%,3,0.78740157480315%,0,8889,1323,14.0000000596046%,1975
035,Carroll County,176,9.89999994635582%,0,0%,0,14680,2562,18.9999997615814%,1775
036,Charles City County,63,15.0000005960464%,0,0%,0,2895,445,10.9999999403954%,419
037,Charlotte County,216,24.8999997973442%,0,0%,0,5734,1354,20.0000002980232%,869
041,Chesterfield County,1985,8.90000015497208%,12,0.604534005037783%,1,97707,3990,5.99999986588955%,22301
043,Clarke County,117,14.0000000596046%,1,0.854700854700855%,0,5388,1483,7.99999982118607%,838
045,Craig County,53,17.8000003099442%,0,0%,0,2554,565,10.9999999403954%,298
047,Culpeper County,408,11.9999997317791%,1,0.245098039215686%,0,12871,2356,10.9999999403954%,3405
049,Cumberland County,55,8.90000015497208%,1,1.81818181818182%,0,4085,643,18.0000007152557%,620
051,Dickenson County,101,10.3000000119209%,0,0%,0,7684,1510,25%,979
053,Dinwiddie County,150,9.20000001788139%,1,0.666666666666667%,0,9707,1316,11.9999997317791%,1636
057,Essex County,81,10.8999997377396%,0,0%,1,4926,1067,15.0000005960464%,741
059,Fairfax County,8071,9.30000022053719%,26,0.322140998637096%,6,359411,15488,5.00000007450581%,86786
061,Fauquier County,219,4.6000000089407%,5,2.28310502283105%,0,21046,4200,7.00000002980232%,4743
063,Floyd County,76,7.99999982118607%,0,0%,0,6763,1624,11.9999997317791%,951
065,Fluvanna County,175,9.0999998152256%,1,0.571428571428571%,0,8018,954,5.99999986588955%,1914
067,Franklin County,202,6.1999998986721%,1,0.495049504950495%,0,22717,2595,12.9999995231628%,3250
069,Frederick County,518,9.6000000834465%,2,0.386100386100386%,0,23319,2635,7.00000002980232%,5382
071,Giles County,123,10.4000002145767%,0,0%,0,7732,2262,12.9999995231628%,1183
073,Gloucester County,116,4.6000000089407%,1,0.862068965517241%,0,14494,1889,10.9999999403954%,2532
075,Goochland County,215,17.8000003099442%,1,0.465116279069767%,0,6555,790,7.00000002980232%,1206
077,Grayson County,66,7.29999989271164%,1,1.51515151515152%,0,9123,2102,14.0000000596046%,898
079,Greene County,160,10.1999998092651%,0,0%,0,5986,658,5.00000007450581%,1569
081,Greensville County,,,,,,3765,565,17.0000001788139%,692
083,Halifax County,185,7.59999975562096%,0,0%,0,16953,3733,20.9999993443489%,2436
085,Hanover County,591,8.69999974966049%,2,0.338409475465313%,0,32196,2958,2.99999993294477%,6809
087,Henrico County,2579,11.2999998033047%,20,0.775494377665762%,3,112570,10839,10.0000001490116%,22922
089,Henry County,169,4.69999983906746%,3,1.77514792899408%,0,25921,3508,20.9999993443489%,3602
091,Highland County,25,26.8999993801117%,0,0%,0,1822,877,23.0000004172325%,93
093,Isle of Wight County,265,11.599999666214%,0,0%,0,12066,1670,11.9999997317791%,2280
095,James City County,243,7.29999989271164%,2,0.823045267489712%,0,20772,674,7.00000002980232%,3341
097,King and Queen County,52,12.3000003397465%,2,3.84615384615385%,0,3010,631,5.00000007450581%,422
099,King George County,188,10.1000003516674%,2,1.06382978723404%,0,6820,841,5.99999986588955%,1855
101,King William County,80,6.8000003695488%,0,0%,0,5189,986,5.00000007450581%,1171
103,Lancaster County,72,11.6999998688698%,4,5.55555555555556%,0,6498,1489,17.0000001788139%,618
105,Lee County,343,22.9000002145767%,0,0%,0,11086,2722,34.0000003576279%,1500
107,Loudoun County,1888,6.70000016689301%,7,0.370762711864407%,1,62160,4239,1.99999995529652%,28077
109,Louisa County,310,14.3999993801117%,2,0.645161290322581%,0,11855,1859,14.0000000596046%,2159
111,Lunenburg County,160,20.9999993443489%,1,0.625%,0,5736,1511,30.0000011920929%,761
113,Madison County,99,11.599999666214%,0,0%,0,5239,1273,15.0000005960464%,856
115,Mathews County,47,11.1000001430511%,0,0%,0,5333,1663,2.99999993294477%,425
117,Mecklenburg County,319,15.8000007271767%,8,2.50783699059561%,3,17403,3328,20.0000002980232%,2020
119,Middlesex County,65,13.0999997258186%,2,3.07692307692308%,0,6362,1191,25.9999990463257%,497
