"CBLS County-level Summary Data for VA, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Accomack County,727,25.4999995231628%,3,0.412654745529574%,1,19550,5628,27.0000010728836%,2856
003,Albemarle County,638,10.0000001490116%,4,0.626959247648903%,0,33720,3651,7.00000002980232%,6369
005,Alleghany County,130,11.9000002741814%,2,1.53846153846154%,0,5812,1494,10.0000001490116%,1092
007,Amelia County,121,12.8999993205071%,0,0%,1,4609,750,3.99999991059303%,938
009,Amherst County,253,12.9999995231628%,1,0.395256916996047%,0,12958,2227,15.0000005960464%,1940
011,Appomattox County,123,12.8000006079674%,0,0%,0,5828,903,12.9999995231628%,960
013,Arlington County,2222,14.9000003933907%,5,0.225022502250225%,0,90426,28193,7.99999982118607%,14883
015,Augusta County,280,5.90000003576279%,1,0.357142857142857%,0,26738,5098,7.00000002980232%,4742
017,Bath County,29,16.3000002503395%,1,3.44827586206897%,0,2896,1018,7.00000002980232%,178
019,Bedford County,313,7.29999989271164%,1,0.319488817891374%,0,26841,2823,7.00000002980232%,4291
021,Bland County,44,12.3000003397465%,0,0%,0,3161,734,17.0000001788139%,359
023,Botetourt County,365,19.6999996900558%,0,0%,0,12571,2264,2.99999993294477%,1850
025,Brunswick County,290,28.099998831749%,1,0.344827586206897%,0,7541,1476,15.9999996423721%,1033
027,Buchanan County,256,19.4999992847443%,2,0.78125%,0,11887,1739,27.0000010728836%,1312
029,Buckingham County,149,16.2000000476837%,2,1.34228187919463%,0,6290,1155,27.0000010728836%,920
031,Campbell County,297,8.20000022649765%,1,0.336700336700337%,1,22088,3068,15.0000005960464%,3618
033,Caroline County,330,14.1000002622604%,6,1.81818181818182%,0,8889,1323,14.0000000596046%,2348
035,Carroll County,171,9.89999994635582%,0,0%,0,14680,2562,18.9999997615814%,1734
036,Charles City County,57,13.3000001311302%,0,0%,0,2895,445,10.9999999403954%,430
037,Charlotte County,151,17.5999999046326%,5,3.3112582781457%,0,5734,1354,20.0000002980232%,859
041,Chesterfield County,2413,10.1999998092651%,10,0.414421881475342%,0,97707,3990,5.99999986588955%,23730
043,Clarke County,65,7.40000009536743%,0,0%,0,5388,1483,7.99999982118607%,875
045,Craig County,39,12.3000003397465%,0,0%,0,2554,565,10.9999999403954%,318
047,Culpeper County,494,12.3999997973442%,1,0.202429149797571%,0,12871,2356,10.9999999403954%,3971
049,Cumberland County,63,8.90000015497208%,1,1.58730158730159%,0,4085,643,18.0000007152557%,706
051,Dickenson County,89,8.79999995231628%,0,0%,0,7684,1510,25%,1013
053,Dinwiddie County,170,9.7000002861023%,0,0%,0,9707,1316,11.9999997317791%,1744
057,Essex County,76,9.49999988079071%,2,2.63157894736842%,1,4926,1067,15.0000005960464%,796
059,Fairfax County,7596,9.39999967813492%,17,0.223802001053186%,4,359411,15488,5.00000007450581%,80946
061,Fauquier County,314,6.1999998986721%,3,0.955414012738853%,1,21046,4200,7.00000002980232%,5089
063,Floyd County,63,6.40000030398369%,0,0%,0,6763,1624,11.9999997317791%,988
065,Fluvanna County,151,7.10000023245811%,0,0%,0,8018,954,5.99999986588955%,2125
067,Franklin County,222,6.59999996423721%,0,0%,0,22717,2595,12.9999995231628%,3388
069,Frederick County,535,8.79999995231628%,1,0.186915887850467%,0,23319,2635,7.00000002980232%,6082
071,Giles County,102,8.69999974966049%,1,0.980392156862745%,0,7732,2262,12.9999995231628%,1166
073,Gloucester County,91,3.50000001490116%,1,1.0989010989011%,0,14494,1889,10.9999999403954%,2609
075,Goochland County,257,18.9999997615814%,4,1.55642023346304%,0,6555,790,7.00000002980232%,1355
077,Grayson County,62,7.19999969005585%,1,1.61290322580645%,0,9123,2102,14.0000000596046%,860
079,Greene County,176,10.700000077486%,3,1.70454545454545%,0,5986,658,5.00000007450581%,1642
081,Greensville County,6,0.800000037997961%,0,0%,0,3765,565,17.0000001788139%,790
083,Halifax County,184,7.40000009536743%,4,2.17391304347826%,0,16953,3733,20.9999993443489%,2472
085,Hanover County,749,10.8000002801418%,2,0.267022696929239%,0,32196,2958,2.99999993294477%,6915
087,Henrico County,2787,11.6999998688698%,15,0.538213132400431%,3,112570,10839,10.0000001490116%,23813
089,Henry County,159,4.39999997615814%,0,0%,0,25921,3508,20.9999993443489%,3647
091,Highland County,8,8.20000022649765%,0,0%,0,1822,877,23.0000004172325%,97
093,Isle of Wight County,254,10.3000000119209%,2,0.78740157480315%,0,12066,1670,11.9999997317791%,2476
095,James City County,352,9.39999967813492%,1,0.284090909090909%,0,20772,674,7.00000002980232%,3754
