"CBLS County-level Summary Data for VA, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Accomack County,810,28.7999987602234%,10,1.23456790123457%,2,19550,5628,27.0000010728836%,2811
003,Albemarle County,135,2.09999997168779%,2,1.48148148148148%,0,33720,3651,7.00000002980232%,6447
005,Alleghany County,35,3.20000015199184%,1,2.85714285714286%,0,5812,1494,10.0000001490116%,1091
007,Amelia County,97,10.3000000119209%,0,0%,1,4609,750,3.99999991059303%,943
009,Amherst County,303,15.5000001192093%,1,0.33003300330033%,0,12958,2227,15.0000005960464%,1961
011,Appomattox County,166,16.5000006556511%,0,0%,0,5828,903,12.9999995231628%,1004
013,Arlington County,2748,17.2999992966652%,5,0.181950509461426%,0,90426,28193,7.99999982118607%,15881
015,Augusta County,388,8.10000002384186%,1,0.257731958762887%,0,26738,5098,7.00000002980232%,4802
017,Bath County,16,9.39999967813492%,1,6.25%,0,2896,1018,7.00000002980232%,170
019,Bedford County,358,8.50000008940697%,0,0%,0,26841,2823,7.00000002980232%,4202
021,Bland County,72,20.7000002264976%,0,0%,0,3161,734,17.0000001788139%,347
023,Botetourt County,271,14.9000003933907%,0,0%,0,12571,2264,2.99999993294477%,1814
025,Brunswick County,300,29.1999995708466%,1,0.333333333333333%,0,7541,1476,15.9999996423721%,1026
027,Buchanan County,266,20.6000000238419%,1,0.37593984962406%,0,11887,1739,27.0000010728836%,1291
029,Buckingham County,131,14.1000002622604%,1,0.763358778625954%,0,6290,1155,27.0000010728836%,928
031,Campbell County,412,11.6999998688698%,2,0.485436893203883%,1,22088,3068,15.0000005960464%,3530
033,Caroline County,295,12.3999997973442%,4,1.35593220338983%,0,8889,1323,14.0000000596046%,2380
035,Carroll County,199,11.2999998033047%,0,0%,0,14680,2562,18.9999997615814%,1765
036,Charles City County,46,10.700000077486%,0,0%,0,2895,445,10.9999999403954%,429
037,Charlotte County,128,15.2999997138977%,2,1.5625%,0,5734,1354,20.0000002980232%,837
041,Chesterfield County,2784,11.599999666214%,7,0.251436781609195%,0,97707,3990,5.99999986588955%,23968
043,Clarke County,89,10.1000003516674%,0,0%,0,5388,1483,7.99999982118607%,880
045,Craig County,39,13.0999997258186%,0,0%,0,2554,565,10.9999999403954%,297
047,Culpeper County,330,8.29999968409538%,1,0.303030303030303%,0,12871,2356,10.9999999403954%,3963
049,Cumberland County,61,8.79999995231628%,0,0%,0,4085,643,18.0000007152557%,696
051,Dickenson County,50,4.80000004172325%,0,0%,0,7684,1510,25%,1036
053,Dinwiddie County,113,6.40000030398369%,1,0.884955752212389%,0,9707,1316,11.9999997317791%,1761
057,Essex County,76,9.39999967813492%,1,1.31578947368421%,0,4926,1067,15.0000005960464%,805
